Participant Number,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16
0,QuadrantPrefabs/Easy/Quadrant4dLgEasy1_orient XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_color XYQuadrant min,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_size XYZQuadrant max,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_size XYQuadrant min,QuadrantPrefabs/Hard/Quadrant4dLgHard1_color XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard1_orient XYQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_depth XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy2_height XZQuadrant min,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_height XZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard2_depth XYQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard1_orient XYQuadrant max,QuadrantPrefabs/Easy/Quadrant4dSmEasy1_color XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy2_size XYQuadrant max,QuadrantPrefabs/Medium/Quadrant4dSmMedium1_size XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard2_color XYQuadrant max,QuadrantPrefabs/Hard/Quadrant4dSmHard1_orient XYZQuadrant min
1,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_color XYQuadrant max,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_size XYQuadrant max,QuadrantPrefabs/Hard/Quadrant4dLgHard1_orient XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant3dLgEasy2_orient XYQuadrant max,QuadrantPrefabs/Easy/Quadrant4dSmEasy1_size XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard2_height XZQuadrant max,QuadrantPrefabs/Medium/Quadrant4dSmMedium1_color XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_depth XYQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard1_depth XYQuadrant min,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_color XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_height XZQuadrant min,QuadrantPrefabs/Hard/Quadrant4dLgHard1_size XYZQuadrant max,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_orient XYQuadrant min,QuadrantPrefabs/Hard/Quadrant4dSmHard1_orient XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dSmEasy2_size XYQuadrant min,QuadrantPrefabs/Hard/Quadrant3dSmHard2_color XYQuadrant min
2,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_size XYQuadrant max,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_orient XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_color XYQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard1_height XZQuadrant max,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_orient XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_depth XYQuadrant min,QuadrantPrefabs/Hard/Quadrant4dLgHard1_size XYZQuadrant max,QuadrantPrefabs/Medium/Quadrant4dSmMedium1_color XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant4dLgEasy2_color XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant4dSmHard1_size XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard2_depth XYQuadrant max,QuadrantPrefabs/Easy/Quadrant4dSmEasy2_orient XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_height XZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dSmHard2_color XYQuadrant min,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_orient XYQuadrant min,QuadrantPrefabs/Hard/Quadrant3dSmHard1_size XYQuadrant min
3,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_orient XYQuadrant max,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_height XZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard1_size XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_depth XYQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_color XYQuadrant max,QuadrantPrefabs/Medium/Quadrant4dSmMedium1_color XYZQuadrant min,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_orient XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant4dSmHard1_size XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant4dLgHard1_size XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant4dSmEasy2_orient XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant4dLgEasy2_color XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard2_color XYQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard2_depth XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_size XYQuadrant min,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_height XZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dSmHard1_orient XYQuadrant min
4,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_height XZQuadrant min,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_depth XYQuadrant min,QuadrantPrefabs/Hard/Quadrant3dSmHard1_orient XYQuadrant min,QuadrantPrefabs/Easy/Quadrant4dSmEasy2_color XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_size XYQuadrant max,QuadrantPrefabs/Hard/Quadrant4dSmHard2_size XYZQuadrant min,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_color XYQuadrant max,QuadrantPrefabs/Easy/Quadrant4dSmEasy1_orient XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant4dLgHard1_orient XYZQuadrant max,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_color XYQuadrant min,QuadrantPrefabs/Easy/Quadrant4dLgEasy1_size XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard1_size XYQuadrant min,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_color XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard1_orient XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dLgEasy2_depth XYQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard2_height XZQuadrant max
5,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_depth XYQuadrant min,QuadrantPrefabs/Medium/Quadrant4dSmMedium1_color XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_height XZQuadrant min,QuadrantPrefabs/Hard/Quadrant4dSmHard1_size XYZQuadrant min,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_orient XYQuadrant min,QuadrantPrefabs/Easy/Quadrant4dLgEasy1_orient XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard1_size XYQuadrant min,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_color XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy2_color XYQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard1_size XYQuadrant max,QuadrantPrefabs/Hard/Quadrant4dSmHard2_orient XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy2_orient XYQuadrant max,QuadrantPrefabs/Easy/Quadrant4dLgEasy1_size XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard2_height XZQuadrant max,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_color XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard1_depth XYQuadrant max
6,QuadrantPrefabs/Easy/Quadrant4dLgEasy1_color XYZQuadrant max,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_size XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard1_depth XYQuadrant max,QuadrantPrefabs/Easy/Quadrant4dLgEasy2_orient XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_height XZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard2_color XYQuadrant max,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_orient XYQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_size XYQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard1_size XYQuadrant min,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_orient XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_color XYQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard1_height XZQuadrant max,QuadrantPrefabs/Medium/Quadrant4dSmMedium1_orient XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dSmHard1_depth XYQuadrant min,QuadrantPrefabs/Easy/Quadrant4dSmEasy2_size XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant4dSmHard2_color XYZQuadrant min
7,QuadrantPrefabs/Easy/Quadrant4dLgEasy1_size XYZQuadrant max,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_orient XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant4dLgHard1_color XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_color XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dLgEasy2_depth XYQuadrant max,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_size XYQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard2_height XZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard1_orient XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_orient XYQuadrant min,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_height XZQuadrant min,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_size XYQuadrant min,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_depth XYQuadrant min,QuadrantPrefabs/Hard/Quadrant3dSmHard1_color XYQuadrant min,QuadrantPrefabs/Hard/Quadrant4dSmHard1_color XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant4dSmEasy2_orient XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant4dSmHard2_size XYZQuadrant min
8,QuadrantPrefabs/Easy/Quadrant4dSmEasy1_orient XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_color XYQuadrant max,QuadrantPrefabs/Medium/Quadrant4dSmMedium1_size XYZQuadrant min,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_size XYQuadrant max,QuadrantPrefabs/Hard/Quadrant4dSmHard1_color XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard1_orient XYQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_depth XYQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy2_height XZQuadrant max,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_height XZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard2_depth XYQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard1_orient XYQuadrant min,QuadrantPrefabs/Easy/Quadrant4dLgEasy1_color XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy2_size XYQuadrant min,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_size XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard2_color XYQuadrant min,QuadrantPrefabs/Hard/Quadrant4dLgHard1_orient XYZQuadrant max
9,QuadrantPrefabs/Easy/Quadrant3dSmEasy1_color XYQuadrant min,QuadrantPrefabs/Medium/Quadrant3dSmMedium1_size XYQuadrant min,QuadrantPrefabs/Easy/Quadrant4dLgEasy1_orient XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard1_orient XYQuadrant min,QuadrantPrefabs/Medium/Quadrant4dLgMedium1_size XYZQuadrant max,QuadrantPrefabs/Easy/Quadrant3dSmEasy2_height XZQuadrant min,QuadrantPrefabs/Hard/Quadrant4dLgHard1_color XYZQuadrant max,QuadrantPrefabs/Hard/Quadrant3dSmHard2_depth XYQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy1_depth XYQuadrant max,QuadrantPrefabs/Easy/Quadrant4dSmEasy1_color XYZQuadrant min,QuadrantPrefabs/Medium/Quadrant3dLgMedium1_height XZQuadrant max,QuadrantPrefabs/Medium/Quadrant4dSmMedium1_size XYZQuadrant min,QuadrantPrefabs/Hard/Quadrant3dLgHard1_orient XYQuadrant max,QuadrantPrefabs/Hard/Quadrant4dSmHard1_orient XYZQuadrant min,QuadrantPrefabs/Easy/Quadrant3dLgEasy2_size XYQuadrant max,QuadrantPrefabs/Hard/Quadrant3dLgHard2_color XYQuadrant max
