Participant Number,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16
0,TrendPrefabs/Easy/Trend4dLgEasy1_size XYZTrend max,TrendPrefabs/Easy/Trend4dLgEasy1_orient XYZTrend max,TrendPrefabs/Medium/Trend4dLgMedium1_color XYZTrend max,TrendPrefabs/Medium/Trend3dLgMedium1_color XYTrend max,TrendPrefabs/Hard/Trend3dLgHard1_depth XYTrend max,TrendPrefabs/Hard/Trend3dLgHard1_size XYTrend max,TrendPrefabs/Easy/Trend3dLgEasy2_height XZTrend max,TrendPrefabs/Easy/Trend3dLgEasy3_orient XYTrend min,TrendPrefabs/Hard/Trend3dLgHard2_orient XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium2_height XZTrend min,TrendPrefabs/Easy/Trend3dLgEasy2_size XYTrend min,TrendPrefabs/Hard/Trend3dLgHard3_depth XYTrend min,TrendPrefabs/Medium/Trend3dLgMedium2_color XYTrend min,TrendPrefabs/Easy/Trend4dLgEasy4_color XYZTrend min,TrendPrefabs/Hard/Trend4dLgHard2_orient XYZTrend min,TrendPrefabs/Hard/Trend4dLgHard4_size XYZTrend min
1,TrendPrefabs/Easy/Trend4dLgEasy1_orient XYZTrend max,TrendPrefabs/Medium/Trend3dLgMedium1_color XYTrend max,TrendPrefabs/Hard/Trend4dLgHard1_size XYZTrend max,TrendPrefabs/Easy/Trend3dLgEasy1_size XYTrend min,TrendPrefabs/Easy/Trend4dLgEasy2_color XYZTrend max,TrendPrefabs/Medium/Trend3dLgMedium1_orient XYTrend min,TrendPrefabs/Medium/Trend3dLgMedium2_depth XYTrend max,TrendPrefabs/Hard/Trend3dLgHard1_height XZTrend min,TrendPrefabs/Hard/Trend3dLgHard2_height XZTrend max,TrendPrefabs/Easy/Trend3dLgEasy3_depth XYTrend min,TrendPrefabs/Easy/Trend3dLgEasy4_orient XYTrend max,TrendPrefabs/Hard/Trend4dLgHard3_color XYZTrend min,TrendPrefabs/Hard/Trend3dLgHard4_size XYTrend max,TrendPrefabs/Easy/Trend4dLgEasy2_size XYZTrend min,TrendPrefabs/Medium/Trend3dLgMedium2_color XYTrend min,TrendPrefabs/Hard/Trend4dLgHard2_orient XYZTrend min
2,TrendPrefabs/Easy/Trend3dLgEasy1_color XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium1_size XYTrend max,TrendPrefabs/Hard/Trend4dLgHard1_orient XYZTrend max,TrendPrefabs/Easy/Trend3dLgEasy2_orient XYTrend max,TrendPrefabs/Hard/Trend4dLgHard2_size XYZTrend max,TrendPrefabs/Easy/Trend3dLgEasy1_height XZTrend max,TrendPrefabs/Easy/Trend4dLgEasy2_color XYZTrend min,TrendPrefabs/Medium/Trend3dLgMedium1_depth XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium2_depth XYTrend min,TrendPrefabs/Hard/Trend4dLgHard1_color XYZTrend max,TrendPrefabs/Hard/Trend3dLgHard2_height XZTrend min,TrendPrefabs/Easy/Trend4dLgEasy3_size XYZTrend min,TrendPrefabs/Medium/Trend3dLgMedium2_orient XYTrend min,TrendPrefabs/Hard/Trend4dLgHard3_orient XYZTrend min,TrendPrefabs/Easy/Trend3dLgEasy4_size XYTrend min,TrendPrefabs/Hard/Trend3dLgHard4_color XYTrend min
3,TrendPrefabs/Easy/Trend3dLgEasy1_size XYTrend max,TrendPrefabs/Easy/Trend3dLgEasy1_orient XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium1_color XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium1_height XZTrend max,TrendPrefabs/Hard/Trend4dLgHard1_orient XYZTrend max,TrendPrefabs/Hard/Trend3dLgHard1_depth XYTrend max,TrendPrefabs/Easy/Trend4dLgEasy2_size XYZTrend max,TrendPrefabs/Easy/Trend4dLgEasy3_color XYZTrend min,TrendPrefabs/Hard/Trend4dLgHard2_color XYZTrend max,TrendPrefabs/Medium/Trend4dLgMedium2_size XYZTrend min,TrendPrefabs/Easy/Trend3dLgEasy2_depth XYTrend min,TrendPrefabs/Hard/Trend4dLgHard3_orient XYZTrend min,TrendPrefabs/Medium/Trend3dLgMedium2_height XZTrend min,TrendPrefabs/Easy/Trend3dLgEasy4_color XYTrend min,TrendPrefabs/Hard/Trend3dLgHard2_orient XYTrend min,TrendPrefabs/Hard/Trend3dLgHard4_size XYTrend min
4,TrendPrefabs/Easy/Trend3dLgEasy1_orient XYTrend max,TrendPrefabs/Easy/Trend3dLgEasy1_height XZTrend min,TrendPrefabs/Medium/Trend3dLgMedium1_size XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium1_depth XYTrend min,TrendPrefabs/Hard/Trend3dLgHard1_color XYTrend max,TrendPrefabs/Hard/Trend4dLgHard1_color XYZTrend min,TrendPrefabs/Easy/Trend4dLgEasy2_orient XYZTrend max,TrendPrefabs/Easy/Trend4dLgEasy3_size XYZTrend min,TrendPrefabs/Medium/Trend4dLgMedium2_size XYZTrend max,TrendPrefabs/Hard/Trend4dLgHard2_orient XYZTrend min,TrendPrefabs/Hard/Trend4dLgHard3_color XYZTrend max,TrendPrefabs/Easy/Trend3dLgEasy2_color XYTrend min,TrendPrefabs/Easy/Trend3dLgEasy4_depth XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium2_size XYTrend min,TrendPrefabs/Hard/Trend3dLgHard4_height XZTrend max,TrendPrefabs/Hard/Trend3dLgHard2_orient XYTrend min
5,TrendPrefabs/Easy/Trend3dLgEasy1_height XZTrend min,TrendPrefabs/Medium/Trend3dLgMedium1_depth XYTrend min,TrendPrefabs/Hard/Trend3dLgHard1_orient XYTrend min,TrendPrefabs/Easy/Trend4dLgEasy1_color XYZTrend min,TrendPrefabs/Easy/Trend3dLgEasy2_size XYTrend min,TrendPrefabs/Medium/Trend4dLgMedium1_size XYZTrend min,TrendPrefabs/Hard/Trend3dLgHard2_color XYTrend min,TrendPrefabs/Hard/Trend4dLgHard1_orient XYZTrend min,TrendPrefabs/Easy/Trend4dLgEasy2_orient XYZTrend max,TrendPrefabs/Easy/Trend3dLgEasy3_color XYTrend max,TrendPrefabs/Medium/Trend4dLgMedium2_size XYZTrend max,TrendPrefabs/Medium/Trend3dLgMedium2_size XYTrend max,TrendPrefabs/Hard/Trend4dLgHard2_color XYZTrend max,TrendPrefabs/Hard/Trend3dLgHard3_orient XYTrend max,TrendPrefabs/Easy/Trend3dLgEasy4_depth XYTrend max,TrendPrefabs/Hard/Trend3dLgHard4_height XZTrend max
6,TrendPrefabs/Easy/Trend3dLgEasy1_depth XYTrend min,TrendPrefabs/Easy/Trend4dLgEasy1_color XYZTrend min,TrendPrefabs/Medium/Trend3dLgMedium1_height XZTrend min,TrendPrefabs/Medium/Trend4dLgMedium1_size XYZTrend min,TrendPrefabs/Hard/Trend3dLgHard1_orient XYTrend min,TrendPrefabs/Hard/Trend4dLgHard1_orient XYZTrend min,TrendPrefabs/Easy/Trend3dLgEasy2_size XYTrend min,TrendPrefabs/Easy/Trend3dLgEasy3_color XYTrend max,TrendPrefabs/Hard/Trend3dLgHard2_color XYTrend min,TrendPrefabs/Medium/Trend3dLgMedium2_size XYTrend max,TrendPrefabs/Easy/Trend4dLgEasy2_orient XYZTrend max,TrendPrefabs/Hard/Trend3dLgHard3_orient XYTrend max,TrendPrefabs/Medium/Trend4dLgMedium2_size XYZTrend max,TrendPrefabs/Easy/Trend3dLgEasy4_height XZTrend max,TrendPrefabs/Hard/Trend4dLgHard2_color XYZTrend max,TrendPrefabs/Hard/Trend3dLgHard4_depth XYTrend max
7,TrendPrefabs/Easy/Trend4dLgEasy1_color XYZTrend min,TrendPrefabs/Easy/Trend4dLgEasy1_size XYZTrend max,TrendPrefabs/Medium/Trend3dLgMedium1_depth XYTrend min,TrendPrefabs/Medium/Trend4dLgMedium1_orient XYZTrend max,TrendPrefabs/Hard/Trend3dLgHard1_height XZTrend min,TrendPrefabs/Hard/Trend3dLgHard1_color XYTrend max,TrendPrefabs/Easy/Trend3dLgEasy2_orient XYTrend min,TrendPrefabs/Easy/Trend3dLgEasy3_size XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium2_size XYTrend min,TrendPrefabs/Hard/Trend3dLgHard2_orient XYTrend max,TrendPrefabs/Hard/Trend3dLgHard3_color XYTrend min,TrendPrefabs/Easy/Trend3dLgEasy2_height XZTrend max,TrendPrefabs/Easy/Trend4dLgEasy4_orient XYZTrend min,TrendPrefabs/Medium/Trend3dLgMedium2_depth XYTrend max,TrendPrefabs/Hard/Trend4dLgHard4_size XYZTrend min,TrendPrefabs/Hard/Trend4dLgHard2_color XYZTrend max
8,TrendPrefabs/Easy/Trend4dLgEasy1_size XYZTrend min,TrendPrefabs/Medium/Trend4dLgMedium1_orient XYZTrend min,TrendPrefabs/Hard/Trend4dLgHard1_color XYZTrend min,TrendPrefabs/Easy/Trend3dLgEasy1_color XYTrend min,TrendPrefabs/Easy/Trend3dLgEasy2_depth XYTrend min,TrendPrefabs/Medium/Trend3dLgMedium1_size XYTrend min,TrendPrefabs/Hard/Trend3dLgHard2_height XZTrend min,TrendPrefabs/Hard/Trend3dLgHard1_orient XYTrend min,TrendPrefabs/Easy/Trend3dLgEasy2_orient XYTrend max,TrendPrefabs/Easy/Trend3dLgEasy3_height XZTrend max,TrendPrefabs/Medium/Trend3dLgMedium2_size XYTrend max,TrendPrefabs/Medium/Trend3dLgMedium2_depth XYTrend max,TrendPrefabs/Hard/Trend3dLgHard2_color XYTrend max,TrendPrefabs/Hard/Trend4dLgHard3_color XYZTrend max,TrendPrefabs/Easy/Trend4dLgEasy4_orient XYZTrend max,TrendPrefabs/Hard/Trend4dLgHard4_size XYZTrend max
9,TrendPrefabs/Easy/Trend4dLgEasy1_orient XYZTrend min,TrendPrefabs/Medium/Trend3dLgMedium1_color XYTrend min,TrendPrefabs/Easy/Trend4dLgEasy1_size XYZTrend min,TrendPrefabs/Hard/Trend3dLgHard1_size XYTrend min,TrendPrefabs/Medium/Trend4dLgMedium1_color XYZTrend min,TrendPrefabs/Easy/Trend3dLgEasy2_orient XYTrend max,TrendPrefabs/Hard/Trend3dLgHard1_depth XYTrend min,TrendPrefabs/Medium/Trend3dLgMedium2_height XZTrend max,TrendPrefabs/Easy/Trend3dLgEasy3_height XZTrend min,TrendPrefabs/Hard/Trend3dLgHard2_depth XYTrend max,TrendPrefabs/Hard/Trend3dLgHard3_orient XYTrend min,TrendPrefabs/Easy/Trend4dLgEasy4_color XYZTrend max,TrendPrefabs/Easy/Trend3dLgEasy2_size XYTrend max,TrendPrefabs/Hard/Trend4dLgHard4_size XYZTrend max,TrendPrefabs/Medium/Trend3dLgMedium2_color XYTrend max,TrendPrefabs/Hard/Trend4dLgHard2_orient XYZTrend max
