x,y,d
243,312,5.14017932008
27,40,15.5221964555
387,102,16.0834307921
31,278,11.5529239345
374,205,14.8609680238
2,92,2.86247798104
350,145,12.009838543
346,309,11.3406795458
359,370,8.4220080282
34,387,13.7061435863
105,420,3.38293841523
189,223,9.60361143657
386,174,12.6111409507
468,154,10.2340338149
431,106,16.701692917
393,405,8.36356613978
481,259,8.32907255173
92,209,14.6963465758
147,273,12.5638490049
189,160,16.0366631459
418,243,3.54847012409
215,138,5.05873122982
185,53,11.2502244635
244,172,14.4890311208
82,177,12.2292238395
417,470,16.8026121175
314,3,5.75164718554
284,332,7.53973071274
5,190,5.46498300208
134,481,3.9494456627
231,270,15.4421260205
331,497,9.46330543557
152,0,12.7277761958
151,159,12.1949088008
81,295,9.53106223416
149,386,7.07646448904
389,462,12.8573674834
4,19,11.4244818742
468,415,16.3344565692
355,92,15.1956819344
444,9,7.87093813337
59,20,7.09867710806
221,396,7.94606661237
444,440,7.44454487348
213,336,13.9880896433
84,264,8.07926964359
213,454,12.3528695155
475,349,15.7172598477
321,217,15.8386876761
123,115,5.38647124883
260,356,16.7976428026
495,47,10.5055185878
442,492,11.2768375584
166,305,8.28712298911
64,433,11.3894461359
305,480,3.68849291483
460,55,3.75424616785
363,411,9.27712987366
496,103,5.92539438646
354,266,11.9810729163
257,434,3.45999298504
256,493,10.7678143686
253,390,3.77734687467
397,489,7.39732543151
193,119,8.65887032939
365,500,16.2881441584
52,459,14.9040758721
476,80,3.1167155819
419,338,3.10216044588
258,216,15.7081582571
56,368,11.0864745293
309,86,7.51217830039
366,14,6.9896808196
208,23,14.8218726893
416,71,4.95710840054
415,142,6.39950096324
297,33,5.79075708857
497,448,5.54307663937
479,17,7.71548550402
94,472,6.81859448343
155,415,6.70645369908
282,202,7.98440199516
369,328,11.3112320616
14,461,-3.64368299389
344,55,9.27280270702
323,381,14.9797561661
99,7,16.1133179603
436,167,8.57297998888
270,3,12.2158960199
221,49,6.86484554222
244,76,6.09822478072
190,425,11.7978356545
331,114,10.249087481
96,340,14.0009324245
429,388,13.8089336429
184,269,7.25588029067
448,281,5.86854482602
10,151,13.733949695
158,460,12.8347851042
1,437,9.07886465555
