x,y,old,d
374,453,-1.004241623,0.495758377
158,149,1.938913413,3.438913413
203,447,2.19043087,3.69043087
229,479,2.565546358,4.065546358
95,117,3.204513897,4.704513897
171,121,3.286594031,4.786594031
218,0,3.749378516,5.249378516
154,237,3.755709514,5.255709514
167,288,3.883763822,5.383763822
68,440,3.890784858,5.390784858
43,342,3.960819907,5.460819907
483,209,4.001179806,5.501179806
350,419,4.188945721,5.688945721
399,167,4.472506895,5.972506895
380,363,5.13414229,6.63414229
34,448,5.135321296,6.635321296
112,199,5.391679628,6.891679628
411,330,5.676659761,7.176659761
420,90,5.787082838,7.287082838
355,151,5.791610869,7.291610869
443,145,5.807430128,7.307430128
249,247,5.92211686,7.42211686
441,272,6.141257396,7.641257396
252,185,6.271672269,7.771672269
208,259,6.355653534,7.855653534
251,417,6.487703822,7.987703822
386,89,6.677293096,8.177293096
113,42,6.752580218,8.252580218
92,7,7.013889233,8.513889233
314,273,7.020575685,8.520575685
203,406,7.041654885,8.541654885
268,84,7.089395995,8.589395995
283,309,7.352849613,8.852849613
64,280,7.447208862,8.947208862
47,72,7.556160416,9.056160416
297,96,7.713900914,9.213900914
357,96,7.75445188,9.25445188
469,314,7.893168517,9.393168517
155,315,8.004952746,9.504952746
224,301,8.005731062,9.505731062
378,335,8.131706131,9.631706131
393,404,8.187958715,9.687958715
478,162,8.260048284,9.760048284
21,408,8.368550201,9.868550201
457,47,8.463241509,9.963241509
236,72,8.616441868,10.11644187
491,50,8.655814875,10.15581488
39,301,8.764962789,10.26496279
359,487,8.923743707,10.42374371
161,12,9.218582014,10.71858201
29,99,9.712509219,11.21250922
488,11,9.828628271,11.32862827
278,406,9.851220446,11.35122045
314,155,9.927417776,11.42741778
161,53,9.97895337,11.47895337
417,213,10.14362308,11.64362308
346,19,10.22809491,11.72809491
137,270,10.276928,11.776928
28,163,10.35161042,11.85161042
215,53,10.74843041,12.24843041
47,232,10.86023297,12.36023297
113,337,10.87191936,12.37191936
366,176,11.0758098,12.5758098
79,35,11.09247154,12.59247154
235,163,11.17876413,12.67876413
293,454,11.36539122,12.86539122
195,496,11.43460716,12.93460716
318,382,11.7097904,13.2097904
104,390,11.74388488,13.24388488
432,451,11.77399202,13.27399202
264,340,12.0331338,13.5331338
3,347,12.12414764,13.62414764
387,28,12.24426792,13.74426792
58,204,12.2664276,13.7664276
488,375,12.32617559,13.82617559
464,401,12.50687049,14.00687049
135,215,12.735376,14.235376
206,357,12.9013108,14.4013108
394,482,12.95812996,14.45812996
145,362,12.96663926,14.46663926
225,334,13.04561849,14.54561849
264,271,13.39428201,14.89428201
161,87,13.52100806,15.02100806
376,244,13.53082811,15.03082811
495,127,13.55810926,15.05810926
459,10,13.84805883,15.34805883
304,68,13.84828185,15.34828185
68,410,13.90474691,15.40474691
483,457,13.94869094,15.44869094
180,427,13.96528114,15.46528114
463,77,13.96859021,15.46859021
122,427,14.20688301,15.70688301
401,61,14.4862156,15.9862156
18,480,14.54402526,16.04402526
17,268,14.62091141,16.12091141
352,368,14.87387819,16.37387819
130,160,14.99687185,16.49687185
127,90,15.31737747,16.81737747
367,214,15.51889141,17.01889141
71,178,15.69249858,17.19249858
