x,y,d
50,87,15.4708893059
8,213,2.98034110263
367,403,13.2342980811
396,418,9.00153443362
304,38,9.38204615657
407,141,12.3240922113
494,146,14.0381152761
460,144,10.9726226436
166,442,13.5278359954
101,494,6.26918801643
308,228,3.28305875027
438,488,4.08674610085
120,46,14.4781644199
389,365,13.5527722204
352,378,4.21067282265
170,165,6.94081222576
115,452,9.00075519419
47,33,7.44385857775
256,71,13.5712555372
86,369,5.90154237323
187,45,9.62202031591
360,164,4.58491997688
467,398,10.3481213233
11,108,11.3328985997
337,480,4.60406841237
62,244,3.03193703618
318,143,12.1650776053
272,485,2.81774725708
336,262,15.1282794138
388,211,6.96048509658
410,293,6.87593282161
39,157,5.33671739591
419,84,10.2885522236
351,434,8.63220372293
287,310,12.3338206801
208,270,4.94507847368
405,251,9.48575279294
279,218,15.5493401498
207,175,11.4017448607
169,96,14.6942904948
15,479,6.395077237
465,476,4.35430455765
41,425,8.63771443499
212,140,3.73666100308
347,337,3.8183915977
356,83,3.63914186259
382,450,12.3706805574
224,27,13.0707991141
252,152,8.3980251883
263,419,12.0612394801
362,491,14.3690623626
318,403,8.54052005137
168,477,5.17839094866
119,150,1.7882403526
256,261,3.83262854133
498,324,4.99250479853
276,33,7.41384412582
193,383,12.3911251923
44,297,8.51129023975
87,39,6.8821852872
15,301,14.7412938352
76,136,12.0315572192
261,106,9.06080879137
466,85,15.4014458558
163,315,13.6090411031
424,202,7.69863808303
193,327,11.7355825783
294,437,11.1617840586
88,468,7.28420839835
338,294,3.83974257315
237,321,8.07070175623
102,403,10.2154034103
454,335,9.09133086365
444,277,15.7740924966
31,1,7.47371761645
103,125,11.9016855652
23,330,8.03472661074
311,340,8.2461215882
287,117,4.87408204907
233,367,6.94382358322
490,381,11.1517028324
346,110,6.36951888959
236,213,2.99680293996
290,375,7.99147712276
486,494,4.29274117696
37,497,9.26382630934
131,405,12.3913129018
122,206,3.41989953371
399,174,6.45354182738
420,445,10.6450208679
393,106,4.71923346224
150,137,10.9279444116
481,192,7.1323812324
203,492,7.76185523388
70,344,11.9792317138
212,230,4.83029706813
460,435,6.78736410364
36,360,4.46985364905
263,454,3.95919886051
172,360,7.78008049821
