x,y,d
114,474,6.60752163639
3,51,15.0954311185
86,264,3.10517760348
247,44,15.4939880092
466,310,12.7660508734
31,499,14.8164482794
156,214,5.22308395711
164,372,3.1536323621
220,64,6.67467782113
408,24,10.273457553
247,174,14.9318204054
55,182,15.4276887527
370,175,9.57719560019
483,399,5.98557802446
102,148,12.6242583595
414,203,10.4225594815
156,433,9.48046714707
202,423,16.0738800468
109,194,3.00454748906
464,11,8.19355814339
217,274,14.1200374592
495,150,13.9236564068
364,423,12.6601774214
120,417,4.0420460907
214,106,4.06869945687
174,130,7.1644018985
293,440,7.34000119279
214,391,14.7137206516
499,117,10.7261713573
110,19,7.66469322939
291,220,8.50361663967
443,490,5.68102779477
77,56,-2.32906760824
381,497,11.1231247212
123,121,13.5097774241
492,435,3.00988142407
207,246,2.87404081797
311,305,13.5025965097
29,89,14.2616265814
314,406,6.55883457861
8,335,7.13647574542
460,57,8.32827248732
57,24,5.32094133809
127,330,10.4048762772
244,281,9.40354808518
385,389,11.4486080717
329,359,9.56417209357
183,177,14.9840588623
403,68,15.3389187246
215,10,6.53146585386
136,303,10.4178151255
80,342,10.0960546703
31,151,16.4173766519
213,448,5.16845863553
54,293,10.6002529155
68,97,13.7789576883
445,201,2.5200220149
347,460,5.71948185176
347,125,11.5067273163
27,256,15.0871491408
466,117,7.505726549
302,81,15.1008309108
166,62,8.3309553904
21,296,4.24321058295
205,133,6.16637327158
442,88,4.75595679972
68,213,14.5787685162
318,132,10.237492376
260,131,7.27417819941
243,396,4.1913877721
485,272,7.22629302366
413,403,16.0008732011
40,333,16.1809902741
406,460,13.1404450886
492,221,12.6952907012
431,379,4.94966962621
299,343,13.1334846757
309,183,12.6590988313
177,465,3.74215446709
20,208,13.0241062369
240,460,8.33849513367
345,262,15.6081977649
267,72,12.0778744356
50,386,7.32065421002
351,386,12.6357366185
79,422,9.43847430782
433,427,3.3027119059
131,160,14.2000033073
279,415,4.2214864279
373,283,4.06012478569
423,342,5.09264642865
487,185,11.5813163732
356,36,14.2744540571
79,309,12.601373309
482,343,11.1534514855
87,393,6.49896880183
147,0,8.69007609477
154,249,10.3902090369
32,470,8.56495464658
254,211,9.24720382592
