x,y,d
181,404,9.30283257003
16,251,3.86091278203
380,449,3.23917495258
290,369,14.189228421
420,481,10.0659159736
134,147,14.0836822651
29,305,11.0637313105
236,439,4.31599129209
73,184,7.23010545478
222,163,14.8643337655
95,375,13.3898267553
460,425,11.9240089396
49,225,11.7054797112
168,200,11.8331183301
439,159,16.0821350909
118,398,9.39843555693
213,471,6.34505954501
297,226,10.4821235927
398,262,10.3282067413
43,256,4.68721708966
289,52,9.38649454007
87,297,11.3459288626
128,302,5.55364471559
295,299,6.04344462744
155,484,9.67650129521
270,462,11.7079428411
379,48,10.7497861684
332,320,6.61509670697
413,206,10.0257573447
354,144,6.42664528984
282,11,11.1609511012
205,353,15.6432164694
67,110,10.3227865568
329,182,5.22432803156
340,279,4.44537911405
221,405,8.45163441256
452,111,13.6800722934
294,125,6.8920227725
413,410,6.01803901555
379,199,14.7077739661
345,344,14.2007770147
31,358,10.7884259892
110,126,8.76601409449
457,56,15.8757659808
21,197,3.55485417956
354,499,5.27381215282
368,229,10.4216478385
191,441,12.5478934802
226,55,15.7238572257
474,309,7.74256336585
489,79,11.8054643815
117,467,10.0980972032
348,23,6.50765266525
191,129,12.4088810262
59,13,8.0976990093
273,324,4.26633074259
333,237,26.4119763333
187,486,16.2185079067
491,107,9.787458303
470,191,12.6052101183
259,145,16.4027169832
257,488,15.4833312598
49,472,9.73068816516
177,231,10.7729603353
393,115,13.7501850337
289,407,15.2911729453
246,108,5.73174848261
358,472,8.71690754288
60,396,15.3684808594
304,255,13.4994751761
322,114,13.1820029351
318,68,14.4119368686
166,52,16.1230887524
134,220,3.84390371576
248,376,11.3267447678
246,256,7.90413437981
220,376,15.9693907072
382,7,11.003015698
435,267,10.9600647754
89,252,12.8941233173
330,406,3.90380188144
326,146,6.95479089894
218,305,10.0807911803
416,353,12.1813674288
12,432,12.8621271862
13,499,12.2862846172
65,49,16.3905695955
210,30,14.9244744707
177,104,10.0411275943
92,454,10.1246065932
132,427,13.8579085993
111,18,5.30579889946
354,435,12.6360658233
248,185,16.0897477401
294,174,14.0172850478
61,82,9.9322575076
172,270,6.50412499951
456,24,13.8924774372
469,230,6.9241519988
500,204,5.4835040933
