x,y,d
429,140,13.7581803996
5,376,11.2568963872
387,374,3.74160937732
202,492,8.30298973648
60,58,13.2143831231
375,280,10.1366803273
281,489,6.66028967399
135,95,5.52255535914
193,404,6.09481439933
9,449,14.5765429409
203,374,6.85378963995
213,316,15.5923998515
9,157,10.072564941
284,74,5.99727482317
125,415,9.19268149153
255,210,8.3916552759
60,493,7.46852482602
388,342,3.93565091626
34,368,15.1920847652
422,356,14.1917258933
20,275,8.16369170686
7,41,14.0401321868
110,10,7.45641277467
221,349,3.74511073117
289,15,4.68297779138
240,478,8.24188188496
52,190,4.37434646322
457,457,6.8878100811
184,294,15.649338253
267,171,10.2596818303
97,488,9.40417867577
363,26,11.3370453262
154,116,8.57908037001
342,445,12.5407406226
454,305,12.4377045153
398,246,6.61330902223
445,195,16.5236869098
76,7,12.9844094941
72,93,3.98942584276
318,383,22.666607052
88,394,14.000504419
439,113,15.6998374845
316,240,8.55791811049
130,483,8.14070060181
114,213,15.8318788406
323,116,12.2756697147
228,219,11.7946684908
489,420,5.92634731469
112,352,13.1300347516
167,393,10.1609497869
401,28,7.51499607982
322,311,14.6668377526
53,320,7.21671023232
56,277,5.36055048337
271,326,15.422805579
70,417,6.32608098822
150,148,13.1310528498
374,164,6.0242095717
230,290,16.6864517489
483,168,16.6473460035
272,102,7.97763588687
424,299,12.815884419
131,62,11.1246959394
291,411,8.22380657617
168,439,7.96315307563
396,96,10.6402887496
485,499,10.1851613382
177,339,15.7182090087
77,154,8.46460370668
423,457,5.10068671667
217,74,9.24267492676
1,201,13.0510670501
473,248,14.1962850665
27,211,4.79828430474
244,399,15.5395348039
128,381,8.36820714459
331,337,4.29268514452
280,300,16.5224289209
88,34,16.2975728427
179,50,15.4013084806
128,251,15.5180111442
99,134,3.71404585815
24,480,15.1623014389
384,2,7.40466370646
212,193,16.2237009672
70,243,9.4431955405
219,110,7.83875493986
449,79,14.8619135215
352,182,13.0847598707
429,7,9.40411586082
484,370,12.0575657278
215,438,10.3462628086
387,130,7.56819613873
154,9,14.9508627192
129,319,12.2952370324
217,39,7.14569762904
493,313,6.15312955751
356,230,9.82345726734
34,34,14.8970534667
498,343,13.4170367957
