x,y,d
156,493,13.100370524
409,333,5.71112852132
469,62,10.7217301402
215,390,10.7790697594
78,67,13.5956244219
105,147,11.1860755157
500,414,14.6548385724
50,220,12.5572429552
81,398,9.83263738419
9,351,4.33442513125
86,184,13.7619870224
13,22,9.31974191379
337,341,4.20750026449
222,146,4.57841703418
46,321,12.9831878589
77,140,7.94644498298
81,337,6.78841232686
234,98,6.41237938101
275,34,7.8433753917
483,476,9.59621034156
82,268,11.289009285
215,421,12.282517176
360,197,13.5762124773
181,141,17.1617832152
252,13,8.84222449234
407,155,13.6875170091
34,47,12.978668066
127,317,6.48717769118
209,238,7.60694577717
110,29,19.4387226453
154,455,15.7247550142
485,11,8.57571038065
45,290,9.58505312194
299,252,13.2814489776
146,150,13.5167566667
386,315,16.2062720271
79,306,6.24918237383
15,77,7.58025300289
90,447,17.2137634543
412,211,14.7565551051
17,465,9.65294341055
168,196,10.5947544987
344,290,9.69443674283
272,355,13.2641726593
1,272,9.1015613162
407,25,5.88264950275
228,302,14.4124561855
67,499,12.4080498929
358,147,16.4650894856
371,278,9.66630544187
284,95,10.3676869886
440,331,10.6837945088
164,94,13.7671852122
115,396,4.94383497818
150,379,12.8480666447
64,31,15.7126769903
106,205,5.90820181305
343,395,7.6924405376
443,290,10.3330008547
329,172,15.7589077024
221,3,5.61280017229
489,104,11.9875136365
457,126,15.7256170183
459,365,6.28133888317
407,61,7.62384912708
464,444,12.7797297675
176,270,15.0821438565
289,150,17.4807334275
441,216,5.55124976018
432,439,13.1014274394
317,116,11.1728573664
144,346,17.2090644763
220,33,14.7700748748
64,110,8.00008381091
208,108,11.8362153424
394,441,13.3364154718
456,500,13.6812496927
182,52,10.8470374468
300,72,7.0897356532
30,172,15.6243864736
423,496,4.92226059736
18,404,6.48812157852
499,376,14.7200862121
364,464,5.67175839323
78,233,11.0396393852
2,497,12.967352199
389,359,13.5071754347
301,373,16.5191249134
183,425,7.80972196988
38,441,14.9484134675
195,348,11.7825188027
48,74,7.46089115083
359,70,11.3057569821
129,222,15.1081810765
250,140,17.0853576455
153,23,9.85695665349
101,111,6.58084973791
128,126,4.35899243447
223,341,17.0886588389
420,183,15.3137446161
