x,y,old,d
313,9,10.7390032,11.7390032
184,66,11.69196594,12.69196594
151,430,7.683721831,8.683721831
189,493,10.82614335,11.82614335
254,109,11.20005196,12.20005196
194,452,16.32376955,17.32376955
299,486,5.101477403,6.101477403
46,71,15.8298985,16.8298985
354,391,16.2600451,17.2600451
451,452,10.62558831,11.62558831
43,99,11.00531427,12.00531427
334,205,16.18374422,17.18374422
135,94,13.92054141,14.92054141
52,265,2.757591317,3.757591317
212,209,4.455020809,5.455020809
475,483,6.213918894,7.213918894
388,406,13.24922193,14.24922193
492,225,7.882634719,8.882634719
315,234,11.0161733,12.0161733
219,317,6.860744395,7.860744395
95,244,6.044273518,7.044273518
168,199,16.14434036,17.14434036
15,370,4.473331789,5.473331789
6,485,7.346491718,8.346491718
32,138,3.523039535,4.523039535
443,193,15.12781628,16.12781628
385,334,8.980190949,9.980190949
417,471,6.122966672,7.122966672
104,170,6.474318232,7.474318232
39,411,8.809717708,9.809717708
23,275,8.037644081,9.037644081
462,426,7.455889043,8.455889043
424,379,8.328049054,9.328049054
335,358,8.425727302,9.425727302
97,30,9.450570478,10.45057048
394,362,3.049301128,4.049301128
346,418,8.560658965,9.560658965
401,206,8.064394136,9.064394136
33,451,10.22752657,11.22752657
36,319,10.10751978,11.10751978
388,446,11.54423755,12.54423755
158,320,15.30793935,16.30793935
373,478,8.118661317,9.118661317
215,433,9.913424142,10.91342414
446,346,11.42745131,12.42745131
197,376,6.159113893,7.159113893
366,39,13.98246694,14.98246694
112,221,9.850379576,10.85037958
499,30,13.66208275,14.66208275
247,371,16.36097622,17.36097622
324,272,10.53961502,11.53961502
411,270,5.921874577,6.921874577
117,67,10.32021414,11.32021414
100,367,5.090322916,6.090322916
328,114,6.705924393,7.705924393
161,492,4.867220119,5.867220119
488,125,14.9958745,15.9958745
448,308,15.10208234,16.10208234
464,278,-0.521120671,0.478879329
400,497,16.3333636,17.3333636
157,38,13.62179725,14.62179725
411,23,11.67425474,12.67425474
291,220,10.61235816,11.61235816
263,36,7.892799332,8.892799332
8,90,13.47678931,14.47678931
444,40,9.365139968,10.36513997
167,99,16.52548253,17.52548253
133,289,11.31492788,12.31492788
11,193,3.362827102,4.362827102
109,123,5.561319554,6.561319554
380,85,16.20909047,17.20909047
337,316,7.205365996,8.205365996
212,174,6.234384987,7.234384987
245,399,10.08503819,11.08503819
241,203,10.37614215,11.37614215
306,132,13.33711389,14.33711389
166,392,13.01997075,14.01997075
259,147,10.84067048,11.84067048
275,170,3.003540497,4.003540497
132,27,6.030010339,7.030010339
299,303,14.18093584,15.18093584
250,62,12.58840558,13.58840558
496,401,6.728844807,7.728844807
340,156,15.75245,16.75245
237,244,3.931054972,4.931054972
340,69,8.427528478,9.427528478
458,371,6.574451432,7.574451432
0,5,7.021045614,8.021045614
173,360,8.051637963,9.051637963
209,253,6.444607656,7.444607656
76,324,6.346030595,7.346030595
286,409,7.912814624,8.912814624
303,62,8.439564693,9.439564693
438,499,8.042656057,9.042656057
369,135,6.567527712,7.567527712
425,62,4.634465213,5.634465213
224,116,7.766442443,8.766442443
242,11,15.36349007,16.36349007
411,103,4.836666903,5.836666903
499,161,8.547132439,9.547132439
