x,y,d
297,488,15.5866233062
356,316,5.51734879174
180,475,17.2434840413
220,276,10.1677205591
404,446,12.260561359
191,169,4.68691435206
15,477,8.67243541515
387,269,12.1726916161
307,86,15.824884392
312,418,14.1469596908
332,488,8.56754788837
426,360,16.5719185652
197,60,13.4824063603
47,293,12.8540011537
39,452,15.3870100637
156,402,12.1095132522
448,80,8.54806271677
392,104,5.94249416699
240,147,8.55600789147
306,359,15.0843060245
414,397,14.3466079722
28,389,16.2079105089
265,458,8.06588977103
5,172,5.67671826573
364,449,10.2341394281
350,16,8.02773967929
89,375,14.8943503066
279,82,11.7594163559
140,444,4.56445490659
461,8,7.20663801185
192,336,5.16154808291
394,335,16.1073043378
67,468,7.29824096637
488,210,10.3630966435
87,229,6.77067425752
324,452,14.8860052185
102,452,7.33887368974
409,231,17.3386983757
278,412,9.85630971253
426,112,8.4462311078
157,265,11.261345834
92,262,7.73273222024
378,164,8.91060932129
197,211,13.3903020537
162,214,5.58759113743
126,402,8.04041636157
127,199,12.2342153033
329,241,8.2344589376
370,59,4.69547271231
465,237,5.76599685486
447,427,9.29882639458
186,436,14.4754400076
90,314,8.63310391126
100,346,5.45586017454
168,66,6.36658643141
54,200,7.64411637544
47,412,14.7881600366
193,140,11.6619016326
255,378,8.85890801063
149,372,13.4640277398
227,429,8.40008768456
74,284,17.359030409
421,38,15.9396342421
157,124,16.1600301088
134,164,16.8827808764
500,385,3.92727191865
435,161,6.0171584749
75,171,10.049000637
155,329,11.2470520416
477,157,6.91618484412
32,260,9.48346155952
10,298,5.92870680442
308,312,4.85291287931
377,414,10.2990078682
409,484,12.2372496167
284,7,10.882030418
18,219,9.2631265563
236,34,13.2403385262
232,217,10.5278789727
14,132,16.5633752835
29,21,8.91194684183
320,116,10.2962103803
56,380,9.45852314341
487,269,6.6918381007
485,455,6.14393669527
471,481,16.9707503521
35,96,7.43585500396
106,123,4.71280245674
127,312,17.4548245375
222,477,15.987405377
113,24,7.37813635026
208,308,5.16799281419
258,125,16.1518618608
345,393,17.031111793
336,55,6.04792317137
161,5,7.15900886881
107,77,11.4261449548
449,382,7.62914940259
432,293,13.4118609484
285,271,15.9079302533
