x,y,d
103,210,14.3275690322
217,252,7.53412426894
402,282,12.2905620002
292,79,9.31996816559
391,395,7.26524743205
272,386,16.3694693972
94,59,4.00270671266
483,84,14.5796251989
408,11,4.41189500528
422,160,8.48369930704
189,45,14.2597900958
439,294,5.70309572935
342,406,7.31802610008
265,495,12.8909638148
438,62,13.2453988982
455,496,16.6752704639
30,63,14.5511019325
352,133,7.61448825456
242,178,5.61774502273
314,254,8.12011177659
411,102,5.79416975056
497,370,12.3969094494
79,11,8.12392488593
198,139,13.706239174
287,8,6.57904392608
191,86,7.84001839603
253,61,13.4979553451
102,349,15.765475299
369,240,5.25383808825
110,150,9.23710088646
298,453,11.9589076499
284,324,10.1133534185
201,391,12.8924253297
183,199,11.5570093572
385,317,12.9491598564
344,31,10.7754725812
495,450,12.3231131622
333,293,11.5204302072
70,321,15.0077986008
256,341,12.5227423127
112,493,14.7361987756
311,219,11.1040448286
59,366,8.4853920832
469,324,14.9757046753
249,455,8.24134037025
10,212,6.14690037152
485,405,9.38576422331
288,160,14.7031601832
412,212,2.45051112766
136,16,12.3977231241
238,300,7.50580691093
85,109,15.0142743853
250,267,11.8132533692
77,465,13.7446537765
320,471,8.68747097919
453,34,14.4330007084
359,162,10.4004236628
459,156,4.5630998176
4,385,8.70974763983
380,436,8.97979440079
1,290,11.7841578157
371,97,9.004692623
43,237,11.5073086816
37,121,13.3503796099
122,248,7.78777683641
146,143,13.0769761302
81,431,10.0917173558
191,356,16.6855632229
114,318,8.74943422412
277,271,13.3282698587
343,80,5.83497875139
178,491,14.587116133
170,107,13.8847113198
113,378,5.82897258109
106,24,10.3253816133
239,422,5.38758049574
88,280,13.9451376337
387,196,14.7464311416
464,209,16.9528540674
219,195,7.11059387861
448,367,15.2439122112
175,424,7.87681330127
246,0,15.5169828481
205,2,10.5139799665
17,324,14.4879248906
351,206,14.1363125926
410,49,12.5326952248
416,497,8.09642737105
50,440,15.6884846351
72,495,13.928410329
261,100,10.802478752
294,361,16.8917853127
115,439,12.4463608637
134,276,9.7473410303
22,469,13.7672221264
366,343,11.3095551514
137,212,8.33140708777
276,197,10.4925667712
419,341,9.53316656473
214,445,10.3057925495
