x,y,z,d
236,6,100,7.61142741968
198,296,35,7.07125630878
271,435,10,10.1439715424
226,150,274,11.9091524219
358,20,7,12.5755233887
227,183,493,4.70376124335
347,350,265,8.4961373967
54,47,61,12.2121522582
199,141,257,9.52027899791
248,338,130,4.4635618993
158,296,83,13.0054936359
283,177,305,10.583561825
206,69,77,11.6063869697
348,357,192,15.1008923279
384,471,275,9.0981972411
132,2,1,14.8813704539
428,338,311,12.1593017613
75,304,305,15.8597988643
186,390,348,9.6132187162
74,436,147,8.02088889851
335,377,37,10.7508139047
45,481,238,7.23320033716
454,186,486,9.40604062436
234,346,285,3.56650592463
217,306,240,13.6264336987
29,365,421,15.0826602752
18,123,192,7.64363514705
72,62,201,10.6793592062
140,185,198,14.1242872014
165,317,112,8.28773806993
179,217,490,9.59100765906
280,35,53,5.50421966456
490,269,234,10.7571176428
283,417,433,8.66780116772
117,62,285,15.3823958192
169,136,281,12.1189419249
362,53,6,5.95477945699
339,261,195,11.1955565325
437,397,212,13.3937086764
436,84,388,12.0562210343
387,244,20,6.13161662465
25,115,308,13.0940940578
195,215,341,10.4785319769
334,374,231,14.5696909926
365,336,390,9.95952872046
81,489,385,12.1138837153
492,2,73,12.680735184
138,91,441,10.9372221828
371,404,179,7.71593388058
354,62,399,12.4614270152
144,236,433,8.21153481379
381,227,283,15.3088927225
426,1,224,9.4552056673
228,102,156,7.56984126737
432,290,187,7.87275466889
81,254,238,10.4671758531
193,394,311,5.32301427889
133,352,91,9.14948974104
411,450,121,13.0876547656
392,340,365,3.70053911817
156,339,387,12.0491474214
296,281,450,6.77200826115
169,0,157,13.671554701
366,242,137,7.34126050168
303,318,11,3.79001861014
153,386,337,9.18015646607
285,404,359,6.64736168771
400,449,269,8.52044956068
102,456,222,11.8434472141
387,278,222,12.9055219677
408,385,427,3.62936117377
212,144,233,13.4742279659
496,315,230,10.4833666526
442,338,181,13.1038078604
144,22,177,6.22606406205
86,177,201,13.7005928552
488,365,292,8.01093595904
257,61,28,14.1151615799
166,330,36,4.13359510988
34,383,151,4.38749200611
56,248,277,6.81198141844
483,23,406,15.6185797613
417,399,69,13.0116311509
472,465,38,16.1483485236
98,231,44,9.76876585607
11,287,265,11.9583831506
225,443,385,7.85382530848
199,462,44,11.5416477291
139,429,248,11.4660342113
40,287,141,7.09943948559
264,141,332,15.4056334034
338,340,355,8.77160269193
85,31,445,7.48412666064
323,226,389,10.1074505782
53,207,102,15.1462878021
33,176,51,16.2159177467
286,482,39,14.0348361412
49,72,125,6.15312718311
336,225,119,5.03600324306
461,375,401,7.3844465195
407,162,387,8.90765096921
473,147,364,15.0894311533
248,173,51,14.4246130098
438,332,83,8.02620389092
350,99,31,10.1926634
170,456,391,12.5521138347
1,241,169,-4.1384406838
161,210,249,3.79597100812
385,41,131,10.4702575792
292,484,81,14.8473323006
467,20,242,10.4021992323
396,163,428,10.4035056235
495,185,430,3.6803058542
469,438,288,7.19345838086
439,82,429,8.15480666285
436,274,449,8.55898642615
137,371,213,13.6028661979
425,368,214,8.89240147244
340,101,355,4.12255704871
373,62,149,9.13162238815
87,411,270,11.2094611226
208,153,363,9.19111893899
57,89,428,14.1249949344
159,30,155,11.8072170506
216,488,417,10.0101642877
490,62,168,5.02745591405
139,284,140,4.00998658439
122,351,336,11.9100907172
438,471,120,10.785472056
202,217,33,7.1403402944
252,184,25,10.2533121346
42,174,384,6.37787802864
307,162,91,15.26212988
409,250,52,11.7582542097
54,230,298,14.1605440167
34,365,448,8.13645402258
378,368,179,5.12651813862
139,480,158,6.01987766134
242,359,34,12.6474427653
409,14,298,12.1398570408
431,16,372,10.8601903248
398,346,179,5.21695728433
357,319,367,12.6683957808
148,51,300,4.86063555266
397,115,404,6.34903713014
206,222,241,3.52810904808
463,130,252,12.9245354751
133,276,367,6.35985734063
435,129,487,8.69305124174
195,428,143,10.3132355484
424,483,414,9.72674301909
363,106,120,5.0407634143
232,1,345,10.7320167352
109,495,457,11.9676292271
281,242,300,4.39213751587
344,493,209,6.27132519292
47,62,349,16.0490909551
277,356,97,3.63509457045
329,413,249,9.49934460808
413,218,188,14.4078570391
17,94,29,11.708510246
342,41,487,7.19715947119
232,256,335,9.44371461318
387,290,47,3.44132843642
284,473,369,6.1904092863
189,486,272,9.62796371684
152,422,271,10.0275633486
278,382,81,6.57520846312
117,312,171,11.8483958224
490,174,68,10.5497778098
56,352,133,11.0540226259
63,398,411,4.13195150078
400,345,235,12.2366829168
251,123,208,14.6025308774
44,389,205,14.8266456424
480,485,387,15.3616313914
363,60,214,14.4930720865
123,442,39,8.9746086103
153,60,423,11.4317706582
269,343,249,13.7737543529
18,35,352,5.96015311837
201,324,486,8.99248748368
448,202,393,12.7315462185
108,372,391,8.07481747326
437,171,258,6.99601895927
314,316,425,14.7470991184
2,262,455,9.9818080592
400,258,352,6.19364383949
11,44,50,15.2967909662
118,232,369,14.0646642576
292,341,418,6.62923918233
336,5,210,13.8007128646
254,315,265,13.257108435
43,298,281,7.39687177518
337,97,319,15.5617689196
137,54,127,11.3434853604
39,142,104,11.053819752
487,455,344,12.285697963
477,25,71,12.8715591208
20,445,174,13.621787344
