x,y,z,d
42,180,383,11.5523324344
381,386,289,4.50266011893
457,314,115,11.8706049551
14,228,420,13.8986611749
349,118,213,9.29440340176
147,230,402,9.65062183118
251,165,433,8.75165695478
77,227,371,9.1124717213
343,271,478,11.0903757352
315,240,443,12.7850905464
36,98,167,13.9349365423
290,181,416,10.6838214948
35,67,414,11.0945400414
160,101,88,5.81710317691
411,185,252,8.17537094362
18,195,26,10.0747981178
71,2,306,7.14814643428
119,275,231,15.5410846059
185,437,372,16.0838021019
168,422,289,9.56070536069
393,468,242,5.82483116219
54,94,442,4.99391781351
250,443,8,15.0970893454
411,381,0,15.9116222303
313,67,361,3.6396163373
21,350,415,9.41076890052
142,260,193,6.05171737645
157,451,131,5.59093917071
474,481,291,8.2082172546
152,322,349,12.0072749646
225,160,42,5.1652375787
293,350,356,7.8032480087
472,60,331,11.4563570121
273,120,244,9.77438709405
44,252,293,8.20817661228
58,183,432,3.7711441741
0,193,92,0.176549335766
201,465,478,17.125135194
9,464,74,16.5594029786
242,362,374,6.770915466
278,390,402,10.1348095532
114,442,207,14.065269893
175,343,389,4.89134350248
249,364,416,5.15726284339
133,173,274,14.8799055923
361,25,314,10.818225168
254,451,122,9.5949758147
349,458,455,7.21320366189
457,129,18,4.22407433743
114,435,55,16.9996384891
304,36,287,9.5400032527
443,325,245,3.59634812781
375,101,223,4.94397923037
184,151,120,14.9462359377
458,446,345,11.4972105045
31,310,449,5.63029482919
320,403,182,5.16843976665
404,89,347,8.22444910589
274,6,406,9.00102011657
370,433,339,12.522171617
30,414,276,10.5742886645
111,333,144,9.31552756881
165,29,369,14.531157265
33,393,95,3.89654548517
257,21,59,14.0467047313
391,225,132,3.42693245053
498,293,72,4.63080482485
138,442,175,13.0127310386
377,339,332,14.0279946006
428,93,331,10.4240770225
189,172,63,13.8212392918
417,172,210,6.29950480621
450,118,300,13.6876937372
199,127,184,15.1317901638
418,251,254,5.76909975631
172,415,224,8.07323393287
391,486,485,7.11987512689
57,322,287,3.6914521993
150,148,60,8.80672905967
243,112,101,12.0148490606
327,426,131,16.9083836081
317,334,287,9.14929481486
390,322,389,9.22346119655
40,47,325,11.6582094808
2,232,200,15.5353292444
205,86,81,16.3727874333
112,423,479,17.1970354618
189,316,112,12.6819628102
141,125,448,9.83165002638
286,395,65,6.29301455705
65,5,438,12.6729077809
215,414,215,13.8366928718
111,174,176,15.5733492713
485,165,494,14.7376103686
232,103,245,11.9184558854
49,419,115,10.0292517555
271,171,137,9.74322569384
101,215,226,11.6688465914
11,162,243,3.96204344451
443,213,196,10.7649499966
376,236,466,5.92679718952
452,153,498,12.480460382
436,435,382,12.9942321412
330,166,28,8.68557064131
311,211,327,8.93681264703
465,438,460,12.4313905681
462,260,250,13.8150808111
102,106,347,5.28449853329
206,460,211,16.0811120171
327,20,431,17.1514339173
197,27,456,13.0456220953
96,328,252,11.9200800335
166,159,197,7.64419249472
317,46,415,4.7910434508
216,262,186,6.99623061907
28,25,373,10.0024676819
356,161,189,13.7760312294
210,284,443,5.3483716969
199,393,270,8.7256301095
172,75,198,11.9353614321
220,36,213,15.5787819857
487,129,169,8.89642373051
246,44,144,9.52766058491
48,40,76,8.12915324054
415,237,467,16.5293669177
242,355,247,13.809759514
333,331,179,16.3223929294
355,44,58,14.7590037456
251,391,305,8.48102715076
353,449,211,12.212446339
366,107,391,14.7402075925
124,84,388,14.1434683019
338,38,297,14.4287689641
191,153,315,7.98310138093
18,53,385,5.23604454675
95,149,404,11.540620025
480,354,399,8.26988207227
293,26,416,5.88285427135
164,411,425,16.3800937218
414,91,254,5.67854583841
113,104,474,8.7511538342
63,267,464,7.09350131159
404,348,413,9.30481106967
414,446,113,4.56786501173
391,34,112,6.03772154293
113,338,354,8.35307381222
396,270,218,16.8660675541
454,347,191,16.8126923079
313,199,39,15.1466936386
297,369,498,14.8459579656
221,317,4,13.6104618442
29,161,92,12.5230194753
151,58,292,14.0605980182
50,164,247,11.3717780358
420,469,337,9.41778971742
421,362,146,10.3718922224
30,249,477,11.1181936107
10,181,418,6.08097199143
403,225,491,17.3563775312
32,102,484,8.46798208956
386,458,107,11.525190001
346,465,0,10.7959383429
156,71,401,10.4040283592
35,486,437,11.2193823498
379,327,80,6.48098734495
24,316,48,15.1980610659
106,439,159,12.952681632
193,25,35,9.49714536167
497,223,292,9.81895068156
57,198,160,15.3120264538
290,240,301,7.16074667116
495,60,438,9.13760117217
134,125,298,3.35864055765
479,94,54,13.7878460683
322,441,190,17.1518411091
454,50,161,4.81586752804
205,368,281,15.9743700527
153,296,450,7.91087439691
373,366,71,15.4953347632
132,133,398,3.31838854403
303,496,457,4.79384713493
180,222,134,9.75421224522
44,447,199,5.23920721548
403,84,174,7.84886510685
121,39,492,8.44226991885
228,199,145,7.46044890787
392,299,334,17.0643217293
494,179,452,11.3654935873
15,294,279,16.0061658555
250,131,445,12.2258777338
195,50,146,5.10123276815
111,299,342,15.7749509224
439,449,139,4.53566186679
83,499,399,8.72720848807
468,307,362,7.53116483528
323,41,360,7.53911913121
324,168,498,16.9246716405
157,212,211,4.66017776874
350,116,93,9.72399295358
472,111,224,13.0440262793
