x,y,z,d
374,81,259,7.67647648626
3,245,93,5.83555072792
23,270,38,10.5235022336
133,194,171,10.1694493362
421,483,56,7.51950055775
180,55,278,15.4304525865
33,238,257,15.8772081414
261,363,161,9.84654730518
32,415,339,8.09389533686
224,208,485,8.64170847154
65,199,416,13.8097690201
220,59,300,4.22649170961
409,423,58,14.371281231
367,218,420,9.88099447867
395,99,290,7.08803319699
299,266,418,6.00462072354
197,394,454,14.7923940259
209,257,430,5.51977013406
383,348,104,6.74940207799
17,348,447,15.5552872619
347,395,406,14.7625040563
146,343,133,9.32296780566
8,307,202,11.7082296335
373,421,12,13.1811124703
282,231,314,14.7916132029
395,271,157,12.5433768612
87,11,285,5.21328940754
306,248,376,11.2462164001
112,208,436,9.0799402489
305,161,467,6.80865057744
40,119,141,7.27623202544
494,242,353,5.85088006505
202,417,406,11.6041598631
378,435,210,13.3306245589
231,110,153,8.30133734374
274,198,142,13.9827018207
248,104,29,12.1018595635
383,62,102,12.1926671771
404,116,354,10.8902798624
418,216,166,8.99600798445
179,71,8,10.3257746905
264,131,259,12.3763969423
156,171,132,8.30348490514
488,308,323,3.97644936124
227,290,385,6.58099964756
18,434,83,10.6836571774
254,259,423,13.0421139294
478,111,266,11.6420183658
215,466,82,15.3332663691
27,119,220,12.6190645132
220,361,41,1.90240333261
417,136,212,8.09789358976
192,492,305,14.3184256603
8,355,359,8.72240814699
406,364,225,11.5282306723
141,269,449,5.55043413222
250,489,317,6.89885938595
423,365,41,14.2735183933
232,370,4,7.18440067085
241,227,108,8.04498746765
244,281,109,5.07241833619
322,474,351,12.0758034245
357,61,112,12.3406104518
122,421,438,13.0802168014
51,392,377,4.8469021736
364,266,185,5.91003167272
279,64,359,10.7049732468
288,32,4,4.8160748001
19,222,172,8.6151257552
241,186,23,7.34564203558
93,184,89,15.005143746
453,423,121,9.4832102818
482,246,7,14.4137954876
458,125,246,4.05992490876
190,433,153,5.18295288196
452,483,301,15.8610480417
95,498,82,5.16149725805
12,146,263,11.8337161005
395,273,389,6.87765534869
169,146,314,12.9607391179
7,126,98,8.26055033204
274,24,234,5.30201540707
96,206,12,12.8809901379
339,293,233,12.0946868294
11,313,55,9.19320602298
327,113,328,14.2033613502
343,76,448,14.3589091599
358,499,124,8.19521807689
95,239,216,10.1096706301
468,126,395,5.21811165536
124,291,296,12.7356014263
64,75,357,3.89460790577
452,143,59,3.83338977258
317,88,240,6.22134142908
289,402,17,4.72484729441
318,229,37,7.12977480118
11,54,118,8.07649370637
491,140,491,12.0956985974
290,178,29,14.1356467575
160,20,287,8.04327246096
381,176,98,12.5708354482
180,370,126,9.89456724154
346,136,75,15.6838563492
74,197,135,9.16038818211
46,18,476,7.40215239087
418,347,198,6.19658861709
403,247,25,10.9798971619
437,500,252,9.44410098033
326,28,162,14.580274132
258,142,43,15.8281472505
276,200,384,9.71808589097
361,390,430,7.39245456455
414,332,229,6.81409406326
385,19,199,15.5134302057
11,200,62,15.8456983623
132,133,153,11.151019756
460,174,88,12.974257871
361,269,428,11.3679680584
161,377,197,4.4753442568
469,270,407,5.15268605088
31,85,248,4.30561842959
481,207,311,4.83194540608
16,173,403,13.9838392105
163,456,116,12.0747861274
379,495,363,13.8865070301
30,402,129,8.30816435918
202,182,333,6.9495599231
401,497,36,7.9852339925
116,30,19,8.53532337489
341,23,95,9.7669784604
157,166,330,15.5270375748
495,500,153,7.85015129916
432,429,334,8.59555174105
433,56,244,15.0372384979
256,457,334,15.7509370547
78,486,317,5.00072951647
216,162,390,4.22315537096
52,445,364,14.358323371
56,120,463,13.2941615354
486,316,151,5.52290535079
105,103,340,12.7914723494
208,491,221,8.77398771681
239,178,139,11.9538597301
256,294,381,8.49818799161
14,329,351,8.62372476803
127,345,423,11.0571977178
468,407,217,7.57084223711
77,413,348,7.63981769635
181,307,188,10.2849503925
215,206,194,4.98145347914
427,347,10,12.9982380812
177,241,9,15.5328372759
173,199,371,7.46820785741
387,215,202,10.6048115793
86,309,95,11.9549667818
228,51,373,15.8123460532
115,35,148,10.730137817
309,178,105,4.11399629043
466,46,180,5.29097108848
229,277,55,7.13778604738
113,472,71,6.99188650728
260,234,40,14.277206253
302,113,127,5.41185243019
255,347,22,7.78063258771
238,297,16,12.7814745065
285,375,432,9.938919006
341,251,152,9.95277511133
390,39,328,8.20810691614
358,420,227,10.3177845611
152,263,415,10.3912203515
0,112,207,9.894262698
296,333,161,11.2675369285
363,98,279,4.06489567551
406,98,470,7.38925661518
190,408,24,15.9682078114
495,143,400,13.0456463805
240,347,431,5.0370303143
211,227,120,14.0976146795
235,279,305,6.0833355329
350,441,293,13.1610704762
262,129,120,7.76894696123
401,104,379,15.7022211901
127,364,31,14.4965084795
488,252,439,11.1156066259
306,182,424,15.4057254627
147,291,261,11.2514101206
389,306,305,5.23639965582
472,114,116,15.847659236
32,298,66,15.8973977281
434,226,496,7.17137310196
61,481,212,8.11535570658
215,422,68,10.6129886128
176,16,1,13.5550092203
171,299,317,12.1459887482
494,343,206,14.8711127283
145,489,245,8.74211793281
233,6,247,4.16074909283
434,19,456,8.17090196936
307,67,12,14.419658401
464,429,370,11.5916945492
