x,y,z,d
469,226,302,15.8879123072
439,26,189,7.37121112875
229,302,46,5.4740041405
66,97,231,8.06467029657
499,474,278,8.06402320459
95,259,291,2.8088365075
356,330,230,9.55322890942
234,172,441,6.18609329904
466,233,266,8.66228140337
472,316,5,2.90217238916
489,185,221,15.8619349329
185,487,202,11.588571525
26,277,15,9.89439804389
302,47,331,13.0048199638
350,454,367,11.1521653664
368,431,152,12.2251252838
390,5,35,11.3404617478
226,388,213,5.20137892037
82,445,102,9.94002503213
305,385,182,6.57072022724
382,13,249,15.6603731761
214,169,495,15.8621812237
480,75,433,3.64752489157
176,250,210,3.75754298288
141,257,372,15.9203913292
347,223,346,8.46068980868
1,89,194,10.7622178584
21,159,376,12.506215551
43,56,477,12.8113407766
289,313,355,9.21807295697
239,55,326,10.2885707255
102,278,205,14.858444813
465,106,345,11.4616720916
11,404,342,9.06828232467
131,53,357,14.3335899842
357,216,417,4.6113281278
212,245,79,7.68508516909
201,242,160,7.46514838643
130,184,316,9.06131788373
156,35,75,10.9408686622
276,434,493,14.7979843882
409,156,232,2.7881270032
443,356,39,15.8373130295
390,438,341,15.8832751879
494,272,310,10.6796588839
321,394,93,5.43482973041
322,382,142,14.3292962595
157,151,160,15.5279285011
348,4,237,9.24482312387
368,164,419,13.7643687262
73,235,108,13.8032751029
303,434,357,15.0496677638
367,121,426,8.51565016156
474,32,295,13.9423863091
16,182,76,7.58855170021
171,247,94,15.537469109
425,161,338,11.2561328517
43,435,128,14.3917948184
391,77,119,9.0369784324
40,2,266,12.1402663448
491,89,487,10.6356007316
267,17,500,3.1865515824
253,461,451,5.69569834526
180,427,30,10.2321195868
9,235,166,4.67538374482
349,355,9,7.54166062702
251,448,95,11.2740384262
140,342,20,13.1906457734
415,258,235,6.78671857473
446,78,199,13.0894847942
62,346,169,9.74893405373
395,388,95,5.41269920408
339,146,100,7.0302810884
31,372,152,9.44020024019
375,34,281,10.3507743291
136,51,271,12.8549137119
63,269,194,14.9389869469
435,176,317,16.2383025279
11,134,420,8.7913477611
100,12,474,14.7368414127
6,41,82,7.35922016951
385,457,146,10.6647785063
445,324,80,5.8451273586
192,454,376,7.63304178844
435,460,4,8.0121514974
248,122,439,7.81288905425
320,306,456,15.5445337567
238,298,334,8.88648131113
490,69,241,4.58345686719
253,328,222,13.0000248693
485,333,44,13.2251031645
305,464,485,13.00093586
237,36,416,4.21126492719
286,392,472,11.3428203191
261,289,234,14.4336299967
117,323,68,8.60095874726
42,232,75,7.70899343535
6,206,161,6.39703616696
482,282,175,14.7156343717
187,178,48,15.4992807196
440,412,422,6.64035473136
499,316,164,15.8059492856
363,291,169,14.8701801627
482,282,429,4.02309870424
363,313,485,5.89288540717
29,212,241,11.1011591464
467,214,4,3.93965948399
291,488,462,5.51056078001
468,64,151,14.9825478638
497,274,281,10.5154055456
334,259,9,10.3059618472
57,242,361,6.0742873124
243,168,406,16.1708816422
37,220,276,5.83148635713
335,408,397,13.4764399229
84,30,410,11.2577700817
51,138,463,15.263201375
83,278,336,4.12924283051
379,481,0,15.3443991947
15,303,312,15.5424543331
270,358,193,9.25266019686
485,140,379,7.80573783724
325,97,357,13.556641286
464,490,440,5.92296983583
307,470,275,8.24024021483
211,210,131,10.8435988102
397,266,475,13.249112723
330,403,455,3.42724554681
270,186,443,9.511927817
443,80,165,8.67057963923
67,405,2,9.70235502585
4,336,485,3.66371010396
236,33,117,5.20152756377
229,415,234,11.6935750152
373,310,258,9.47203158258
130,172,40,3.86647469769
176,357,230,14.4130851541
464,154,401,7.78777286287
278,287,113,14.8462214824
249,244,6,13.5997953401
310,432,246,11.2355466213
482,317,77,11.9390873728
424,20,341,5.0280335483
227,26,388,4.57238341424
267,161,290,4.64220312795
356,392,319,10.4370462946
47,395,117,7.84149676443
266,222,62,5.56747296318
114,87,135,12.8575889693
127,473,157,3.04300444747
319,62,18,9.07244779988
425,303,269,11.0934981735
467,286,91,15.4559808188
106,83,330,11.6408999758
62,433,73,3.45183480094
22,159,202,11.5043117476
35,315,265,14.4231031119
333,321,335,12.4086573225
403,400,332,19.4455541087
297,219,24,16.296567503
98,63,47,11.7837980076
338,251,442,3.79834602468
204,360,445,4.31889970397
332,22,483,5.98410330269
434,197,285,11.1744142807
183,389,303,5.11572108729
97,64,294,10.3829020448
32,127,219,6.42711535234
211,118,23,13.4209496309
212,249,128,8.32757590306
350,220,159,11.4668631891
71,330,318,10.420742574
466,228,403,11.4201865121
249,13,30,10.8240806699
153,175,489,16.336312354
430,223,47,14.0584231981
242,108,487,3.24996614333
110,76,487,11.5165254832
232,88,265,5.22807211007
292,377,3,7.22817378532
341,367,487,6.86325984197
256,118,359,6.90261466042
318,452,198,11.4785621011
296,15,359,6.45769846612
104,412,353,9.80531662181
427,473,83,11.6352731803
236,295,159,12.2733967384
219,411,107,7.33350113586
111,166,159,4.05762597904
110,329,202,3.83739865641
151,274,317,7.26462720692
165,345,327,5.08149542172
174,469,220,12.237222649
86,451,408,12.2689487071
197,86,490,11.206275387
138,224,499,11.5643826872
433,361,250,8.16605607525
497,166,443,6.79170223595
442,495,306,13.0973707493
15,91,298,5.5862377019
