x,y,z,d
260,350,337,16.3814744028
71,335,128,10.0970631153
150,145,407,6.65671300532
332,358,230,12.5561834969
171,82,464,15.2751062325
295,428,144,16.6300347987
336,87,230,19.6729189317
254,163,482,13.9953643818
461,139,81,12.1142208521
73,53,147,12.9483157104
446,216,202,7.91419160823
429,185,222,8.22565900182
15,468,165,4.32404796385
212,492,129,12.86100255
392,391,497,6.22053366928
338,110,385,4.3994085143
478,244,105,9.29902063353
447,164,190,5.9865186821
61,155,192,7.53068196329
233,201,198,10.9491091524
478,307,3,14.4025717815
50,268,345,7.38514178831
497,225,358,4.64860466172
89,141,266,3.62569126478
24,204,18,6.06320460692
413,477,380,8.61411531059
37,379,156,5.34255602546
377,194,117,3.56349667172
148,160,303,4.83600708051
463,487,92,13.8605525965
414,101,169,13.5452886508
147,33,105,3.80032058174
307,82,1,14.6509946218
326,55,83,6.27820478994
39,354,80,13.7034217247
8,384,453,10.2961124285
342,398,333,10.9249692236
206,430,160,9.85581873489
108,449,137,10.2426160534
88,489,71,13.1796808056
318,267,68,13.6715453268
166,259,345,15.6863855163
313,34,330,8.51641578079
335,229,321,9.3167238205
293,224,439,12.3302090789
56,124,356,5.87571208303
448,100,205,8.00444459207
94,303,182,6.29107118094
110,152,112,8.22782734003
250,9,133,7.46487995863
283,433,247,9.59652716623
72,430,274,9.95094693923
216,354,33,15.6228353126
430,48,251,11.9556011445
310,135,428,13.1329174108
491,92,196,7.1273226025
424,71,420,14.6432690151
364,156,223,11.9026136325
154,193,283,6.88481399763
385,93,111,4.32091753897
148,248,367,6.89437085566
184,269,390,13.4945932193
228,299,202,4.18069999337
375,453,389,6.75164060874
484,114,258,11.5650996708
359,25,210,6.24462277803
104,460,371,12.2181418442
325,130,224,16.0023289429
437,459,492,9.94193425584
151,67,345,16.449658097
48,396,407,7.43055326197
413,433,296,14.4555228214
256,38,367,10.1122566575
159,398,195,7.24852625482
262,152,328,11.2228130279
125,366,275,13.0487224038
496,215,395,9.31666933411
368,23,273,7.00755541565
233,328,438,5.52925978467
118,134,370,6.96557154203
444,304,425,7.10873944308
339,409,41,13.4423008193
370,189,149,15.2694459397
135,323,196,13.0034491361
4,349,328,10.0100400458
52,123,461,10.6781585942
22,56,473,12.3226935529
395,28,197,11.3052148161
175,37,281,11.5970278218
20,374,199,9.92318304275
22,423,287,10.744816376
281,214,489,6.4813756791
5,476,136,4.49551215787
294,297,148,5.62992382202
285,151,292,9.33619843521
227,457,246,4.74603047123
500,376,144,3.85433925614
71,282,408,4.81803498629
321,76,496,6.40587775916
263,76,412,5.85233915632
82,491,172,13.9389093719
409,492,17,3.55631171078
283,170,174,5.03914855577
488,119,67,8.8321493482
275,94,332,13.8586686886
100,98,375,5.90039881351
56,99,309,5.77270005359
116,474,161,10.2194660935
160,207,424,10.1829864342
140,446,150,11.955165096
402,381,22,6.19753102354
413,132,466,4.7201619447
494,119,321,11.1509158788
261,25,292,8.67697832964
273,486,103,3.68362808898
40,139,296,12.3598260362
205,144,303,9.19770609596
377,481,88,10.3347279941
55,482,409,8.84521164811
189,224,355,9.75481925115
206,236,46,7.34483942665
131,445,50,9.27384219154
27,445,486,7.58403310237
358,371,288,12.7229863908
394,165,450,4.04578013731
349,242,156,13.3680391919
338,426,154,9.14998344802
488,204,69,9.29250535199
266,155,139,5.2436990647
405,292,42,12.2412020555
471,55,58,9.64247718708
299,9,272,5.48158024659
367,123,321,8.9972138499
379,399,301,4.23981007343
263,459,14,7.60147429247
120,207,268,16.2250231184
164,109,143,3.68125730115
146,439,315,4.35940740632
310,427,326,10.7397415392
435,394,138,15.8953561321
48,90,265,5.09343996986
131,156,443,5.07907161947
172,444,328,4.51584895648
181,383,52,12.6412574554
30,267,100,13.9346500519
183,33,252,7.89338778768
77,407,78,4.66940376304
481,25,312,5.41571449848
449,397,86,14.5649954871
38,347,150,13.0637926485
492,291,304,9.4206206881
210,53,102,5.80005342692
458,58,251,11.9825203498
62,237,467,7.93948836289
173,7,298,9.18245451078
195,143,86,12.8966181462
22,159,364,4.21955159932
38,36,366,14.0930145683
440,62,358,13.8511822578
260,388,499,11.2500224842
155,152,53,15.2348679096
431,46,1,6.38470303528
359,325,440,8.89989290208
72,93,281,6.36577191897
348,311,89,10.4898624105
169,418,377,7.67181402211
112,50,444,10.4141960885
103,348,39,14.4810915205
49,13,347,4.24457732481
216,450,330,16.4229955469
397,323,282,13.2517566098
385,112,497,10.6235243994
189,17,214,14.2461114872
120,380,416,15.1130946814
448,336,32,8.73356556002
356,101,298,16.4078023176
455,138,152,8.20833200985
283,373,304,8.11435510783
225,303,348,15.6372665046
30,78,357,9.01573373611
356,340,251,10.4872434448
181,330,109,8.34296914861
37,202,431,16.0535480416
214,47,212,6.01451674604
189,105,209,8.65264463715
84,476,140,8.47370605953
416,39,323,3.85874063428
137,289,248,3.87918952828
279,99,127,4.48896898343
227,320,30,15.8257024483
435,85,266,6.14050593171
111,243,451,14.7329624053
384,358,197,9.72520832393
471,69,308,10.3960872958
290,90,239,9.51703875352
47,373,121,14.233474062
30,1,468,7.15290548869
282,28,360,9.25432024362
473,409,452,8.89959880767
174,438,424,9.13120573766
