x,y,z,d
148,15,205,6.77386326532
205,461,331,13.5088220558
284,328,49,13.9675525329
68,183,6,12.419757525
471,40,291,6.2433258269
383,51,368,9.96071814189
467,248,447,5.94620620165
322,4,180,7.26650833742
424,472,70,9.13053092402
15,14,276,13.8560372964
426,494,197,10.7001800866
245,25,478,16.208982868
90,270,42,4.20246642146
97,40,304,3.89032040528
81,67,178,6.47886282389
384,488,24,8.97655264727
185,479,6,5.15735180145
458,346,420,6.66497811501
299,480,259,5.08068751171
218,466,216,14.9411200519
219,465,406,16.1631506812
389,332,120,16.091369469
24,385,149,8.71505354182
322,2,337,15.461961647
414,354,204,12.1386138428
482,359,134,5.26204429928
208,192,349,12.4404530655
368,210,497,5.98263697149
467,258,492,11.863151243
492,298,103,3.67482192233
382,387,431,15.0813735712
11,79,420,4.87922491735
193,352,63,5.55854427693
495,119,368,15.1529967835
9,119,426,8.45028899133
297,279,260,3.41856237305
343,477,290,6.93763144972
366,340,442,11.5477902707
65,292,468,13.9860034072
222,68,184,4.22268539922
217,107,87,14.0530803876
48,201,181,16.1255805564
254,493,66,15.6098685557
438,20,465,7.56941879793
62,348,287,13.0344597144
353,217,292,13.6027003281
81,68,86,14.3645047137
291,127,202,5.71052008249
179,169,63,9.13302775898
65,493,427,9.16905972465
296,334,145,4.49122882329
404,125,220,11.8930343977
353,67,378,10.8479426756
353,172,219,10.0031764277
354,277,420,13.513849329
84,451,69,5.88357027785
259,455,396,13.8360686203
44,330,380,6.27203300922
317,318,290,8.22708374187
321,219,67,8.48463550203
374,133,121,10.1507644451
339,51,196,12.2788895307
76,97,4,15.4690602253
15,211,208,5.96000845558
287,24,106,4.90046196074
162,12,398,13.3594339134
441,314,195,6.83898879194
492,379,309,15.893660352
422,58,66,3.88205163246
302,2,80,10.8963045115
119,15,354,15.3778388197
123,292,455,4.53412651594
197,245,495,3.72977747677
435,359,45,15.382632113
480,23,458,5.67143659733
185,485,152,9.0947628741
145,82,95,8.09107316663
374,334,211,5.33855594943
119,393,258,7.18650601392
144,27,8,16.0435454131
342,73,347,7.75473953862
10,225,71,11.7924878334
414,251,442,14.2827851201
193,422,332,9.00125423534
379,314,386,16.0752060052
304,400,389,13.4738634974
397,167,468,12.6028109916
498,460,214,5.13597744016
15,59,385,8.92383880655
228,285,8,14.593304516
305,192,272,6.04365335343
357,281,70,8.05082467656
362,419,154,9.8836108116
102,217,474,13.9782814903
235,240,346,4.39725798316
466,128,453,11.3238874665
242,379,490,7.82666626086
350,112,10,10.0041710915
2,388,189,6.33736876495
192,374,125,16.2302743097
243,120,149,9.9198810995
490,338,385,12.4247473991
285,37,148,5.16307773783
163,469,277,8.08050572506
129,109,340,13.1047002749
51,442,111,6.34585073352
44,11,181,8.90294402984
478,417,202,10.6631662338
309,153,442,12.1256183893
420,169,155,14.6740189293
144,3,95,16.0080817717
106,105,404,6.87499348374
81,268,165,11.9063294607
467,340,310,3.62765042161
283,434,165,4.15817876235
427,286,172,3.93078468328
363,357,245,10.1987241444
174,328,6,14.6102901712
452,25,41,13.2472888199
469,296,476,15.3697175073
121,419,245,13.6344413338
121,311,48,14.3601655729
80,65,45,15.5192198689
292,308,354,9.92724998625
369,184,66,5.83158081837
409,199,258,12.1515005254
54,273,196,4.58968320416
88,393,158,11.7218872526
244,423,344,8.25946274281
457,468,373,7.17747521826
384,376,343,4.21069082695
38,113,212,5.17223589302
158,268,461,13.0252203968
492,424,130,11.627037496
445,393,179,6.95913421453
355,34,46,8.84458113422
373,386,200,4.67965118399
141,285,217,3.86114344664
184,240,308,14.2176985913
308,94,207,14.5163223046
115,177,71,8.94227289362
26,380,478,12.4511532426
380,140,338,3.48022312544
465,278,168,16.0883905275
173,464,367,12.6003600726
38,110,263,12.3903885075
305,131,346,11.6793937479
154,188,205,9.03284444843
237,349,415,9.15337933891
300,321,201,6.19700638582
147,122,321,12.0279472576
4,204,370,6.48609539619
68,21,476,15.7829660836
377,261,33,9.49776857846
474,83,95,4.28125649937
432,182,313,11.9930492092
108,390,462,7.85401784164
425,228,216,8.62382160954
184,266,415,5.20625556568
280,488,294,12.0592145831
349,231,264,10.5737714564
298,282,361,6.76185867719
210,295,64,12.5922551872
135,34,322,4.38701577987
23,202,309,10.6494367818
54,311,116,9.06510555837
134,348,237,13.1460295465
438,86,359,9.97288073606
387,42,83,14.0978421453
477,109,120,5.05213592149
401,181,18,14.8142238524
456,45,112,15.9488280621
407,24,314,7.80563946938
241,133,251,10.9304972714
393,278,307,10.6899776214
56,371,35,10.3152384254
374,283,329,4.40818359825
22,173,395,10.9535189134
337,491,13,13.6255227895
387,197,173,14.9593315499
360,305,5,8.9568042534
31,325,162,8.08379838507
380,334,322,17.9761259197
2,262,334,4.89895654597
170,170,295,11.9629612086
432,9,261,12.0196965305
159,112,459,15.549968872
58,160,469,13.8805795451
424,315,51,11.0632406648
380,447,49,5.16153229083
351,24,199,15.4735484321
442,466,230,14.3931985352
336,262,326,4.68293692901
317,295,397,14.9427958984
481,54,265,6.16370955651
168,274,71,11.5485129919
448,8,302,15.9564271127
382,172,383,9.5021877314
466,31,332,5.41897320112
308,132,89,10.154949908
