x,y,z,d
112,247,232,7.18977290516
489,326,57,8.40254795383
217,455,244,5.52072354193
36,450,305,8.81764471668
288,137,140,5.01635580182
138,440,58,12.1977324169
25,12,114,8.54726756193
425,201,282,5.26848980897
136,93,460,6.64153151938
439,79,216,13.5981080859
428,304,181,3.94765810475
368,26,427,9.31058383662
201,453,66,12.0653210912
309,332,10,4.92249078578
419,237,266,12.9235787461
217,275,256,12.7579218112
190,153,206,0.507365056897
20,494,272,4.0156294124
483,319,153,6.67518611769
292,383,114,11.3322818663
351,84,94,17.4220102025
47,464,226,4.51558468186
208,164,260,8.95703025315
477,95,206,11.6616734171
299,115,206,7.65723203769
386,405,207,10.6811165744
199,361,478,11.8299504719
196,169,53,14.5569148057
271,339,167,13.3109728923
499,140,232,10.8625951739
426,385,92,4.86180944016
328,276,5,7.55549935782
406,117,392,9.98432295967
230,51,252,10.9890325764
490,234,150,8.46119149069
102,95,269,14.5333634311
229,315,493,6.89129421705
428,342,134,6.10415144506
48,316,429,14.4499020813
303,207,395,14.8056780026
36,37,406,9.38245377841
318,282,79,5.19333587556
80,63,154,15.2567994638
414,164,179,10.0562933289
36,363,432,9.64561955181
119,161,46,17.1598700291
106,276,463,10.2581822302
390,253,157,7.47599403245
206,229,111,4.57889464064
99,402,102,7.90501449728
334,123,258,13.3774958521
260,219,471,13.7768544303
102,383,311,5.09635801254
187,72,67,5.95757473111
120,394,163,6.66479489043
140,197,495,6.33584233857
304,424,346,9.30783800306
179,326,224,7.55842205986
418,361,408,14.5985019074
457,186,192,7.26796837935
376,96,206,9.02040380921
336,324,448,17.0672905239
101,420,3,3.44301342922
282,6,206,5.62178825589
433,220,363,11.1501893129
371,292,329,7.42812244988
423,476,201,7.66850579738
37,39,323,8.82472754142
476,257,80,11.3827217668
468,471,321,16.4609278477
318,290,405,5.36000637621
418,407,389,12.9110651757
270,115,107,8.63309960098
250,131,236,11.8414535155
126,127,96,14.2480802897
4,328,372,16.6347012798
473,232,358,6.03433438144
346,308,385,9.82962046402
356,365,472,15.4006504911
335,430,223,9.19983690747
407,347,92,6.18776560209
48,184,31,12.0966743247
389,329,271,11.8983946075
85,96,479,15.8532983177
150,460,179,3.19587277484
251,307,434,3.30455777142
248,43,31,6.25372517607
297,496,330,10.0338991782
363,135,118,12.0572124988
126,153,222,6.93541274809
400,150,339,4.56434076197
393,189,47,10.3416552708
314,336,166,12.071742268
106,60,376,15.2560974797
110,269,16,8.87581487868
86,41,135,13.7038705324
204,455,335,11.0269826257
339,212,420,15.1917344346
321,78,182,13.6474517858
393,25,75,7.78059736641
150,496,199,4.29853843084
168,239,443,9.71388536588
28,272,337,13.4444672103
326,141,116,6.57562190388
109,238,352,9.23076553158
311,188,256,13.5666252572
51,43,11,9.28640423479
146,228,41,7.03636717092
464,418,431,12.405194345
321,13,35,16.122962711
60,293,195,9.49437693721
128,48,192,13.9140929295
35,271,62,17.2980680886
55,399,9,4.5720701784
460,347,183,14.1326184523
212,88,260,6.31078059963
437,21,159,8.1113201095
418,298,51,14.1354229997
401,135,489,16.8372587319
261,480,171,14.9402836164
34,330,64,14.8554502563
100,145,34,6.68074569983
343,385,395,8.01459110072
424,21,185,12.0617364533
454,301,153,5.95341482764
353,485,300,13.5218600562
254,131,393,10.5251543023
312,258,367,14.2962237135
114,170,418,5.08146699513
93,96,335,8.5810262168
435,289,435,10.9566014652
352,400,361,5.70639303764
97,454,88,13.6960992373
142,248,437,11.4032190336
31,384,232,17.3750858567
138,230,332,7.91352021454
94,303,85,10.1417012118
280,450,439,11.1679098444
162,349,287,4.30449117117
322,288,274,3.54998649162
394,200,83,15.835421138
469,146,285,9.04866823503
250,163,481,7.0953670838
59,180,484,11.698769904
70,28,270,12.9787427168
288,252,346,9.99047607746
119,464,292,7.27290551633
249,339,239,8.07780125412
400,103,27,11.3924171324
287,441,8,13.665240622
442,164,371,7.21901232001
46,100,210,5.66020154343
385,414,392,4.93867548307
463,421,104,7.15200225599
445,168,173,10.137065244
431,15,423,8.74441178916
315,377,93,10.2662353827
335,316,421,13.4073914924
142,415,424,5.39606632947
497,386,481,5.13677723276
42,210,302,3.64087448738
46,280,452,13.9953328321
378,469,14,9.92084216217
88,120,440,5.43802372361
243,129,368,3.96089893801
285,239,299,13.6363668812
485,121,319,16.6817874226
433,63,9,5.41219598701
278,311,250,11.8372907477
394,187,312,3.28747352048
58,76,35,4.715534317
239,414,35,15.8992184746
116,425,176,12.1319031325
24,329,234,17.1403745796
154,18,343,5.36179021903
210,209,48,10.8481887181
13,168,155,10.0857473563
240,380,52,8.21588058082
421,260,449,11.7513945072
368,53,232,13.5487128079
165,244,255,10.9320901105
411,183,410,3.34947811733
49,35,235,12.2666347168
165,369,428,6.61381051419
307,309,229,11.74135529
195,305,172,14.8256046065
98,276,262,11.8146941015
391,344,388,17.2307712219
381,346,344,17.0029855662
210,373,439,12.9064456736
426,135,429,13.003897897
351,64,204,13.2826050166
242,129,295,10.4574755071
111,354,230,13.6854085437
343,469,492,4.18083427581
204,314,443,13.6381125129
357,184,474,5.49227014232
378,364,497,6.71691495303
260,380,228,16.0719872463
126,126,371,13.7676929804
