x,y,z,d
467,269,314,6.76858401883
134,56,458,11.1953992298
183,441,276,10.9845568125
102,486,193,12.8768956863
333,461,482,12.6936195326
268,71,33,11.2976897015
334,372,364,6.77320363162
129,2,32,4.78349333816
428,498,262,9.89613868283
59,205,235,4.44682545522
467,115,490,5.7821785838
82,16,267,9.9065039092
1,431,408,10.8524863253
11,174,434,4.45215905737
28,11,54,9.50660979372
300,445,58,16.0459009881
61,231,83,13.9237778283
207,173,307,15.6532679308
413,461,281,10.3064669105
375,369,310,13.5993258429
403,55,194,13.5381599428
275,265,303,11.821479111
171,184,158,11.4651735183
295,430,481,7.2064280887
273,361,449,6.64327607759
340,482,286,11.250747216
317,279,227,7.4640431644
378,62,212,5.59351805639
463,465,127,5.23262740161
305,300,61,11.5572340191
133,302,446,7.8217586899
206,168,244,13.895904729
167,155,285,15.2959158357
141,185,151,5.68043093845
266,294,94,13.860457155
174,279,157,3.0910522625
312,385,148,8.4670965884
376,488,271,13.6204359842
38,70,76,16.120347119
180,163,381,13.0708955553
163,312,477,12.7716437386
434,75,428,4.6805315816
193,400,81,11.3632768243
12,161,177,3.67405717397
356,194,98,13.7986020408
451,457,101,13.8829897771
418,372,228,11.1372419592
190,452,159,4.41076226063
79,225,135,12.9215084719
229,94,395,10.8994056354
403,332,463,9.1430954628
305,424,341,12.7735607462
123,479,413,4.54973604542
243,212,459,5.3076936646
188,98,471,14.3991541159
147,313,52,3.32540834796
68,3,69,6.64076768855
394,232,283,13.4096215226
146,245,261,4.46729680693
282,399,55,14.3803701551
145,357,1,7.18451457786
304,425,397,7.83556138215
452,83,303,8.8514214572
16,326,104,4.40907016163
325,260,136,11.5720108203
230,358,441,15.5192564326
450,285,214,9.67402488381
181,221,320,8.92457807479
122,50,292,9.61149611299
473,100,96,9.05975321604
21,222,384,6.39779976476
425,277,98,7.01573999695
442,110,316,6.6684760225
280,391,329,14.3124661986
182,9,57,7.8751309391
380,279,264,4.96957818793
493,218,478,16.187105114
214,493,499,12.0275498878
347,354,313,9.9133775538
478,210,403,7.07534440319
447,163,7,12.5889585572
203,409,199,14.7029202356
488,149,65,7.43967631147
171,287,344,8.76996357926
51,424,468,15.4215576559
150,355,49,13.0398983799
413,349,208,8.85397926941
184,73,338,12.2873231106
33,453,79,10.722038076
0,407,438,10.1103257244
276,234,445,10.7424258847
67,145,70,3.37683256998
296,319,3,8.85308560085
116,336,484,5.22147564728
389,307,34,10.320580716
27,270,375,11.8672450189
483,295,280,3.1885954827
266,198,214,14.3926812729
236,471,490,13.7301875289
144,62,260,15.4325934611
146,253,57,14.7925704433
248,417,74,8.61905527272
196,436,474,6.58615664402
430,330,39,13.6319038829
325,412,116,14.377063142
2,323,326,16.0934134045
155,415,172,14.2611804291
96,268,349,10.9572704469
39,311,121,7.0362733276
231,91,139,3.54276174133
438,372,208,12.6856173287
428,214,15,12.7805318292
481,408,469,8.05169143327
478,126,128,10.2503904062
232,472,3,15.6052147603
440,281,43,15.1314744691
334,165,484,10.6241587531
127,465,181,5.08497917044
437,163,232,5.27714277768
14,264,187,9.55999612827
234,302,334,12.4250767713
229,268,234,15.4964787314
338,170,405,13.909466832
250,32,65,13.2866210056
341,204,271,14.1765937
368,432,286,4.36899990046
458,417,254,9.25556608047
10,281,147,11.0388662693
354,5,209,13.0214482315
189,21,91,7.84008383015
129,0,319,15.2227427429
351,73,462,4.9393378341
359,229,353,14.4564933256
160,469,482,7.90137466194
447,12,406,13.1759409223
371,436,456,7.33733132279
337,60,482,9.40882550427
192,92,257,14.1765142794
168,469,305,10.5763906695
108,79,292,5.7617943889
489,442,84,6.46802278336
62,260,415,11.7698714833
421,339,134,11.7240857419
99,240,412,7.40588911232
492,191,32,8.23986443203
8,156,373,10.7289457016
403,163,436,8.09929729444
164,118,273,6.39024284191
302,423,448,6.78955602556
117,278,220,6.75737007212
488,54,118,3.37000133024
463,135,373,8.17302705475
28,149,490,11.7955192987
237,491,98,15.6473182675
223,366,334,15.4521895525
266,458,386,9.406602007
138,154,231,8.05941408706
421,430,406,15.5285558889
186,365,390,15.702408249
316,492,143,7.09411226942
60,426,320,12.9415940026
489,412,30,6.39299353079
416,295,206,11.0775481825
494,441,289,5.39354625245
466,78,493,9.87878666818
110,26,115,5.06095189416
213,338,93,4.07568614549
383,450,121,8.38306490199
298,35,262,11.3891960459
69,182,369,4.3626352196
395,311,81,15.4637713122
491,233,392,10.6830910745
226,51,225,15.1077287855
25,466,452,11.1974535736
195,362,5,15.1961843084
26,206,293,4.7234351381
302,100,164,15.2857159581
216,465,462,13.6344967266
301,71,352,13.3592561277
317,362,50,5.6045156081
174,7,278,11.6817354012
299,330,184,5.0157657642
391,367,377,2.22436939263
431,422,36,9.59572020775
493,148,341,9.30264321594
38,239,439,9.41853081527
174,274,455,9.28449047367
362,401,27,9.7537179085
137,165,54,10.4816790629
326,321,189,12.6940022407
286,161,119,11.2838962873
357,186,28,10.3171162637
56,493,164,9.2544652433
34,109,441,10.9616041069
419,270,65,15.9376154487
190,441,354,6.27073908771
347,391,138,5.28471618812
54,123,139,9.27641459918
479,222,147,13.2510548017
465,238,385,14.3854514606
