x,y,z,d
142,70,81,5.45895809917
305,294,192,13.9887436908
326,279,390,7.29681297869
430,198,437,7.61272132316
267,70,454,11.3363092828
373,34,401,9.22681647671
178,396,103,10.4399878655
415,341,224,7.87559514625
483,137,265,8.85183562551
406,134,367,9.7432860476
330,431,377,9.98203568148
252,200,272,10.1465546093
39,292,78,14.1001768131
255,246,202,15.6669352189
319,257,426,15.612263481
240,281,94,12.3733433721
346,391,142,5.86099758608
423,126,221,11.0755608714
158,320,363,9.24324056306
382,231,125,13.4805710516
483,126,325,10.8939440836
381,356,184,16.8638937378
363,369,43,8.01427982313
317,270,312,15.2013865809
259,266,305,7.55764303785
203,143,228,11.9842449938
424,167,353,9.81163582265
478,400,33,11.8606055741
47,396,248,12.5659849691
496,264,379,13.8589815166
404,179,284,16.7182013155
84,425,40,15.148037607
424,464,427,3.74870307919
180,94,134,16.901699178
243,312,180,9.96985442533
286,25,249,7.99800134157
305,473,328,16.6136238147
168,303,130,6.30513950645
265,6,127,7.20618180197
94,449,315,9.20642537285
324,373,195,5.02341280539
435,460,214,9.68955050089
443,78,94,16.5274620408
248,405,200,8.36984735041
197,111,453,3.9600255141
358,337,420,4.8674499696
449,287,163,12.0379953331
242,289,303,4.08677836862
486,417,397,13.1584922233
327,445,277,3.70675303653
50,320,242,12.5967565993
204,237,59,10.1800668305
445,495,216,5.07094410776
219,4,209,14.5829473312
405,244,212,10.2087739632
176,441,89,16.789484657
224,91,241,13.5116414049
227,7,389,16.8869621797
9,351,340,4.31217519363
159,82,289,8.11224342624
383,189,480,9.34171622346
286,269,344,14.3513923397
475,80,287,3.97699445772
412,77,318,13.0564932929
299,81,130,14.6796396156
82,382,414,8.59921143683
433,274,181,7.43288013675
69,93,274,14.9637356974
492,331,286,6.95940329071
186,292,188,5.54628017114
75,357,480,7.7309964484
49,186,93,5.98672908834
73,451,397,4.81286424219
93,148,51,10.5090863522
370,105,11,14.9016693748
263,438,420,5.32985888743
46,329,358,13.1387491195
4,397,113,16.0410415624
224,404,116,7.76995538153
454,403,162,14.3165556483
396,71,45,14.557604982
151,471,137,5.66174025253
443,142,91,5.62048938428
51,251,209,16.2147870452
130,256,447,6.75893503443
191,96,330,15.8488494076
215,476,151,13.4652279741
256,258,88,14.6648052033
437,269,376,8.41108828743
358,38,316,10.061546016
335,71,219,15.6575457049
391,272,266,4.17687500414
459,5,58,3.62019163832
166,413,19,4.96787815586
64,426,425,13.803626214
66,499,96,6.64696574911
81,428,223,12.5258859388
227,125,212,10.9153648441
27,294,239,16.0229898547
286,333,318,5.52026926426
112,109,26,10.0859228584
388,305,397,6.88871971276
253,322,300,12.8415518301
40,396,413,9.84177202259
440,488,166,11.2438638293
110,28,204,4.99515603766
289,433,270,7.94516431362
200,154,74,4.48030536935
420,196,63,11.0417249132
53,232,171,8.96970260011
343,270,49,9.92367385054
2,489,236,12.721375797
396,420,319,4.92102050665
89,288,486,6.19208265048
317,170,468,7.48722873354
353,110,196,6.98722691884
265,56,320,10.5114483841
177,25,385,9.84692971175
235,117,465,8.72764803736
478,315,26,6.55393727648
9,327,44,4.43360423618
379,5,168,7.51385505711
99,19,312,11.3143090432
349,213,323,7.51511435255
209,308,42,10.2304189144
487,423,328,6.19376986009
93,212,390,3.45253388695
49,414,464,16.2388494086
225,383,12,12.7302028754
209,270,215,7.55823712311
37,257,473,15.8266933782
425,122,392,10.8602874239
14,215,244,7.32814820792
324,123,262,16.1184012644
421,56,347,3.83732890439
411,468,157,12.7938625416
137,127,410,9.07440174925
178,266,223,8.64538515908
364,365,142,11.1621811957
29,229,305,14.1450952168
164,378,34,4.69059309515
108,340,283,13.59750383
331,299,318,2.97170614588
387,495,34,8.75522161654
445,307,108,8.19626394227
98,113,265,7.50375139771
75,225,187,11.7484791534
81,254,111,10.4653956601
119,329,70,11.733745069
191,415,308,13.923687023
82,158,103,5.99755311913
120,140,493,9.3350370956
152,491,463,8.41490867677
458,391,428,15.7335273304
33,64,327,6.2103644881
387,206,15,14.0870336865
149,375,301,3.94651599398
258,14,84,12.5112488083
249,141,71,9.8731505964
2,34,363,4.22216843163
43,15,326,6.71653479066
267,156,152,11.1015841698
483,442,499,3.16074929235
378,147,132,16.5256098399
62,51,82,1.37667121133
213,486,8,9.03908868833
359,194,376,11.0764525997
286,377,15,5.67362778293
32,233,230,4.43898072667
278,28,206,10.7467622356
89,461,275,4.32552471798
382,141,265,12.5242541199
188,39,252,16.7428850635
264,83,155,9.90452200157
45,113,158,12.8421480054
392,164,222,11.413482025
281,314,52,7.7495678397
194,495,61,4.59110098608
88,11,15,13.5508715795
498,111,256,7.61274268418
360,125,378,14.1965592488
457,126,447,10.5264596668
489,122,41,15.2567403724
497,456,124,4.50382374828
97,474,450,9.60305190447
219,139,394,8.57649130224
336,401,355,16.7921563737
10,474,273,14.3538708383
237,6,353,3.53990885555
315,413,178,3.96794374512
60,363,300,5.62306696292
387,318,17,11.3352790327
102,267,183,16.8841412567
176,458,261,13.311087336
111,194,284,5.55407036055
81,144,247,10.8743630795
188,116,57,16.0328539545
239,105,58,15.5347569916
119,463,82,11.3108479454
267,80,241,7.08574587543
