x,y,old,d
370,31,5.892013365,5.142013365
431,351,5.109141722,4.359141722
57,302,4.305781167,3.555781167
27,218,6.618491639,5.868491639
250,207,6.603842585,5.853842585
134,318,5.868952931,5.118952931
470,237,6.402985219,5.652985219
493,222,7.39610596,6.64610596
416,304,4.093771935,3.343771935
436,67,5.874279847,5.124279847
436,202,8.726716713,7.976716713
127,47,6.879508309,6.129508309
477,284,6.662830011,5.912830011
326,448,5.48228451,4.73228451
336,400,6.418303564,5.668303564
161,433,8.699019031,7.949019031
401,348,4.348834688,3.598834688
244,458,7.552077235,6.802077235
466,424,3.195736825,2.445736825
350,142,7.143668872,6.393668872
398,461,6.315207224,5.565207224
333,41,7.698694222,6.948694222
70,103,9.758530537,9.008530537
232,129,7.692147224,6.942147224
452,116,5.993563482,5.243563482
310,322,5.417500709,4.667500709
350,72,7.643255505,6.893255505
87,256,4.989547919,4.239547919
305,51,5.965683242,5.215683242
60,145,7.64498446,6.89498446
29,93,6.343161165,5.593161165
165,482,6.436574334,5.686574334
78,337,5.513417265,4.763417265
264,335,4.425179089,3.675179089
365,179,7.437646336,6.687646336
191,354,2.198975583,1.448975583
289,123,7.553665339,6.803665339
262,273,4.705526174,3.955526174
2,20,7.269292786,6.519292786
43,344,4.770008585,4.020008585
282,73,8.693867672,7.943867672
435,173,8.782927562,8.032927562
97,314,6.69806097,5.94806097
191,61,7.517279125,6.767279125
336,497,5.688494115,4.938494115
486,108,5.518683043,4.768683043
275,234,8.086736409,7.336736409
55,268,4.937991716,4.187991716
110,5,8.674532374,7.924532374
42,403,4.842304072,4.092304072
196,313,7.92312537,7.17312537
30,306,8.233634671,7.483634671
402,89,6.352623002,5.602623002
364,461,5.652856858,4.902856858
115,359,5.91338068,5.16338068
272,462,6.423100858,5.673100858
133,122,7.814040801,7.064040801
21,149,8.146733961,7.396733961
215,397,6.36109579,5.61109579
282,404,4.364046447,3.614046447
242,170,8.883143293,8.133143293
89,223,7.886630126,7.136630126
287,485,5.109550504,4.359550504
444,453,6.799426287,6.049426287
255,496,6.193455711,5.443455711
214,86,7.959626318,7.209626318
50,434,5.926188559,5.176188559
141,410,7.320714428,6.570714428
381,431,5.298994577,4.548994577
417,133,6.912620554,6.162620554
179,209,6.821783078,6.071783078
253,66,8.029757159,7.279757159
410,58,7.798362183,7.048362183
248,27,9.681146734,8.931146734
474,387,4.458925735,3.708925735
224,309,5.72579699,4.97579699
286,176,5.984062405,5.234062405
19,248,8.529889734,7.779889734
383,129,6.632523073,5.882523073
284,208,5.407253797,4.657253797
106,464,8.020437585,7.270437585
60,378,7.980446213,7.230446213
11,422,6.061178015,5.311178015
491,39,6.363252666,5.613252666
65,193,8.470433513,7.720433513
391,276,5.647907263,4.897907263
293,346,4.24146229,3.49146229
67,493,6.675417227,5.925417227
50,73,8.873742568,8.123742568
105,153,6.593190049,5.843190049
128,172,7.898850416,7.148850416
486,359,3.580033188,2.830033188
267,433,3.919449234,3.169449234
139,276,6.074936987,5.324936987
110,388,4.915320962,4.165320962
15,450,6.42259406,5.67259406
403,494,4.336659946,3.586659946
73,49,8.454531771,7.704531771
10,63,7.903696682,7.153696682
370,339,5.027395839,4.277395839
