x,y,d
119,40,4.75892137814
357,307,7.50576418588
391,440,6.15441742821
59,15,5.80140899761
2,243,5.78307255352
497,69,8.03804205181
445,359,6.94322504931
150,125,4.9331045798
182,56,5.05767968136
368,240,10.3089355381
423,265,8.17604243932
296,173,8.80077010567
461,16,10.8465784412
415,164,10.1075044301
265,121,8.42336805758
405,78,9.84633237686
114,243,5.57766851966
401,239,8.63820234511
77,159,4.52857534965
65,264,11.4256051421
361,201,10.1175110534
220,91,3.7776626493
498,467,7.09782547969
270,212,9.88130153904
476,44,9.64315206256
63,186,4.82563832863
326,416,8.66652118912
8,115,5.65858793323
477,404,7.17207879327
391,212,7.71256309978
399,31,10.7029241926
252,179,8.78490844316
256,477,8.06495149575
118,87,4.67550242044
284,407,6.93174622796
186,448,10.6064097876
495,345,5.91590150438
210,354,12.446979845
379,337,7.23057986844
95,420,10.3374669381
208,222,3.14507380327
372,267,5.65900297961
371,136,9.35230252527
33,467,10.4768461947
158,224,5.58136561584
367,83,9.92433707817
34,308,10.5973045147
458,155,8.36489154204
388,3,8.26258812298
382,111,9.47738016278
225,414,10.7708198792
312,322,8.47235621794
270,65,8.8381381076
69,217,6.41216216718
181,346,11.3571263777
337,469,7.038636141
135,265,10.283029166
308,201,9.13460276461
231,466,12.6646526815
114,12,5.27842977301
145,324,10.2873793751
432,94,8.43708749493
433,407,7.09135544498
4,166,3.83344389417
87,300,11.3033482429
126,152,5.06338362092
246,275,11.1471257948
158,28,5.70412662269
303,287,5.87990099724
362,489,7.09950825831
460,261,8.12202780039
383,368,6.50826308222
426,212,8.87677560484
337,109,7.67011091512
2,319,11.655521174
25,8,6.02561929819
129,464,12.8933515621
100,125,5.30696992827
42,420,9.4590266437
366,46,8.76471620438
305,461,7.00980108192
256,16,9.68917526491
135,436,10.4842706508
100,355,11.3967367676
455,470,4.60353462193
72,88,5.30864814049
60,387,8.12120964949
30,247,5.29096015369
499,25,9.040982696
12,60,3.64454430078
464,316,6.89674520391
50,128,5.2964115443
500,167,8.31303219088
341,1,8.10377697238
341,349,5.55988065271
275,38,9.23463357496
203,313,9.94566698498
402,389,7.29997993587
462,434,6.37063652816
169,171,4.82267211195
