x,y,old,d
35,139,13.33477239,8.33477239
423,182,14.9258157,9.925815703
325,2,15.03765628,10.03765628
128,318,14.31942234,9.31942234
441,418,14.26255094,9.262550938
323,117,15.88568036,10.88568036
417,116,17.06872728,12.06872728
170,149,12.56799905,7.56799905
301,340,13.43760524,8.43760524
195,208,13.72059335,8.720593348
256,145,16.51031698,11.51031698
53,62,11.75081719,6.750817194
251,172,16.65164343,11.65164343
222,222,13.4129093,8.412909301
317,382,14.86422288,9.86422288
276,10,15.55506199,10.55506199
52,368,12.90401828,7.904018281
259,384,13.61671556,8.616715556
166,30,13.34034554,8.340345539
423,377,15.65012029,10.65012029
42,396,15.26365229,10.26365229
457,48,17.61640839,12.61640839
62,196,13.27505535,8.275055351
114,151,13.34511779,8.345117793
411,266,15.70932049,10.70932049
3,476,14.57845514,9.57845514
389,337,13.57204588,8.572045884
500,384,15.7471788,10.7471788
367,131,17.3589348,12.3589348
160,214,13.70063395,8.700633954
486,289,14.88143033,9.881430331
217,415,12.90693691,7.906936914
315,243,14.98402997,9.984029966
56,115,14.16207891,9.162078911
34,197,11.85097599,6.850975987
445,109,15.00594295,10.00594295
91,216,14.06536893,9.065368933
201,459,13.64042091,8.640420915
246,326,14.15457188,9.154571877
192,121,11.65408214,6.654082145
70,309,12.75425157,7.754251573
271,95,16.23588914,11.23588914
153,387,15.95951635,10.95951635
334,277,14.12745186,9.127451863
142,12,14.03278858,9.032788578
498,51,16.2619577,11.2619577
363,469,13.25592303,8.255923025
434,451,14.30659112,9.306591119
139,234,11.56947857,6.569478572
22,296,14.5920187,9.592018699
451,217,15.17415151,10.17415151
5,425,15.0089414,10.0089414
477,193,16.46994982,11.46994982
410,437,14.80461227,9.804612273
148,456,16.66904943,11.66904943
88,388,14.96270313,9.962703126
82,63,13.28444728,8.284447275
355,342,13.99871248,8.998712477
186,401,15.10435426,10.10435426
307,457,16.14900159,11.14900159
402,25,16.3221198,11.3221198
115,47,12.22098806,7.220988062
132,191,13.66540365,8.665403647
79,8,12.05481209,7.054812095
152,87,14.66291482,9.662914822
191,351,14.25381416,9.253814156
242,265,11.05951929,6.059519295
391,147,18.14883365,13.14883365
305,415,14.23111362,9.231113619
500,443,16.25827592,11.25827592
208,64,13.68417255,8.684172545
376,84,17.69024849,12.69024849
175,305,13.21454795,8.214547947
117,409,13.9405377,8.940537702
301,214,16.32492821,11.32492821
127,492,11.87235338,6.872353379
207,16,13.02931226,8.029312263
23,457,13.76885329,8.768853293
474,142,15.02369668,10.02369668
443,315,15.31576091,10.31576091
236,32,13.0051496,8.005149596
473,258,14.09307375,9.093073748
373,185,15.46494887,10.46494887
373,292,13.79111716,8.791117155
109,291,14.63818501,9.638185013
215,155,12.64741903,7.647419029
492,170,17.65025626,12.65025626
104,243,13.75180898,8.751808978
306,295,15.5835778,10.5835778
177,267,14.26766741,9.267667406
440,499,13.96284481,8.962844808
137,264,14.16790193,9.167901928
17,330,12.7451248,7.745124797
418,298,15.35439991,10.35439991
43,1,11.50331582,6.50331582
471,381,14.97238893,9.97238893
344,98,16.28293281,11.28293281
64,240,12.73150075,7.731500753
320,57,17.93555188,12.93555188
4,233,13.91463854,8.914638542
