x,y,old,d
361,31,10.05304318,7.05304318
249,409,9.461064479,6.461064479
476,465,10.21887642,7.218876418
473,214,11.62341488,8.623414878
372,167,9.789833767,6.789833767
122,190,12.06763587,9.067635871
29,78,10.60025556,7.600255556
133,163,11.99418995,8.994189947
313,182,12.70749518,9.707495184
209,72,11.33672391,8.336723913
349,118,10.07644398,7.076443979
438,463,8.495178771,5.495178771
7,158,14.06161717,11.06161717
120,362,10.95944744,7.959447439
450,169,12.17624371,9.176243712
465,80,11.99812537,8.998125367
417,255,10.61812119,7.618121185
120,296,11.95033465,8.950334649
331,313,11.4508122,8.450812201
215,29,12.56642119,9.56642119
4,451,8.412343294,5.412343294
81,205,9.655000944,6.655000944
291,0,10.19633098,7.196330981
61,454,11.39202175,8.392021749
281,377,10.16470785,7.164707849
26,309,11.4683956,8.468395595
157,467,8.687170223,5.687170223
361,352,9.723864932,6.723864932
332,211,10.97216932,7.972169318
69,268,9.517552452,6.517552452
479,0,9.403451174,6.403451174
34,371,9.143867258,6.143867258
46,227,11.61743402,8.617434019
166,108,11.03909119,8.039091189
327,420,7.858022824,4.858022824
418,72,9.1501267,6.1501267
165,319,9.889657563,6.889657563
244,377,12.26801167,9.268011671
433,382,7.964174711,4.964174711
55,125,10.70301839,7.703018393
475,357,7.807217649,4.807217649
383,399,9.41598214,6.41598214
231,252,10.8644635,7.864463503
167,362,10.46848947,7.468489472
382,269,9.39738627,6.39738627
408,171,12.98906115,9.989061154
138,337,11.07779175,8.07779175
25,276,8.917144957,5.917144957
385,4,11.11507782,8.115077825
35,164,11.64273165,8.642731651
203,272,9.731140516,6.731140516
131,477,9.296964673,6.296964673
151,28,11.87091002,8.870910022
162,192,11.80453475,8.804534755
394,214,10.61056209,7.61056209
370,136,10.63793658,7.637936584
196,454,9.368578233,6.368578233
239,177,9.899481001,6.899481001
80,140,10.92250094,7.922500939
499,391,9.050989747,6.050989747
163,247,10.50651656,7.50651656
127,45,12.27831465,9.278314651
417,102,10.66051365,7.660513645
485,434,10.54518293,7.54518293
357,474,9.83670697,6.83670697
221,201,11.99062708,8.990627076
110,14,10.38394576,7.383945762
116,430,9.361544144,6.361544144
437,316,7.802409295,4.802409295
56,15,12.4588599,9.458859897
273,491,9.144633868,6.144633868
398,40,11.08577684,8.085776844
399,297,8.391887352,5.391887352
20,420,9.261115425,6.261115425
189,384,10.85476442,7.854764416
310,121,11.82796494,8.827964938
296,147,8.842336061,5.842336061
441,30,11.85106887,8.851068875
476,278,8.653079215,5.653079215
284,421,9.938333682,6.938333682
283,115,10.95118149,7.951181493
303,320,8.342992921,5.342992921
358,300,9.9995985,6.9995985
205,317,10.75691907,7.75691907
2,114,10.28257438,7.282574384
7,380,8.776551907,5.776551907
248,30,10.67685575,7.676855747
62,73,12.07275065,9.072750654
481,119,12.56863527,9.568635266
176,426,9.129855407,6.129855407
230,145,11.57590154,8.575901535
433,131,9.878217229,6.878217229
494,252,9.451889358,6.451889358
390,492,10.4068063,7.406806302
52,336,9.849591123,6.849591123
355,260,9.686472545,6.686472545
85,421,10.21972872,7.219728717
418,5,11.21256756,8.212567556
91,243,12.47113168,9.471131677
444,240,11.4888738,8.488873797
