x,y,old,d
386,30,6.276757,5.526757
67,204,9.243841012,8.493841012
201,347,3.708949288,2.958949288
367,347,5.776250068,5.026250068
387,219,6.652703987,5.902703987
39,240,6.581596986,5.831596986
247,492,4.078286206,3.328286206
286,130,7.649849519,6.899849519
239,238,8.498708769,7.748708769
197,62,8.066572936,7.316572936
398,420,6.430503387,5.680503387
230,403,5.689009965,4.939009965
143,387,4.123409344,3.373409344
195,287,4.980718432,4.230718432
79,445,4.912317002,4.162317002
5,136,6.61073951,5.86073951
440,271,6.939685687,6.189685687
490,471,8.273577231,7.523577231
116,304,2.444974924,1.694974924
128,153,8.665734368,7.915734368
362,180,6.112187761,5.362187761
343,36,6.270581369,5.520581369
350,221,8.258261082,7.508261082
182,15,7.429719987,6.679719987
417,462,4.722399443,3.972399443
89,93,7.048658711,6.298658711
323,299,6.064195877,5.314195877
309,345,5.169975431,4.419975431
228,372,4.837471069,4.087471069
358,388,5.529551458,4.779551458
308,499,5.034794682,4.284794682
322,114,7.983423405,7.233423405
492,276,6.219136972,5.469136972
152,196,7.143923456,6.393923456
258,129,8.567303659,7.817303659
256,29,5.73215379,4.98215379
400,109,5.621615844,4.871615844
9,488,4.726813754,3.976813754
11,291,4.956997924,4.206997924
429,330,5.96568148,5.21568148
231,111,8.305409717,7.555409717
313,422,4.758546058,4.008546058
0,51,6.834113255,6.084113255
403,363,5.752146524,5.002146524
222,310,6.496760384,5.746760384
474,172,8.213933553,7.463933553
476,129,7.381698128,6.631698128
375,500,5.547035847,4.797035847
185,400,6.308035997,5.558035997
445,215,7.47382854,6.72382854
275,102,7.255248863,6.505248863
151,96,6.41170393,5.66170393
36,318,5.636144326,4.886144326
457,303,3.928516173,3.178516173
186,249,7.388019867,6.638019867
131,333,5.360831649,4.610831649
0,92,7.628185732,6.878185732
115,461,5.389797447,4.639797447
75,20,8.174416049,7.424416049
243,185,8.97432651,8.22432651
88,388,4.881101789,4.131101789
102,264,4.995383081,4.245383081
268,233,6.759531643,6.009531643
38,368,4.181843523,3.431843523
469,85,5.137021349,4.387021349
400,170,4.990800245,4.240800245
271,384,7.898808848,7.148808848
171,153,9.90378507,9.15378507
421,292,7.182534056,6.432534056
42,140,7.332659449,6.582659449
286,61,8.423250841,7.673250841
167,360,4.419027649,3.669027649
60,104,6.58525479,5.83525479
268,197,6.87343245,6.12343245
344,423,5.889096351,5.139096351
491,432,5.302667659,4.552667659
491,364,5.511308918,4.761308918
162,264,4.155882096,3.405882096
497,90,8.90636449,8.15636449
475,340,5.174474464,4.424474464
240,461,4.289623093,3.539623093
448,476,6.060201374,5.310201374
64,169,8.026680571,7.276680571
102,488,5.599028323,4.849028323
226,163,6.715780372,5.965780372
113,40,9.174027216,8.424027216
487,44,6.216526382,5.466526382
41,11,8.034788927,7.284788927
104,227,6.987188084,6.237188084
27,64,7.03714732,6.28714732
377,154,7.150702472,6.400702472
329,159,7.678871764,6.928871764
5,251,5.684400989,4.934400989
214,440,4.976438415,4.226438415
291,266,6.761653804,6.011653804
180,99,8.75217466,8.00217466
470,400,4.971933848,4.221933848
136,488,6.391901,5.641901
72,280,6.421677533,5.671677533
94,189,6.52211889,5.77211889
