x,y,d
104,208,14.8094813128
38,161,17.0717350013
477,24,16.3735385942
297,114,14.1711626077
482,148,15.7793892532
499,97,15.2667922295
417,200,15.6646417385
168,87,15.0866929458
114,443,13.6765990089
217,363,15.0719587548
173,200,14.5476425122
149,49,13.9883359077
269,282,13.8000229208
283,349,13.3898638187
484,331,10.812342667
274,177,16.9110577523
78,321,13.5705309515
221,499,13.8738381182
432,322,13.7685433154
365,35,16.0208887085
346,85,16.2805604853
160,438,14.8338775865
213,227,15.9383646285
427,159,15.333832814
348,494,11.0514521504
235,386,12.8638171647
281,29,15.6581254865
221,156,14.8542992322
63,229,15.4129269685
381,183,15.8589059511
303,311,11.571163248
143,387,12.7379194244
1,184,15.4203870438
268,462,13.8607892543
287,141,18.2065234268
159,172,13.129312473
6,263,13.4785515706
384,426,13.8302587095
456,81,17.7652292673
37,296,12.5738115175
298,483,14.3048895076
325,363,13.3323605805
410,451,12.8288949729
178,40,16.3632626013
386,338,11.5132632802
25,461,11.6343945066
85,386,14.5566185434
100,235,13.6589693864
265,71,14.2387714104
430,414,11.8936824049
203,83,15.3304452544
205,49,15.3129195674
68,143,13.1430971927
396,399,13.1515381215
121,43,16.289747504
93,106,16.2680158261
368,224,14.5689179364
78,431,14.6084372799
335,3,17.0708136803
64,484,16.7001520859
103,300,13.6450039604
339,276,13.8825031334
447,6,17.6214078469
70,65,17.7221668807
329,129,15.7351451791
414,377,14.06091937
46,340,13.3830164351
150,242,15.9643412785
427,233,16.4433036796
496,398,13.3655147478
175,470,13.2725994924
295,382,11.4463940725
35,192,14.8108494022
131,84,13.6642442525
469,241,17.3309884481
213,422,13.126939615
205,267,13.7835863875
485,295,13.7448043509
181,11,14.3296439819
324,421,12.5375272685
330,159,15.0316056694
470,373,12.6325090531
444,255,13.2711319269
407,80,14.5633029621
414,282,13.4667549004
446,474,13.3611821147
224,289,16.270613987
482,186,15.1806925248
451,287,13.1439266025
412,51,15.942765824
324,50,16.0956947286
93,162,14.8214458849
18,46,14.5364384217
10,97,15.219497736
439,58,14.3658579008
12,331,14.2293207537
171,293,12.5907476249
14,374,16.0073858101
118,12,15.2459682944
184,498,14.2659832345
