x,y,old,d
381,108,15.50506065,10.50506065
93,9,14.91681384,9.916813842
365,370,17.11467096,12.11467096
362,76,15.25066642,10.25066642
341,97,14.35196591,9.351965911
432,256,17.31469335,12.31469335
193,259,14.76708693,9.767086933
469,362,15.97401503,10.97401503
92,412,12.81163589,7.811635887
361,282,17.23277421,12.23277421
423,498,18.96289272,13.96289272
172,26,12.06921506,7.069215064
308,441,14.98583671,9.985836708
163,462,15.59683028,10.59683028
130,472,15.21291732,10.21291732
471,257,17.03278916,12.03278916
209,401,12.71281089,7.712810892
321,230,15.05648348,10.05648348
288,299,15.65903685,10.65903685
51,452,13.80060995,8.800609947
313,91,14.47224595,9.472245947
3,149,12.99040215,7.990402154
293,22,13.86262106,8.862621055
14,318,13.92946572,8.929465724
181,381,13.58930926,8.589309256
340,340,16.72481266,11.72481266
232,328,14.45913148,9.459131482
229,2,12.08483457,7.084834567
385,207,15.92074222,10.92074222
136,410,13.61442376,8.614423761
51,280,14.28539236,9.285392361
243,457,14.13555185,9.135551846
77,45,14.28365521,9.283655205
371,433,14.30211807,9.302118068
179,126,12.78756227,7.787562275
443,217,15.07401358,10.07401358
458,142,15.0192809,10.0192809
317,3,15.95571462,10.95571462
148,184,12.6525251,7.652525103
483,456,17.28575981,12.28575981
30,99,12.71400094,7.714000939
273,242,15.25843716,10.25843716
14,377,14.58708776,9.587087763
405,93,16.19117927,11.19117927
66,17,11.4477965,6.447796504
284,62,14.45822965,9.458229652
429,380,16.82761771,11.82761771
217,120,11.85896488,6.858964877
13,348,12.8949228,7.894922803
422,350,17.17140862,12.17140862
218,289,14.79386718,9.793867181
128,380,14.42463533,9.424635328
311,272,15.54833905,10.54833905
398,318,16.41095838,11.41095838
188,330,14.98065708,9.980657084
203,54,14.36059749,9.360597489
22,484,13.03242179,8.032421787
413,227,15.27896705,10.27896705
152,284,10.30297233,5.302972333
348,400,18.00653187,13.00653187
479,122,15.13524449,10.13524449
182,200,12.92509702,7.925097021
210,182,10.08780025,5.087800251
283,482,15.99112466,10.99112466
34,240,12.6080164,7.608016401
281,381,16.88788097,11.88788097
384,478,15.75738177,10.75738177
311,188,13.93696169,8.93696169
159,249,12.41280013,7.41280013
56,324,14.32799878,9.327998776
19,70,13.59302791,8.593027909
416,410,14.81822743,9.818227428
137,31,14.56464705,9.564647048
328,312,16.7222645,11.7222645
0,401,14.40190197,9.401901974
358,37,14.70247508,9.702475081
82,109,12.34635606,7.34635606
481,222,14.49888213,9.498882127
79,166,14.36591207,9.365912067
288,130,14.06616828,9.066168277
275,102,13.03543302,8.035433021
85,364,14.11192585,9.111925849
351,183,13.53179708,8.531797083
466,11,15.33719314,10.33719314
204,153,13.63788365,8.637883649
58,133,13.59591121,8.595911211
26,293,13.98227276,8.982272761
466,92,15.61389138,10.61389138
353,248,15.95104798,10.95104798
438,44,13.97162862,8.971628622
275,177,16.81058094,11.81058094
162,52,12.18253515,7.182535147
101,186,12.84902044,7.849020442
412,284,16.29079234,11.29079234
252,144,15.50121012,10.50121012
210,364,13.47520533,8.475205331
112,157,13.84733575,8.847335747
160,87,13.16732443,8.167324425
251,485,16.94880447,11.94880447
244,39,14.22861329,9.228613286
