x,y,old,d
275,305,6.939135366,3.939135366
0,438,13.08433283,10.08433283
396,71,11.57577919,8.575779193
31,462,11.78590431,8.785904305
87,346,12.27506884,9.275068842
142,138,8.933161269,5.933161269
135,211,9.61710085,6.61710085
472,381,8.283203406,5.283203406
302,243,10.72032364,7.720323639
435,241,11.13942951,8.139429511
233,399,12.84787175,9.847871746
213,443,13.66164418,10.66164418
356,411,9.029871885,6.029871885
9,70,8.604788441,5.604788441
59,67,9.082072827,6.082072827
459,131,9.296203839,6.296203839
325,40,11.29801949,8.298019489
394,457,9.016295226,6.016295226
488,230,10.71511675,7.715116752
74,480,11.85667079,8.856670786
251,188,11.60398073,8.60398073
413,313,8.934813147,5.934813147
58,138,10.52550602,7.525506017
409,359,8.074516592,5.074516592
250,341,7.438774294,4.438774294
94,122,9.456962415,6.456962415
472,478,9.266159326,6.266159326
498,182,10.8806064,7.880606396
378,187,10.8092629,7.809262903
492,421,8.958819944,5.958819944
359,110,10.15127989,7.151279887
442,61,10.47576464,7.475764643
23,308,11.45721544,8.457215439
88,191,10.11419214,7.114192144
246,78,8.631422475,5.631422475
431,382,9.403722334,6.403722334
408,269,8.632789331,5.632789331
181,169,9.099343264,6.099343264
175,196,8.122402294,5.122402294
234,483,11.38174313,8.381743134
155,108,11.91365293,8.913652927
90,382,12.38303216,9.383032161
277,268,10.65480305,7.654803052
73,320,13.88190598,10.88190598
104,482,11.50247123,8.502471234
97,285,10.40389918,7.403899184
394,152,9.591977126,6.591977126
172,81,8.935036894,5.935036894
196,133,10.21148309,7.211483088
403,13,11.25819445,8.258194454
198,219,10.49869074,7.498690741
338,255,8.414938661,5.414938661
493,75,10.92478796,7.924787964
223,169,11.3898534,8.389853396
283,220,12.46752707,9.467527066
432,435,6.541713315,3.541713315
272,168,10.97827427,7.978274268
355,464,10.61287438,7.612874377
193,343,11.03600541,8.036005409
32,195,10.52471597,7.524715971
368,283,8.457759353,5.457759353
32,113,9.701315837,6.701315837
172,304,12.80288653,9.802886529
305,436,8.349826883,5.349826883
399,207,10.40632673,7.406326726
362,500,9.542292759,6.542292759
414,480,7.773868159,4.773868159
140,268,11.98673189,8.986731891
243,286,12.80917395,9.809173951
374,225,10.01301347,7.013013465
213,31,8.114002368,5.114002368
176,244,8.883240744,5.883240744
265,372,8.579681665,5.579681665
446,3,11.13752156,8.137521564
203,5,10.68644288,7.686442879
296,118,9.804768705,6.804768705
133,358,13.60725758,10.60725758
453,176,12.03926324,9.039263242
225,372,12.73859925,9.738599249
240,128,12.31816714,9.318167135
380,255,10.08307051,7.083070506
498,48,12.23141336,9.231413356
122,394,12.97429009,9.974290087
342,134,11.27002977,8.270029767
473,308,8.508858327,5.508858327
175,454,12.87014404,9.870144038
437,272,8.315430559,5.315430559
60,416,12.45681296,9.456812957
386,389,8.733252783,5.733252783
1,361,12.47239458,9.472394583
471,262,6.717583177,3.717583177
487,348,6.628922797,3.628922797
25,266,12.61954166,9.619541665
462,102,12.69805907,9.69805907
285,473,9.276380369,6.276380369
137,72,11.04317876,8.043178762
54,300,10.67194865,7.671948649
276,440,9.89637629,6.89637629
206,295,11.63088769,8.630887687
330,172,10.99023776,7.990237759
