x,y,z,d
366,79,451,7.90771064036
410,167,189,7.90771064036
146,475,364,8.17005365863
401,294,396,7.90771064036
270,32,488,6.74708210403
421,472,32,7.90771064036
402,132,62,6.74708210403
124,494,295,7.29525814007
429,99,431,6.28877848306
311,46,465,8.61962791529
487,157,356,7.17030418376
214,409,335,8.32676877227
79,258,490,7.49366198199
434,326,48,6.74708210403
400,332,111,6.28877848306
360,142,251,6.05776913016
451,438,312,6.74708210403
467,384,2,8.61962791529
18,223,160,4.88104182314
236,175,376,8.61905103425
434,325,447,6.28877848306
122,131,84,5.25128722413
462,97,269,7.16601888733
201,452,275,7.95273746506
34,192,212,6.21326145432
39,187,347,8.09231023416
22,106,333,6.69646236377
197,121,133,4.44536196807
500,200,215,8.61962791529
197,304,118,7.90771064036
479,40,356,5.14752312375
266,7,441,6.48022692349
193,31,356,7.69533514761
340,485,106,7.17030418376
438,361,135,6.05776913016
18,196,291,8.03534858823
365,370,116,7.16601888733
442,175,166,6.28877848306
124,364,183,6.74708210403
212,94,135,5.67417162909
3,237,418,9.31135607912
12,490,390,10.8858697723
294,470,312,7.17030418376
1,432,180,6.28877848306
331,107,477,6.23487623504
191,437,197,8.61962791529
354,152,396,6.60169509458
142,47,156,7.35790551942
364,16,47,8.61962791529
220,332,475,6.62701827415
221,177,201,6.1147331421
277,211,10,7.17030418376
229,311,353,6.04884601957
265,218,371,5.98703325854
347,1,178,6.05776913016
244,250,257,7.33430640768
254,410,211,5.14752312375
458,331,464,6.05776913016
158,176,41,4.77973435504
48,380,50,7.17030418376
316,190,375,6.45911229883
167,364,101,6.05776913016
302,425,461,7.16601888733
441,131,407,7.49808480907
140,7,439,8.17632470626
394,246,441,5.7022450057
195,173,387,7.97767984604
500,85,364,5.14752312375
257,217,319,6.92109118464
224,36,7,6.35647532742
428,35,361,6.49199855308
234,166,322,6.94973923601
200,110,207,4.82263470105
283,431,437,6.48022692349
293,326,206,6.48022692349
14,13,488,7.27967299045
471,445,426,6.23487623504
410,36,216,7.16601888733
340,53,410,7.32921867346
181,427,24,7.16601888733
437,499,432,6.60169509458
161,10,358,8.30060623671
403,110,29,5.14752312375
146,42,219,5.57399670112
288,19,18,6.48022692349
236,213,19,4.13046813112
444,316,167,6.23487623504
122,152,35,5.44613660295
62,229,69,4.65905345272
84,99,275,7.13510980059
342,133,484,7.23424337718
286,465,180,6.60169509458
191,272,13,5.14752312375
2,337,40,6.48022692349
225,483,223,6.23487623504
385,216,88,6.23487623504
421,388,472,5.98703325854
362,164,155,6.60169509458
389,183,153,5.98703325854
475,145,149,6.45911229883
204,120,455,8.8312431483
253,362,9,5.98703325854
12,12,215,4.52479395768
163,497,170,6.60169509458
339,2,359,5.98062946766
449,68,370,6.44398410351
259,342,498,6.45911229883
390,259,55,6.45911229883
251,495,345,7.49808480907
367,49,334,6.96350323128
192,334,225,5.98703325854
68,103,228,6.01534720575
256,326,318,5.7022450057
495,299,345,6.92109118464
161,389,391,7.22316334083
319,73,235,7.49808480907
157,472,104,6.45911229883
335,189,339,6.35594481781
362,151,108,5.7022450057
59,177,307,8.88337794444
21,47,89,4.89184290188
199,13,90,2.69277242341
117,481,111,7.49808480907
445,323,354,6.49199855308
158,462,1,5.7022450057
415,447,347,7.32921867346
225,335,29,6.92109118464
266,156,315,5.94421714065
159,294,333,9.10907562189
369,86,90,6.92109118464
327,102,37,6.49199855308
303,453,110,7.49808480907
79,370,100,6.49199855308
355,384,208,5.7022450057
326,413,18,6.92109118464
480,416,103,6.49199855308
38,298,411,9.07734913455
397,488,7,7.32921867346
337,309,126,7.23424337718
320,443,0,5.98062946766
92,288,168,7.32921867346
142,144,144,5.31228698966
186,99,422,7.56405698453
354,175,355,7.47924434478
384,220,213,7.32921867346
446,60,150,7.23424337718
299,401,47,6.44398410351
345,71,332,6.72972132955
83,245,191,4.58649088543
411,437,116,6.96350323128
167,301,50,7.23424337718
271,322,261,7.23424337718
135,345,454,7.01248354487
28,227,87,5.48824008185
298,181,11,5.98062946766
430,124,138,6.44398410351
473,329,207,6.35594481781
471,111,31,6.96350323128
163,462,443,7.90398796093
127,76,61,5.39951668517
269,150,398,5.31272499393
415,155,234,6.35594481781
130,51,469,7.81586787417
338,313,283,5.98062946766
447,180,302,6.97236089992
247,41,229,7.46878550794
259,268,273,6.44398410351
238,323,179,5.98062946766
50,67,108,5.72585563582
366,452,107,5.94421714065
363,395,3,7.47924434478
240,238,325,9.3273331821
248,306,159,6.44398410351
159,50,333,9.67511311137
425,120,237,5.94421714065
27,218,354,8.12564207482
194,32,414,8.44681200489
167,225,154,4.32737381535
199,207,429,8.38984091443
91,480,39,6.96350323128
177,308,296,8.18591360846
143,323,275,8.40435967712
402,257,380,6.96350323128
49,266,382,8.66137486417
19,359,230,6.35594481781
9,399,60,5.94421714065
9,149,12,4.60072547866
78,96,489,7.28488762126
124,228,361,9.62078361267
257,201,163,7.47924434478
17,52,209,6.19745146553
476,246,156,6.72972132955
17,295,477,7.98693817641
122,7,383,7.83683236877
64,65,66,7.13398938893
470,330,7,6.72972132955
35,31,221,5.00874228402
378,278,356,6.35594481781
476,474,176,5.31272499393
473,117,312,7.52618526335
