x,y,z,old,d
151,197,36,4.121921452,1.621921452
130,43,134,6.046309026,3.546309026
448,302,332,6.913866781,4.413866781
20,377,168,6.913866781,4.413866781
475,363,270,7.773736586,5.273736586
453,224,457,6.913866781,4.413866781
415,185,94,6.913866781,4.413866781
347,44,190,7.773736586,5.273736586
66,305,353,6.183541034,3.683541034
203,225,226,6.929060509,4.429060509
260,478,9,6.913866781,4.413866781
23,263,91,7.773736586,5.273736586
411,259,304,6.606043989,4.106043989
24,407,319,7.699914838,5.199914838
18,45,311,5.69470313,3.19470313
21,314,141,6.606043989,4.106043989
9,176,324,4.714093927,2.214093927
315,266,62,7.773736586,5.273736586
107,413,74,7.489042683,4.989042683
340,318,287,7.489042683,4.989042683
316,467,100,6.606043989,4.106043989
190,130,272,5.600129525,3.100129525
185,212,102,7.482484229,4.982484229
55,328,485,5.363563029,2.863563029
84,194,422,3.633137606,1.133137606
498,31,259,7.773736586,5.273736586
178,209,27,6.548551998,4.048551998
452,119,85,6.606043989,4.106043989
75,271,88,7.477912572,4.977912572
261,228,77,7.489042683,4.989042683
234,104,438,5.901435011,3.401435011
393,108,50,7.477912572,4.977912572
106,440,65,9.438490292,6.938490292
370,221,213,9.438490292,6.938490292
446,176,407,6.606043989,4.106043989
286,451,172,7.489042683,4.989042683
303,97,174,6.586734718,4.086734718
76,438,33,6.586734718,4.086734718
457,446,6,7.477912572,4.977912572
211,357,169,8.947248116,6.447248116
395,432,21,9.438490292,6.938490292
178,64,267,5.208331463,2.708331463
471,480,292,7.477912572,4.977912572
449,27,287,7.489042683,4.989042683
34,498,238,6.892534796,4.392534796
428,433,155,6.586734718,4.086734718
343,389,221,8.947248116,6.447248116
80,275,396,6.541230833,4.041230833
91,480,450,5.135212886,2.635212886
347,370,342,9.438490292,6.938490292
248,184,10,6.88335568,4.38335568
22,303,78,9.107712988,6.607712988
221,137,469,5.605559517,3.105559517
62,497,140,8.831184101,6.331184101
82,218,156,6.570126671,4.070126671
375,169,300,7.477912572,4.977912572
497,288,329,6.586734718,4.086734718
101,468,341,7.256645841,4.756645841
265,402,193,6.892534796,4.392534796
199,154,335,4.777260945,2.277260945
195,113,418,4.979229215,2.479229215
325,354,133,9.107712988,6.607712988
233,104,100,4.88292239,2.38292239
190,2,49,5.870255089,3.370255089
427,221,128,8.947248116,6.447248116
387,200,115,6.892534796,4.392534796
297,364,46,8.831184101,6.331184101
282,288,195,7.426774285,4.926774285
52,476,247,7.426774285,4.926774285
119,113,238,5.515839475,3.015839475
294,74,243,9.107712988,6.607712988
440,49,10,8.831184101,6.331184101
204,356,48,8.956499471,6.456499471
452,105,446,9.438490292,6.938490292
471,373,132,8.956499471,6.456499471
339,454,457,8.947248116,6.447248116
85,412,136,8.148519245,5.648519245
464,256,285,6.892534796,4.392534796
34,86,355,4.553518462,2.053518462
28,81,204,6.958503861,4.458503861
428,91,229,7.426774285,4.926774285
69,60,362,3.837481801,1.337481801
464,3,330,6.586734718,4.086734718
361,336,149,8.148519245,5.648519245
86,411,240,8.267878227,5.767878227
94,364,445,7.173337446,4.673337446
56,257,225,7.974439356,5.474439356
230,189,92,5.72659896,3.22659896
18,313,287,7.565994889,5.065994889
121,87,112,5.91471116,3.41471116
57,163,379,3.774326959,1.274326959
358,8,52,8.956499471,6.456499471
483,193,256,8.947248116,6.447248116
210,137,29,5.419096018,2.919096018
402,233,122,8.148519245,5.648519245
493,298,224,8.267878227,5.767878227
338,402,123,7.974439356,5.474439356
138,280,225,6.661381936,4.161381936
178,37,470,5.421781101,2.921781101
212,231,499,6.276005495,3.776005495
425,52,376,6.892534796,4.392534796
326,267,170,6.661381936,4.161381936
313,255,89,8.283047126,5.783047126
484,459,415,9.107712988,6.607712988
484,52,328,9.107712988,6.607712988
228,482,299,5.553847491,3.053847491
160,203,65,6.315720765,3.815720765
42,354,146,8.283047126,5.783047126
343,138,77,8.267878227,5.767878227
263,420,166,7.714584221,5.214584221
367,488,184,8.619684674,6.119684674
478,427,13,8.832826707,6.332826707
294,4,272,8.831184101,6.331184101
267,349,382,8.831184101,6.331184101
412,399,93,8.405755494,5.905755494
21,140,146,5.107437731,2.607437731
337,482,119,7.581718317,5.081718317
16,383,78,7.714584221,5.214584221
219,265,462,6.901728498,4.401728498
224,425,388,7.214772874,4.714772874
246,255,36,8.619684674,6.119684674
94,245,131,6.302825118,3.802825118
411,181,135,7.974439356,5.474439356
164,88,296,5.477621287,2.977621287
136,227,88,4.926945641,2.426945641
7,237,109,6.100966093,3.600966093
279,426,447,7.426774285,4.926774285
79,353,492,7.902016633,5.402016633
63,368,351,7.040622165,4.540622165
134,248,55,6.07219365,3.57219365
211,146,199,5.387996831,2.887996831
104,358,316,5.266952794,2.766952794
30,5,422,5.85871343,3.35871343
6,159,28,6.389988326,3.889988326
140,391,1,8.832826707,6.332826707
88,477,482,7.220710795,4.720710795
230,495,195,8.405755494,5.905755494
163,271,179,7.581718317,5.081718317
3,323,80,7.660245923,5.160245923
415,171,59,6.661381936,4.161381936
123,151,94,5.896240759,3.396240759
428,11,498,7.426774285,4.926774285
376,5,177,8.283047126,5.783047126
0,153,477,5.781204034,3.281204034
334,76,191,7.714584221,5.214584221
235,298,252,5.733751549,3.233751549
27,131,5,6.496422347,3.996422347
35,180,343,4.260951327,1.760951327
481,311,422,8.956499471,6.456499471
198,447,463,5.238162553,2.738162553
332,108,368,8.956499471,6.456499471
291,403,23,7.660245923,5.160245923
200,310,185,9.094627747,6.594627747
209,443,435,7.135233642,4.635233642
230,358,38,8.997006679,6.497006679
441,24,450,8.148519245,5.648519245
199,389,160,9.3066646,6.8066646
103,378,4,7.116257064,4.616257064
267,463,388,8.148519245,5.648519245
14,381,437,5.068639713,2.568639713
232,422,475,6.723536967,4.223536967
89,238,471,4.294334233,1.794334233
483,168,111,8.619684674,6.119684674
70,451,375,7.545226307,5.045226307
422,60,267,8.267878227,5.767878227
289,339,94,9.094627747,6.594627747
398,317,388,8.267878227,5.767878227
154,386,43,6.002087702,3.502087702
424,192,392,7.974439356,5.474439356
341,161,53,8.832826707,6.332826707
418,498,146,8.997006679,6.497006679
402,241,212,8.405755494,5.905755494
474,426,259,7.974439356,5.474439356
30,249,451,5.196774719,2.696774719
331,124,166,7.581718317,5.081718317
326,494,290,6.661381936,4.161381936
239,98,245,7.215163602,4.715163602
118,140,52,6.296643473,3.796643473
483,71,115,7.660245923,5.160245923
142,117,188,5.185928073,2.685928073
138,323,479,8.453495706,5.953495706
5,57,339,4.822727144,2.322727144
309,483,374,8.283047126,5.783047126
490,34,201,9.094627747,6.594627747
315,487,459,7.714584221,5.214584221
492,380,116,9.3066646,6.8066646
31,27,69,7.684593938,5.184593938
153,256,327,7.171659819,4.671659819
279,49,391,6.661381936,4.161381936
64,446,187,6.982771653,4.482771653
456,292,129,7.116257064,4.616257064
51,296,16,6.616970094,4.116970094
227,372,489,6.482962897,3.982962897
275,343,307,8.619684674,6.119684674
171,439,21,7.472701214,4.972701214
290,472,125,6.002087702,3.502087702
342,67,454,8.283047126,5.783047126
342,418,192,6.982771653,4.482771653
416,186,4,8.997006679,6.497006679
138,480,81,7.588060215,5.088060215
