x,y,z,d
397,39,111,12.3298104964
211,109,454,15.3398221786
131,302,359,13.2933304015
91,218,443,14.1850884129
83,315,411,12.9967225791
443,132,323,12.3298104964
357,311,240,12.3298104964
386,130,32,13.5128667888
139,87,294,15.0651838078
481,293,212,13.5128667888
324,44,469,13.5128667888
112,250,226,12.3298104964
46,356,394,14.5704247113
487,492,199,12.3264160551
2,415,411,11.9346362884
21,198,242,16.8519841928
247,488,14,13.5128667888
317,190,108,12.3264160551
477,359,235,13.8012615191
199,104,128,14.9429064565
343,394,316,12.3298104964
215,474,438,12.4747465033
69,13,252,13.1998000392
219,12,316,15.1757238979
143,453,327,13.6048467383
58,367,206,12.3264160551
30,97,172,14.8248968396
404,404,256,13.5128667888
40,240,402,14.5392048094
69,146,38,14.9235772778
351,172,493,12.3264160551
474,1,426,13.8012615191
345,439,408,12.3264160551
367,51,465,14.027344035
475,397,191,14.027344035
427,135,214,13.8012615191
389,229,261,13.4633967399
369,404,371,13.8012615191
491,53,470,13.191336339
351,204,347,14.199469901
141,127,70,16.6373846505
294,170,55,14.027344035
112,162,286,16.347974842
149,300,482,15.2353410967
4,348,163,13.8012615191
147,263,472,14.152545133
44,38,187,14.7746099481
305,156,358,10.3489615826
495,287,24,13.4633967399
197,374,270,14.3114064033
21,193,350,14.9356504436
498,4,140,13.4633967399
279,270,348,14.027344035
104,292,95,14.027344035
211,186,279,12.9163032277
284,389,295,13.4633967399
293,206,21,13.191336339
411,442,252,13.191336339
429,367,400,14.199469901
284,68,376,14.0862596501
46,88,41,16.3343400846
1,359,9,13.4633967399
358,235,84,14.199469901
86,289,63,13.191336339
400,168,272,12.281499976
81,223,11,14.7184601366
384,94,248,10.3489615826
41,329,86,14.199469901
140,259,201,10.3489615826
43,290,360,12.396311545
310,463,275,10.3489615826
424,481,414,14.0862596501
94,247,411,13.7551381464
91,369,396,13.588513855
455,97,205,14.0862596501
477,323,153,13.191336339
175,244,478,13.8618154609
291,97,386,12.5499907957
215,447,352,14.7682994368
336,110,390,11.7173346773
383,386,258,12.281499976
185,113,436,14.01479557
259,409,318,12.5499907957
225,240,381,13.2103125839
439,161,438,13.1743183979
343,128,438,13.6966562795
288,118,435,11.528077603
41,54,4,17.3506402644
83,483,208,14.0862596501
363,349,461,11.7173346773
237,255,147,12.281499976
386,166,432,11.6914097003
457,113,299,12.3567254417
220,322,214,12.5499907957
222,428,313,13.8238743749
286,37,291,13.8606100943
28,483,199,11.7173346773
359,392,104,14.199469901
179,326,449,14.846573296
206,115,490,13.1839396069
308,364,476,13.1743183979
130,227,404,16.8724058744
41,58,157,16.131779577
362,235,360,13.8004691296
459,436,242,10.3489615826
213,276,376,12.5039158853
163,70,66,16.5663101321
163,302,16,13.1743183979
247,481,105,13.6966562795
230,2,428,14.9138227053
404,363,423,13.6966562795
163,343,329,12.9744590303
473,210,217,12.281499976
9,32,429,14.2775910464
275,169,224,12.5499907957
437,383,70,14.0862596501
1,78,39,16.0957768031
380,311,392,11.528077603
164,57,418,12.4391530119
168,130,332,16.0525506603
489,358,469,11.6914097003
214,383,291,14.9045739185
323,103,464,11.434380447
419,295,411,12.3567254417
290,17,461,12.2954186698
343,461,17,12.281499976
380,274,304,13.8606100943
436,77,139,11.7173346773
284,168,453,13.3392290834
333,198,1,13.1743183979
308,479,306,13.8004691296
320,448,32,12.5499907957
282,329,247,11.7173346773
249,64,129,16.7309055269
440,314,240,13.1743183979
257,250,372,11.434380447
459,447,410,12.2954186698
102,421,262,13.960110113
141,170,258,13.1701874208
373,464,151,13.6966562795
463,417,264,13.3392290834
236,141,136,17.0581178737
284,291,436,12.302677131
172,377,65,11.528077603
176,28,65,17.3436902172
54,497,88,11.6914097003
346,262,102,11.528077603
276,401,460,12.8984094802
227,182,231,15.1337546491
263,263,311,13.0980277155
234,261,227,12.3567254417
375,178,39,13.6966562795
58,412,9,13.8606100943
97,255,383,12.1036613587
447,158,250,12.302677131
133,226,333,13.7367979211
222,359,421,15.563024881
343,77,31,11.528077603
261,146,463,12.8984094802
69,316,470,14.5886791116
470,59,392,13.0980277155
315,437,130,11.6914097003
133,480,206,13.8004691296
66,253,103,11.434380447
415,373,286,12.7578978244
496,459,416,12.4519829178
174,193,126,16.1412787042
321,182,464,12.7578978244
268,291,200,12.3567254417
66,17,66,15.38102816
348,257,438,14.1127109192
209,174,189,15.8583960309
219,486,208,12.2954186698
5,463,16,13.3392290834
22,482,160,12.302677131
403,441,150,13.8606100943
439,70,490,12.4519829178
169,395,493,14.2183332197
294,232,147,11.6914097003
203,154,223,14.4505186894
145,37,156,16.8456648124
260,159,42,12.3567254417
418,432,452,13.7196479033
234,193,40,15.6924474827
151,45,370,14.7984038776
276,309,78,13.8004691296
449,163,189,13.8606100943
298,118,312,14.1127109192
500,348,442,12.8458314327
60,300,281,13.3303571589
209,187,398,15.031210093
97,190,310,13.5177183577
277,138,88,13.8004691296
452,497,109,11.434380447
292,105,47,11.434380447
184,216,10,16.6336470288
456,258,78,12.2954186698
444,34,285,13.7196479033
133,350,120,12.8984094802
424,404,311,13.5778348528
