x,y,z,old,d
319,88,317,15.12134895,9.12134895
445,297,396,15.12134895,9.12134895
174,269,391,12.16790162,6.16790162
152,39,462,13.96032342,7.96032342
137,109,440,15.51229121,9.51229121
102,450,258,11.679831,5.679831
331,57,377,15.65511396,9.65511396
119,93,423,17.22327126,11.22327126
371,436,21,15.12134895,9.12134895
93,239,347,14.1249373,8.1249373
265,13,423,18.06952698,12.06952698
247,324,288,11.76348927,5.76348927
394,460,340,15.65511396,9.65511396
249,75,51,16.00790824,10.00790824
413,344,79,15.65511396,9.65511396
223,338,193,15.12134895,9.12134895
348,96,312,15.54217449,9.54217449
254,129,419,15.91071899,9.91071899
204,73,377,16.11438528,10.11438528
110,292,16,15.65511396,9.65511396
256,113,257,15.43996724,9.43996724
357,112,377,18.01619166,12.01619166
481,271,489,18.06952698,12.06952698
89,160,71,16.13312803,10.13312803
234,66,312,14.92518743,8.92518743
245,300,166,18.06952698,12.06952698
383,315,239,18.06952698,12.06952698
309,476,304,15.54217449,9.54217449
409,413,408,15.91071899,9.91071899
497,126,182,15.12134895,9.12134895
384,302,0,15.54217449,9.54217449
140,273,275,13.62489906,7.62489906
448,368,204,15.91071899,9.91071899
352,398,128,15.43996724,9.43996724
492,99,220,15.65511396,9.65511396
125,50,471,15.29647589,9.29647589
99,343,318,15.00261189,9.00261189
226,116,192,15.1815043,9.1815043
319,238,8,18.06952698,12.06952698
287,140,44,15.54217449,9.54217449
13,160,359,14.84757141,8.84757141
258,177,424,14.64490308,8.64490308
91,34,93,18.31017608,12.31017608
472,143,15,15.91071899,9.91071899
200,249,390,14.56709743,8.56709743
158,458,119,15.54217449,9.54217449
117,394,368,11.71491015,5.71491015
201,185,267,14.26492006,8.26492006
438,27,326,15.39022888,9.39022888
218,230,146,18.3601374,12.3601374
83,489,248,15.91071899,9.91071899
10,155,482,15.3404827,9.3404827
459,492,287,15.43996724,9.43996724
314,73,412,15.98704737,9.98704737
282,265,488,18.01619166,12.01619166
474,133,456,16.34847162,10.34847162
399,108,319,16.31721798,10.31721798
491,179,337,14.57126832,8.57126832
146,186,170,17.05393128,11.05393128
130,335,211,15.43996724,9.43996724
438,46,211,15.43996724,9.43996724
182,377,122,18.01619166,12.01619166
55,490,235,14.64490308,8.64490308
281,464,156,18.01619166,12.01619166
124,23,169,16.54141694,10.54141694
316,329,23,14.64490308,8.64490308
12,121,53,15.57468873,9.57468873
488,110,474,14.39275412,8.39275412
