x,y,z,old,d
159,388,354,10.82779564,6.82779564
181,409,387,11.4875926,7.4875926
58,100,458,8.978593599,4.978593599
297,362,122,9.830843712,5.830843712
435,103,270,9.830843712,5.830843712
384,110,39,9.830843712,5.830843712
101,145,124,8.725370315,4.725370315
412,421,171,11.6401871,7.6401871
180,173,474,8.598051072,4.598051072
384,28,319,11.6401871,7.6401871
432,127,80,11.6401871,7.6401871
246,364,398,11.22366718,7.22366718
427,62,180,10.00509995,6.00509995
242,297,3,9.830843712,5.830843712
476,408,7,10.00509995,6.00509995
377,138,173,8.789913523,4.789913523
403,433,247,8.789913523,4.789913523
282,45,463,10.00509995,6.00509995
142,320,36,11.6401871,7.6401871
219,402,61,10.00509995,6.00509995
249,400,429,12.30717112,8.30717112
381,310,301,9.830843712,5.830843712
29,123,192,10.72745945,6.72745945
345,83,347,8.789913523,4.789913523
222,267,16,8.789913523,4.789913523
71,48,465,8.496190487,4.496190487
91,497,316,12.52966357,8.52966357
89,19,180,12.11626382,8.11626382
82,43,54,10.06329524,6.06329524
17,429,94,11.10160193,7.10160193
446,54,151,11.10160193,7.10160193
17,325,22,10.39314753,6.39314753
27,114,247,10.8181179,6.8181179
93,480,361,11.17576919,7.17576919
2,359,279,12.6736788,8.6736788
232,58,461,9.825040986,5.825040986
3,455,484,11.04279524,7.04279524
270,0,367,11.10160193,7.10160193
76,281,278,11.49657131,7.49657131
343,254,115,11.10160193,7.10160193
138,461,107,9.063639794,5.063639794
166,62,97,11.45990056,7.45990056
386,145,107,10.39314753,6.39314753
360,106,117,9.063639794,5.063639794
385,231,310,10.39314753,6.39314753
180,208,362,8.755518673,4.755518673
283,33,112,10.4552506,6.4552506
433,36,485,9.063639794,5.063639794
297,95,179,10.94530407,6.94530407
444,34,356,10.4552506,6.4552506
10,385,441,11.92419491,7.92419491
461,212,399,10.94530407,6.94530407
2,206,380,9.646483803,5.646483803
468,0,370,9.89160737,5.89160737
161,14,485,8.603435249,4.603435249
453,278,465,11.6401871,7.6401871
106,374,357,11.71468594,7.71468594
423,61,303,8.624396744,4.624396744
103,344,347,11.98773255,7.98773255
273,268,411,10.00509995,6.00509995
290,69,386,11.20377568,7.20377568
486,462,225,10.39314753,6.39314753
223,225,111,10.07852545,6.07852545
298,155,104,9.89160737,5.89160737
165,355,466,9.549757907,5.549757907
64,429,429,12.3574455,8.3574455
127,346,154,10.4552506,6.4552506
125,386,256,12.07754211,8.07754211
71,168,477,8.664932109,4.664932109
478,217,493,11.66902036,7.66902036
229,355,95,10.94530407,6.94530407
217,372,133,9.89160737,5.89160737
437,107,349,11.83559045,7.83559045
297,224,460,9.897800296,5.897800296
230,347,8,8.624396744,4.624396744
219,344,441,12.65756371,8.65756371
149,103,376,8.808803682,4.808803682
494,401,212,9.063639794,5.063639794
38,345,194,11.20377568,7.20377568
266,134,56,8.624396744,4.624396744
152,491,489,11.23464644,7.23464644
211,17,461,10.71734771,6.71734771
331,221,152,11.20377568,7.20377568
161,487,274,11.27737621,7.27737621
360,1,390,11.16476254,7.16476254
354,43,249,11.66902036,7.66902036
441,362,66,10.4552506,6.4552506
80,189,262,7.882353747,3.882353747
171,80,332,10.02871503,6.02871503
177,412,476,12.35116347,8.35116347
241,244,236,9.916482055,5.916482055
199,147,124,8.856928067,4.856928067
136,10,83,10.41632404,6.41632404
361,255,272,8.789913523,4.789913523
301,370,444,11.10160193,7.10160193
11,204,141,9.349638435,5.349638435
285,87,250,11.21389088,7.21389088
20,392,224,11.66902036,7.66902036
316,484,194,10.94530407,6.94530407
71,240,381,8.797658442,4.797658442
415,431,467,10.39314753,6.39314753
349,259,146,9.89160737,5.89160737
142,318,416,11.61335509,7.61335509
136,165,329,9.242886524,5.242886524
427,367,266,9.063639794,5.063639794
268,289,306,10.4552506,6.4552506
106,392,495,10.82960436,6.82960436
441,50,52,11.83559045,7.83559045
54,488,300,13.68602391,9.68602391
44,460,127,11.83559045,7.83559045
241,410,204,9.897800296,5.897800296
60,36,313,9.149406903,5.149406903
426,62,100,9.897800296,5.897800296
37,293,110,11.16476254,7.16476254
401,240,161,11.16476254,7.16476254
156,386,449,11.80940467,7.80940467
192,97,260,9.343474685,5.343474685
404,284,353,10.94530407,6.94530407
295,377,371,9.89160737,5.89160737
112,328,62,11.21389088,7.21389088
34,242,103,9.633230825,5.633230825
344,64,64,11.21389088,7.21389088
104,36,474,8.14915064,4.14915064
320,418,114,8.624396744,4.624396744
272,327,468,8.624396744,4.624396744
406,84,282,8.898879354,4.898879354
493,487,187,11.20377568,7.20377568
29,63,419,7.959437614,3.959437614
221,138,155,8.442012911,4.442012911
64,399,333,10.93786425,6.93786425
484,416,168,11.66902036,7.66902036
78,154,304,9.934589068,5.934589068
361,127,383,10.21403205,6.21403205
371,499,49,11.83559045,7.83559045
178,97,90,9.282485898,5.282485898
497,76,471,9.400452227,5.400452227
397,189,97,8.898879354,4.898879354
221,97,472,9.729295588,5.729295588
331,268,186,9.897800296,5.897800296
244,18,201,11.15947948,7.15947948
111,350,204,8.898879354,4.898879354
468,488,56,11.16476254,7.16476254
404,204,327,10.70174588,6.70174588
79,315,134,10.21403205,6.21403205
52,417,389,13.26598028,9.26598028
48,273,414,11.59146839,7.59146839
468,232,274,10.01741237,6.01741237
50,445,26,9.400452227,5.400452227
216,477,469,11.33120769,7.33120769
444,248,329,8.670543613,4.670543613
358,356,384,11.20377568,7.20377568
104,144,19,9.190413175,5.190413175
80,379,483,13.34524209,9.34524209
44,171,172,8.303737489,4.303737489
22,477,63,10.70174588,6.70174588
25,81,113,10.10656654,6.10656654
293,333,370,11.66902036,7.66902036
210,81,51,11.75591294,7.75591294
351,82,248,10.21403205,6.21403205
179,405,237,10.01741237,6.01741237
189,204,57,9.857776977,5.857776977
428,305,161,11.21389088,7.21389088
385,244,476,10.10817323,6.10817323
30,27,136,9.56918317,5.56918317
253,132,280,10.76241833,6.76241833
35,128,8,9.892918763,5.892918763
98,88,105,10.51759385,6.51759385
82,482,149,8.670543613,4.670543613
322,359,221,8.898879354,4.898879354
317,271,300,11.83559045,7.83559045
432,343,247,10.21403205,6.21403205
325,444,379,9.897800296,5.897800296
235,143,16,7.7137092,3.7137092
9,357,309,11.81270136,7.81270136
279,396,134,9.400452227,5.400452227
496,259,253,11.16476254,7.16476254
154,368,93,10.10817323,6.10817323
87,117,343,9.240191712,5.240191712
495,103,264,10.17623146,6.17623146
47,173,459,8.146340819,4.146340819
437,209,227,9.400452227,5.400452227
392,173,185,10.70174588,6.70174588
430,122,132,10.01741237,6.01741237
305,103,70,8.670543613,4.670543613
302,121,126,10.10817323,6.10817323
286,63,157,10.76241833,6.76241833
190,281,369,13.18879117,9.18879117
337,373,292,11.21389088,7.21389088
309,308,297,8.898879354,4.898879354
494,225,296,9.914604506,5.914604506
482,226,71,10.17623146,6.17623146
263,188,308,11.19016198,7.19016198
137,112,406,9.003601668,5.003601668
282,255,329,10.21403205,6.21403205
107,102,149,10.6072735,6.6072735
26,438,65,10.76241833,6.76241833
496,201,214,9.914604506,5.914604506
450,128,438,9.453405444,5.453405444
109,192,83,9.591790445,5.591790445
398,314,346,9.400452227,5.400452227
