x,y,z,old,d
127,314,214,6.552851642,4.052851642
232,493,183,4.548665595,2.048665595
179,219,243,7.900527169,5.400527169
4,238,257,6.484990056,3.984990056
499,44,293,6.552851642,4.052851642
121,246,210,8.702026558,6.202026558
457,74,16,6.552851642,4.052851642
187,109,236,9.833515186,7.333515186
121,426,116,7.467370737,4.967370737
325,44,40,4.548665595,2.048665595
166,204,286,5.299814729,2.799814729
145,377,157,6.610419001,4.110419001
144,338,262,5.263611416,2.763611416
8,51,229,7.994521901,5.494521901
122,465,282,4.662067447,2.162067447
261,275,7,6.552851642,4.052851642
130,243,164,9.745615298,7.245615298
21,356,472,4.580638199,2.080638199
231,320,40,5.609511944,3.109511944
92,57,347,5.60517861,3.10517861
173,434,267,6.348749475,3.848749475
476,381,76,4.548665595,2.048665595
288,102,382,4.548665595,2.048665595
305,150,186,7.467370737,4.967370737
159,374,64,6.424810182,3.924810182
75,67,411,6.032999485,3.532999485
247,259,64,6.668868917,4.168868917
398,265,427,6.552851642,4.052851642
435,212,62,6.610419001,4.110419001
286,128,99,5.609511944,3.109511944
473,419,34,7.467370737,4.967370737
351,9,276,7.467370737,4.967370737
416,164,174,6.424810182,3.924810182
58,375,293,6.044846504,3.544846504
285,86,263,6.610419001,4.110419001
430,302,300,4.548665595,2.048665595
278,188,106,6.668868917,4.168868917
328,276,453,7.467370737,4.967370737
258,403,359,6.610419001,4.110419001
228,90,98,6.00635758,3.50635758
314,281,246,6.610419001,4.110419001
56,293,285,5.032597992,2.532597992
224,421,289,5.399934325,2.899934325
475,499,107,5.609511944,3.109511944
474,275,198,6.424810182,3.924810182
108,133,57,8.391761122,5.891761122
47,433,445,5.953711973,3.453711973
216,70,448,5.267260066,2.767260066
192,254,363,6.670875777,4.170875777
117,472,69,4.045189359,1.545189359
270,16,200,4.045189359,1.545189359
305,290,322,5.609511944,3.109511944
51,491,111,4.653038971,2.153038971
243,3,70,9.045289521,6.545289521
350,327,381,6.424810182,3.924810182
142,477,439,5.175507799,2.675507799
73,317,271,6.820142918,4.320142918
39,426,399,5.548759082,3.048759082
335,202,443,5.609511944,3.109511944
292,350,373,6.668868917,4.168868917
358,172,333,6.424810182,3.924810182
161,95,117,8.752781398,6.252781398
434,430,29,6.668868917,4.168868917
355,151,194,4.653038971,2.153038971
279,270,49,4.045189359,1.545189359
332,219,32,6.009782437,3.509782437
432,350,46,4.653038971,2.153038971
213,471,42,6.009782437,3.509782437
331,15,206,5.315074926,2.815074926
25,279,483,5.554229191,3.054229191
160,317,297,5.70432212,3.20432212
274,293,221,6.009782437,3.509782437
269,214,15,5.893347577,3.393347577
130,130,98,7.167982593,4.667982593
416,87,363,6.668868917,4.168868917
140,160,353,3.999128916,1.499128916
101,401,224,5.315074926,2.815074926
479,485,364,4.045189359,1.545189359
370,335,243,5.315074926,2.815074926
129,43,126,8.292365042,5.792365042
152,423,145,5.893347577,3.393347577
130,134,384,5.412579232,2.912579232
398,47,91,7.367543257,4.867543257
403,91,61,6.307166279,3.807166279
221,128,157,8.071388259,5.571388259
247,351,100,7.367543257,4.867543257
47,341,281,5.204855933,2.704855933
330,216,361,4.045189359,1.545189359
59,463,428,6.095816232,3.595816232
327,350,485,4.653038971,2.153038971
482,471,82,5.893347577,3.393347577
104,27,41,7.704009419,5.204009419
275,2,282,4.653038971,2.153038971
222,215,191,9.717405704,7.217405704
252,291,179,7.367543257,4.867543257
8,293,6,6.307166279,3.807166279
124,39,397,5.426246415,2.926246415
37,372,98,5.712612255,3.212612255
239,48,12,7.70523344,5.20523344
165,98,358,5.875469411,3.375469411
495,432,247,6.307166279,3.807166279
220,430,403,5.666796756,3.166796756
487,34,16,5.712612255,3.212612255
353,216,320,6.009782437,3.509782437
463,337,422,6.009782437,3.509782437
84,116,328,4.640212241,2.140212241
108,305,60,5.721046664,3.221046664
488,100,13,5.721046664,3.221046664
199,141,368,4.987689979,2.487689979
221,283,227,5.696318816,3.196318816
108,83,167,8.331075115,5.831075115
404,440,419,5.315074926,2.815074926
445,6,364,5.315074926,2.815074926
358,491,266,5.893347577,3.393347577
162,154,171,8.653971021,6.153971021
400,116,149,5.696318816,3.196318816
468,1,8,7.568505543,5.068505543
416,127,331,5.893347577,3.393347577
362,373,341,7.367543257,4.867543257
337,351,361,6.307166279,3.807166279
229,499,68,7.568505543,5.068505543
306,328,455,5.712612255,3.212612255
380,328,465,5.721046664,3.221046664
