x,y,z,d
468,484,297,5.66164258231
340,267,434,3.51992543812
41,229,176,6.8224200914
483,207,146,5.66164258231
142,80,119,8.1555187713
257,150,7,3.51992543812
321,124,420,5.66164258231
32,339,261,9.71040418777
471,135,271,3.51992543812
170,124,247,7.80164089193
273,252,151,5.66164258231
284,453,69,3.51992543812
18,15,467,6.70510000438
475,88,424,4.27309575942
135,324,88,5.66164258231
194,41,273,5.08080521011
280,423,78,4.27309575942
186,440,365,8.87732395388
42,110,345,4.81756031806
72,162,414,3.63523102432
306,317,215,4.73706733446
249,481,466,9.90988483231
103,346,248,3.51992543812
282,63,205,4.27309575942
239,429,387,10.2822445959
48,466,118,4.27309575942
220,9,146,7.61076741093
200,15,345,5.92689721833
441,12,29,4.73706733446
265,217,66,4.52269608182
310,193,179,5.25806704487
497,330,449,4.27309575942
479,352,195,4.52269608182
439,33,405,4.73706733446
184,415,381,9.80868566879
22,201,128,8.78245701876
281,122,45,5.53094261161
154,157,499,6.88238730604
371,291,290,4.73706733446
191,372,32,4.73706733446
81,157,468,6.86589972164
195,320,452,8.87821658573
235,406,105,4.52269608182
252,80,383,4.52269608182
485,480,478,4.52269608182
473,162,442,5.25806704487
137,86,271,6.51378190477
392,71,390,5.53094261161
88,346,144,5.25806704487
261,337,269,5.25806704487
189,327,417,9.71672852742
446,446,22,5.25806704487
29,482,489,10.4211164418
461,493,193,5.53094261161
434,260,301,5.53094261161
42,52,332,5.91846319731
153,263,338,8.28347128187
468,370,93,3.61150160325
478,454,346,3.61150160325
339,174,268,3.61150160325
66,290,333,9.76868071407
265,342,23,4.19935752248
387,120,349,4.19935752248
476,46,171,3.61150160325
223,119,402,6.47510160002
385,88,237,4.19935752248
177,349,213,5.53094261161
56,376,116,3.61150160325
76,164,372,5.53093670302
24,141,113,7.98343195076
153,318,492,11.1195850137
427,296,307,4.19935752248
492,3,426,6.01404001082
490,72,361,4.36113853153
336,348,460,6.01404001082
41,71,302,6.20376411153
397,175,185,6.01404001082
387,406,452,4.36113853153
395,243,173,4.36113853153
457,102,137,5.38061937976
288,57,305,5.38061937976
241,201,421,6.72995405709
461,62,107,4.51463524197
200,273,428,8.90643682225
395,363,8,6.01404001082
122,447,294,7.70230452499
440,188,433,4.51463524197
321,169,109,5.23578585836
489,413,477,5.38061937976
362,399,190,4.36113853153
411,122,26,2.9561776492
184,235,478,4.08594874662
160,108,304,4.81023953063
484,189,429,5.23578585836
351,300,187,5.38061937976
426,499,472,4.51463524197
120,123,139,7.67537487518
445,117,48,4.71974078057
161,422,185,4.19935752248
474,468,65,4.51463524197
207,410,221,6.01404001082
392,210,272,2.9561776492
149,455,468,9.00515030854
281,2,332,4.71974078057
479,212,500,5.23578585836
237,368,121,4.36113853153
401,439,488,2.9561776492
440,465,208,5.23578585836
367,245,210,5.2627232757
195,424,259,9.53330138861
428,234,55,5.12115249807
449,365,112,2.9561776492
192,435,434,9.73261192284
464,297,19,4.71974078057
365,462,479,4.71974078057
408,237,415,5.2627232757
185,3,268,6.16723512769
177,243,68,7.02269184643
478,205,92,4.84785725931
487,324,353,5.2627232757
208,75,60,6.3368300464
407,76,428,5.12115249807
402,19,217,3.56687835227
263,429,237,5.2627232757
242,458,309,8.22954882875
234,39,320,6.91790003885
99,471,185,5.38061937976
297,138,307,4.84785725931
372,129,225,2.70168898445
76,154,56,5.5713295689
278,175,93,4.35577249652
41,317,398,6.5369238124
442,393,250,5.12115249807
310,464,86,5.12115249807
207,129,377,7.02145453944
134,127,202,5.26254512608
455,411,76,4.84785725931
433,314,383,4.84785725931
319,433,147,3.56687835227
101,382,421,7.8231293277
52,23,330,5.67332494657
213,438,351,8.84543977632
55,406,236,4.51463524197
411,400,155,2.70168898445
340,337,404,3.56687835227
82,55,130,6.90503629297
95,464,469,9.8551025894
365,134,493,3.56687835227
284,91,159,5.95037450391
127,67,254,4.26354833358
438,52,332,2.70168898445
135,150,247,5.88853785275
422,441,137,4.35577249652
181,182,100,7.02239043706
338,9,460,4.35577249652
67,329,76,5.23578585836
269,446,172,5.95037450391
417,74,473,5.95037450391
68,249,5,7.6609437953
15,424,479,8.1145048018
417,164,487,4.73200394686
184,465,333,9.45711071042
81,174,225,6.71359760895
68,37,255,5.8213838608
142,454,188,2.9561776492
421,386,435,2.70168898445
136,28,108,6.29586998277
30,272,37,4.71974078057
390,412,493,4.35577249652
219,483,147,5.2627232757
283,352,175,4.73200394686
34,341,24,5.12115249807
63,210,183,4.04305529214
460,359,448,5.95037450391
243,270,273,7.64553086888
42,124,140,6.79791855575
309,473,313,4.73200394686
153,388,482,9.07792938966
232,163,109,7.87857163709
331,323,261,5.04503828927
152,363,26,4.84785725931
496,43,197,4.73200394686
103,273,444,10.5177365902
11,44,183,5.30067119388
208,175,342,5.86134353455
466,126,359,5.04503828927
43,12,494,5.36840374712
172,240,435,6.22658850663
368,311,433,6.11337997089
199,393,400,9.71810434248
145,241,237,9.09898030316
494,360,363,3.28650382722
138,127,346,5.64210941339
500,353,478,4.65352989727
182,332,120,3.56687835227
215,300,499,9.26536021714
9,178,474,6.12891152492
363,133,105,5.04503828927
297,3,95,6.11337997089
294,494,74,5.04503828927
