x,y,z,old,d
318,449,80,16.40843235,10.40843235
386,201,379,16.40843235,10.40843235
47,35,498,13.92278756,7.92278756
217,12,244,16.71039482,10.71039482
418,193,386,15.63600245,9.63600245
432,294,347,16.40843235,10.40843235
492,257,105,15.63600245,9.63600245
361,377,340,15.63600245,9.63600245
411,59,64,16.40843235,10.40843235
433,115,258,17.14955979,11.14955979
56,154,244,14.61323622,8.61323622
37,497,123,16.40843235,10.40843235
214,399,148,15.63600245,9.63600245
463,300,252,17.14955979,11.14955979
488,162,272,14.97236368,8.97236368
16,109,358,16.7056679,10.7056679
432,306,252,14.97236368,8.97236368
165,334,318,13.28397601,7.28397601
151,169,223,16.08580893,10.08580893
375,28,75,15.63600245,9.63600245
476,324,414,15.51980473,9.51980473
193,214,441,16.37453598,10.37453598
318,463,231,17.14955979,11.14955979
295,496,314,15.63275082,9.63275082
1,385,481,15.33372823,9.33372823
230,377,76,17.14955979,11.14955979
388,438,156,14.97236368,8.97236368
215,125,69,18.28170364,12.28170364
37,167,164,17.20624047,11.20624047
201,471,334,12.98470789,6.98470789
384,251,159,15.51980473,9.51980473
326,251,373,16.22202782,10.22202782
223,95,137,17.9016974,11.9016974
275,250,346,17.89404988,11.89404988
114,415,250,14.31725014,8.31725014
185,160,311,15.31390155,9.31390155
146,365,117,14.97236368,8.97236368
456,170,139,17.14955979,11.14955979
498,491,232,15.63275082,9.63275082
94,52,458,14.20269522,8.20269522
113,257,243,15.51980473,9.51980473
147,20,320,15.2976414,9.2976414
30,141,340,13.68396828,7.68396828
69,274,450,14.39805909,8.39805909
213,462,456,13.93882604,7.93882604
397,109,488,15.51980473,9.51980473
333,454,148,16.22202782,10.22202782
306,124,289,15.63275082,9.63275082
103,278,471,13.47841842,7.47841842
49,176,450,14.96974164,8.96974164
420,417,60,17.89404988,11.89404988
411,218,133,14.97236368,8.97236368
133,354,200,15.63275082,9.63275082
248,254,72,16.22202782,10.22202782
65,13,138,17.41004057,11.41004057
409,65,388,16.22202782,10.22202782
70,272,265,14.27139473,8.27139473
246,86,89,16.86833095,10.86833095
273,132,299,17.89404988,11.89404988
396,76,86,15.51980473,9.51980473
212,277,23,17.89404988,11.89404988
367,164,14,15.63275082,9.63275082
137,302,25,16.61509605,10.61509605
84,235,427,15.44130078,9.44130078
155,356,82,16.49765516,10.49765516
24,303,127,15.11136905,9.11136905
135,397,126,15.47622295,9.47622295
242,234,44,16.9402275,10.9402275
184,147,125,15.91409906,9.91409906
62,464,24,15.76199283,9.76199283
394,104,398,16.61509605,10.61509605
26,300,354,12.87030009,6.87030009
5,140,180,16.31822032,10.31822032
36,271,178,15.38117043,9.38117043
56,427,98,16.0055937,10.0055937
