x,y,z,old,d
90,482,107,11.50285627,7.50285627
53,406,21,13.03518341,9.03518341
481,29,170,11.50285627,7.50285627
342,83,163,13.03518341,9.03518341
46,313,157,14.40333269,10.40333269
416,329,210,11.50285627,7.50285627
150,87,120,12.20852864,8.20852864
191,48,227,10.87142855,6.87142855
404,146,282,11.50285627,7.50285627
269,306,210,13.03518341,9.03518341
302,393,118,14.40333269,10.40333269
48,155,319,11.16461679,7.16461679
35,491,440,9.825401282,5.825401282
328,78,439,13.03518341,9.03518341
121,91,234,11.1499176,7.1499176
37,357,154,14.11909616,10.11909616
445,154,183,14.40333269,10.40333269
301,421,18,14.11909616,10.11909616
139,176,434,9.721326006,5.721326006
472,289,413,11.50285627,7.50285627
449,47,272,14.40333269,10.40333269
382,192,183,14.11909616,10.11909616
475,195,416,14.11909616,10.11909616
165,424,295,8.743851018,4.743851018
357,15,467,13.45385694,9.45385694
166,174,47,10.61364714,6.61364714
368,172,239,13.45385694,9.45385694
423,324,463,13.03518341,9.03518341
251,388,446,14.40333269,10.40333269
193,133,276,10.69968503,6.69968503
442,143,88,10.33544799,6.33544799
18,182,186,11.67861809,7.67861809
492,80,54,13.61060604,9.61060604
268,84,80,13.2678604,9.2678604
406,75,117,15.90866532,11.90866532
18,25,263,10.65202078,6.65202078
63,465,399,9.811809924,5.811809924
194,306,401,8.438012489,4.438012489
473,77,256,10.33544799,6.33544799
91,433,58,13.45385694,9.45385694
194,190,20,10.9586574,6.9586574
397,137,384,13.61060604,9.61060604
444,35,447,13.2678604,9.2678604
274,495,118,13.45385694,9.45385694
474,317,206,10.33544799,6.33544799
295,415,140,13.61060604,9.61060604
106,286,455,10.6399018,6.6399018
463,259,205,13.2678604,9.2678604
294,382,222,15.90866532,11.90866532
76,398,150,10.33544799,6.33544799
374,130,70,12.35747828,8.35747828
236,211,179,11.57685503,7.57685503
42,266,35,13.61060604,9.61060604
51,102,476,10.36496593,6.36496593
495,452,332,14.11909616,10.11909616
300,90,144,12.41014119,8.41014119
376,375,122,12.35747828,8.35747828
43,199,152,9.469205626,5.469205626
333,266,191,12.41014119,8.41014119
76,371,29,13.2678604,9.2678604
435,483,176,12.94783341,8.94783341
288,395,342,13.45385694,9.45385694
368,214,136,12.94783341,8.94783341
135,356,62,15.90866532,11.90866532
134,328,18,12.35747828,8.35747828
122,259,115,12.41014119,8.41014119
46,349,419,10.02023542,6.02023542
421,403,329,10.33544799,6.33544799
111,301,369,9.282602591,5.282602591
84,176,130,12.48688291,8.48688291
196,157,467,8.511566283,4.511566283
474,413,414,13.61060604,9.61060604
294,372,295,13.2678604,9.2678604
476,429,127,12.76989783,8.76989783
194,409,291,8.994880675,4.994880675
407,149,58,12.76989783,8.76989783
446,174,362,15.90866532,11.90866532
82,457,442,9.52233873,5.52233873
349,44,84,13.61970755,9.61970755
270,396,153,13.61970755,9.61970755
484,434,76,11.45085185,7.45085185
94,256,263,8.216871025,4.216871025
471,203,174,11.45085185,7.45085185
15,117,61,10.92251465,6.92251465
337,53,312,12.35747828,8.35747828
402,359,446,15.90866532,11.90866532
344,112,68,13.51775153,9.51775153
146,365,331,9.986818356,5.986818356
117,288,420,8.622375398,4.622375398
104,213,93,11.55881029,7.55881029
70,442,317,9.510859226,5.510859226
455,416,483,12.35747828,8.35747828
217,69,214,11.52638892,7.52638892
132,263,419,7.935059034,3.935059034
153,117,29,11.23549715,7.23549715
5,429,434,9.675347175,5.675347175
127,391,144,12.94783341,8.94783341
39,25,435,11.07533954,7.07533954
313,364,72,13.51775153,9.51775153
366,112,344,12.41014119,8.41014119
161,122,102,12.05130788,8.05130788
253,260,349,12.41014119,8.41014119
353,32,180,14.74503741,10.74503741
143,497,6,12.76989783,8.76989783
391,399,111,14.74503741,10.74503741
186,310,0,13.61970755,9.61970755
52,397,180,11.45085185,7.45085185
233,114,396,9.241563746,5.241563746
455,161,24,12.51147664,8.51147664
135,289,229,13.51775153,9.51775153
121,53,488,10.1233208,6.1233208
353,222,161,13.48639187,9.48639187
216,217,333,11.5580358,7.5580358
291,64,153,12.44443787,8.44443787
457,193,47,11.0623691,7.0623691
42,130,181,11.25390174,7.25390174
132,173,100,9.532587934,5.532587934
128,95,387,10.74155975,6.74155975
475,482,466,12.94783341,8.94783341
254,184,31,14.22997899,10.22997899
71,217,9,10.77936133,6.77936133
500,239,481,12.76989783,8.76989783
343,286,11,12.51147664,8.51147664
334,50,168,13.10115049,9.10115049
70,380,341,7.263352154,3.263352154
93,361,150,14.74503741,10.74503741
500,66,486,13.61970755,9.61970755
46,324,352,9.872769684,5.872769684
494,130,277,12.94783341,8.94783341
73,373,177,12.51147664,8.51147664
271,337,127,13.48639187,9.48639187
232,389,186,13.48639187,9.48639187
406,470,197,12.44443787,8.44443787
479,225,355,12.76989783,8.76989783
291,322,365,11.45085185,7.45085185
88,11,35,10.44408002,6.44408002
122,465,439,8.442753741,4.442753741
19,442,84,12.44443787,8.44443787
411,3,454,13.61970755,9.61970755
87,119,154,12.70114219,8.70114219
79,154,219,10.783449,6.783449
267,90,148,12.76636633,8.76636633
260,395,179,11.0623691,7.0623691
90,149,347,10.84772084,6.84772084
