x,y,old,d
420,369,114.9356362,154.9356362
199,452,200.8844426,240.8844426
484,26,52.3363998,92.3363998
340,363,112.5889846,152.5889846
423,126,114.1922731,154.1922731
495,412,68.36207526,108.3620753
37,446,287.8481793,327.8481793
376,103,130.4611681,170.4611681
54,373,256.3931525,296.3931525
125,204,243.7071017,283.7071017
21,109,269.7039308,309.7039308
142,387,236.2259952,276.2259952
250,340,178.1985642,218.1985642
91,42,266.9961548,306.9961548
239,45,172.4057273,212.4057273
53,330,316.0111682,356.0111682
447,497,80.24639382,120.2463938
84,440,255.1211631,295.1211631
200,216,182.7301953,222.7301953
368,2,117.5372059,157.5372059
396,164,99.30488313,139.3048831
304,302,124.1179373,164.1179373
222,76,200.9767869,240.9767869
325,125,133.9948006,173.9948006
198,414,184.4766429,224.4766429
305,154,154.1537852,194.1537852
454,143,91.87361364,131.8736136
80,284,274.8191306,314.8191306
6,370,286.4281307,326.4281307
239,302,172.9051061,212.9051061
170,57,221.6849777,261.6849777
257,226,195.1096998,235.1096998
68,154,253.460014,293.460014
164,412,230.4525651,270.4525651
333,58,171.3851543,211.3851543
358,234,128.2723958,168.2723958
137,14,229.1548254,269.1548254
116,290,267.4849346,307.4849346
1,296,280.703744,320.703744
50,259,271.7262685,311.7262685
380,309,129.4422887,169.4422887
180,312,228.2991801,268.2991801
397,458,105.6078088,145.6078088
146,255,226.0862129,266.0862129
163,189,233.5356037,273.5356037
429,424,71.7097487,111.7097487
26,21,279.5225634,319.5225634
20,188,309.4538664,349.4538664
191,366,194.497874,234.497874
62,20,267.2820182,307.2820182
384,434,99.81867867,139.8186787
96,317,275.2610896,315.2610896
2,211,303.0204589,343.0204589
101,95,246.0025997,286.0025997
192,144,221.2008599,261.2008599
152,486,201.65293,241.65293
62,110,264.5733678,304.5733678
254,17,167.6782142,207.6782142
432,193,84.53421113,124.5342111
422,485,89.89894539,129.8989454
244,370,138.712839,178.712839
21,423,302.7655512,342.7655512
348,28,133.0175546,173.0175546
112,158,251.6528839,291.6528839
231,267,198.4049451,238.4049451
118,453,250.8433307,290.8433307
33,285,310.294473,350.294473
463,323,71.35999604,111.359996
115,230,245.9035458,285.9035458
398,56,92.01288715,132.0128872
451,258,83.51274193,123.5127419
389,356,88.06494482,128.0649448
262,189,171.4367787,211.4367787
323,454,109.9195678,149.9195678
404,218,86.85408995,126.8540899
133,83,223.901039,263.901039
254,69,197.2746494,237.2746494
340,495,128.3706021,168.3706021
299,377,153.9618021,193.9618021
304,420,156.1699504,196.1699504
427,287,41.2691585,81.2691585
320,90,161.1109099,201.1109099
302,248,135.7030405,175.7030405
494,341,31.74607913,71.74607913
36,215,273.779734,313.779734
408,17,73.58433654,113.5843365
180,94,215.5641436,255.5641436
465,176,72.18032317,112.1803232
268,310,179.2151897,219.2151897
454,215,63.22441661,103.2244166
341,172,134.5783686,174.5783686
364,153,137.4090401,177.4090401
495,309,65.7370443,105.7370443
489,500,64.8659428,104.8659428
69,203,291.6847796,331.6847796
277,461,173.9629769,213.9629769
211,188,184.7155576,224.7155576
163,23,222.6385785,262.6385785
134,328,232.7620807,272.7620807
99,1,231.7350733,271.7350733
