x,y,old,d
25,208,87.12288909,127.1228891
454,11,58.76420053,98.76420053
44,240,83.6372822,123.6372822
279,155,55.90088805,95.90088805
257,341,74.43065892,114.4306589
222,259,79.34781558,119.3478156
206,190,86.12966524,126.1296652
249,169,73.26155208,113.2615521
483,366,37.73039732,77.73039732
325,364,55.55322394,95.55322394
153,279,88.10292762,128.1029276
431,60,94.85143692,134.8514369
398,495,35.9928216,75.9928216
368,192,29.40124104,69.40124104
320,227,89.99996275,129.9999628
454,182,64.90661319,104.9066132
3,303,82.72067513,122.7206751
205,339,85.50531201,125.505312
176,136,108.8748044,148.8748044
464,272,46.30109838,86.30109838
179,261,90.98006238,130.9800624
298,350,49.57777789,89.57777789
189,457,97.46020369,137.4602037
361,275,74.95802916,114.9580292
127,301,90.31522981,130.3152298
435,131,48.68210862,88.68210862
93,448,86.43754132,126.4375413
45,13,104.1371106,144.1371106
297,34,59.2279617,99.2279617
45,44,104.7065913,144.7065913
59,359,100.8597889,140.8597889
9,433,97.69897144,137.6989714
136,139,82.20264009,122.2026401
257,199,96.00887585,136.0088758
283,388,68.92592297,108.925923
214,394,37.18173053,77.18173053
79,482,87.00994193,127.0099419
261,279,54.69778456,94.69778456
110,100,102.9890056,142.9890056
494,301,26.37792459,66.37792459
290,200,43.87810882,83.87810882
131,175,48.37670301,88.37670301
418,418,56.50397768,96.50397768
339,35,55.4017174,95.4017174
479,214,46.0079855,86.0079855
67,77,70.40476247,110.4047625
173,208,56.13743686,96.13743686
248,371,82.66473427,122.6647343
450,222,68.00900924,108.0090092
389,240,75.58061321,115.5806132
160,183,91.93379442,131.9337944
458,347,78.78816333,118.7881633
127,337,88.77701448,128.7770145
372,21,81.22782512,121.2278251
105,61,94.08070659,134.0807066
22,166,107.3787518,147.3787518
135,409,107.198672,147.198672
125,209,97.29048197,137.290482
260,247,76.53112651,116.5311265
331,434,54.14209578,94.14209578
341,112,65.26572777,105.2657278
26,402,90.45245637,130.4524564
228,457,61.28021908,101.2802191
346,489,68.33624247,108.3362425
169,44,82.56578786,122.5657879
488,99,51.47736155,91.47736155
377,100,62.66340851,102.6634085
114,9,89.3276715,129.3276715
168,308,76.57606863,116.5760686
401,15,65.27341515,105.2734151
365,334,47.59154279,87.59154279
270,486,84.28268172,124.2826817
222,296,67.16158399,107.161584
245,114,54.99380926,94.99380926
204,227,114.3384404,154.3384404
352,383,79.67607463,119.6760746
206,146,71.83718543,111.8371854
289,307,47.58568251,87.58568251
483,35,33.989713,73.989713
389,298,55.10642256,95.10642256
431,310,58.15176568,98.15176568
111,393,65.73366732,105.7336673
74,336,112.3274702,152.3274702
294,72,71.87199416,111.8719942
86,162,46.08458022,86.08458022
321,305,83.77847981,123.7784798
56,190,91.71835926,131.7183593
88,377,80.39407559,120.3940756
220,5,75.89216849,115.8921685
337,148,74.14867659,114.1486766
303,2,50.9166096,90.9166096
261,31,83.66295994,123.6629599
250,415,62.69815051,102.6981505
110,422,81.25220114,121.2522011
384,375,65.83950517,105.8395052
487,63,48.02694348,88.02694348
376,462,49.57435542,89.57435542
467,149,53.52846406,93.52846406
12,469,128.1664991,168.1664991
419,354,38.34456531,78.34456531
