x,y,d
199,376,83.9987476252
127,408,54.4522508342
147,245,70.3995917641
87,210,83.385500443
78,316,77.0336540092
1,276,81.1464886487
312,287,123.768301326
427,246,120.579480295
466,427,133.72965635
84,170,112.265799726
87,253,88.1991969354
16,151,77.4897863835
147,34,122.218321436
222,461,60.634709833
296,242,108.121737834
320,226,108.405165887
356,384,92.2317639461
357,199,96.524156215
410,410,123.63239679
296,461,62.357152804
170,404,94.168818683
364,273,80.1616167978
208,78,117.58661047
11,76,104.497213146
465,166,123.905620759
128,271,106.191263813
0,27,73.8396772257
407,157,119.555212141
255,417,90.9079205002
487,114,121.825317821
461,351,139.068586982
38,170,87.6442192254
484,20,116.368648331
233,329,99.0559780864
157,193,79.2325119388
311,34,130.800032863
60,431,61.6149661089
468,282,118.890014494
33,103,105.927491908
193,434,89.2608725798
263,0,130.840458893
110,142,102.87525069
258,375,77.8466455729
335,473,93.0012649098
311,118,99.602618893
40,402,85.3253909882
265,478,79.5280027889
197,495,80.4589735785
329,358,95.1647072059
431,205,121.57373622
394,188,135.14463886
246,67,134.352375007
336,324,120.4777098
224,394,64.6877755517
203,247,105.286039208
222,33,128.928485701
396,19,124.12268056
446,323,115.891452783
440,46,139.133363092
164,78,99.5161101773
120,311,77.5774813856
22,232,99.8581316102
55,476,63.2365774793
452,498,101.76682154
328,152,128.82784089
227,192,135.797705846
235,226,136.896926037
253,297,77.7438133988
297,64,121.877553864
115,353,70.3313846896
266,329,100.152388036
192,314,105.704222891
60,275,78.9246697825
183,22,94.1311637785
338,2,140.666946121
102,79,103.691138928
219,134,97.7233371301
372,332,88.1661375246
61,63,118.287042635
93,47,122.276297897
141,106,105.430696007
324,391,98.7983603999
203,213,93.9009701978
254,155,101.885652154
151,301,92.1366271216
4,198,72.0365671854
439,111,128.847935411
292,212,104.567265096
294,386,76.8122287652
238,256,116.028327007
411,319,124.136781471
339,291,126.768908578
298,493,68.1119788379
155,374,77.7645415928
369,127,157.430593452
346,64,112.578729134
496,440,122.904342223
25,331,85.1515345153
499,330,122.202492447
385,304,94.4138533202
