x,y,old,d
407,252,144.6564525,184.6564525
273,23,286.7488574,326.7488574
162,433,182.2097148,222.2097148
349,333,147.5704,187.5704
310,383,140.0361156,180.0361156
433,90,224.6421727,264.6421727
203,95,235.2217596,275.2217596
301,230,203.6896369,243.6896369
392,63,213.7686058,253.7686058
397,463,99.43307581,139.4330758
207,238,223.6905869,263.6905869
322,457,93.44805985,133.4480598
28,254,257.6393135,297.6393135
132,52,299.329805,339.329805
278,473,130.8908133,170.8908133
364,389,104.0367785,144.0367785
53,18,335.5250906,375.5250906
314,280,161.611516,201.611516
388,204,173.0057952,213.0057952
142,187,268.9436668,308.9436668
166,291,228.068756,268.068756
289,355,164.6215424,204.6215424
161,220,229.9440152,269.9440152
133,421,196.6990631,236.6990631
310,168,214.6412577,254.6412577
244,8,280.5174814,320.5174814
23,28,324.0785068,364.0785068
362,360,115.2605554,155.2605554
252,279,165.8438181,205.8438181
286,254,187.1421891,227.1421891
443,275,118.9974751,158.9974751
28,221,264.8596738,304.8596738
93,181,273.4564613,313.4564613
480,97,162.9380141,202.9380141
389,278,135.556591,175.556591
379,14,224.809629,264.809629
229,175,226.968251,266.968251
349,427,134.6198963,174.6198963
436,336,118.5206026,158.5206026
393,129,187.3876088,227.3876088
495,9,221.7461125,261.7461125
226,462,136.8107535,176.8107535
147,244,242.9928297,282.9928297
182,389,177.8724997,217.8724997
312,114,201.0555439,241.0555439
248,499,143.7372556,183.7372556
260,425,139.3864486,179.3864486
216,360,151.2174307,191.2174307
139,1,308.8496945,348.8496945
35,93,336.5527135,376.5527135
158,481,154.5469374,194.5469374
80,459,179.3902428,219.3902428
196,20,281.2398584,321.2398584
63,54,317.5268282,357.5268282
212,414,147.0858462,187.0858462
22,323,234.0526357,274.0526357
40,151,290.0306188,330.0306188
94,343,227.8350565,267.8350565
211,294,208.7802312,248.7802312
3,152,324.3818112,364.3818112
435,23,200.4814532,240.4814532
90,487,168.5613635,208.5613635
45,497,178.1215541,218.1215541
408,372,117.7595046,157.7595046
350,149,225.5133092,265.5133092
460,480,59.23159749,99.23159749
15,428,211.2436828,251.2436828
184,336,184.1952095,224.1952095
85,18,309.3027983,349.3027983
51,328,275.9332878,315.9332878
116,119,322.2127473,362.2127473
262,129,249.7996657,289.7996657
11,122,300.8630872,340.8630872
94,99,273.788598,313.788598
455,222,165.5308775,205.5308775
166,136,259.6115556,299.6115556
148,82,272.6682394,312.6682394
459,384,90.73919431,130.7391943
105,253,260.0121589,300.0121589
354,237,157.4183346,197.4183346
267,89,241.2425779,281.2425779
352,39,222.1206172,262.1206172
21,291,245.9316827,285.9316827
496,449,66.42613906,106.4261391
315,411,132.1838935,172.1838935
187,188,239.8614617,279.8614617
49,377,215.8361445,255.8361445
319,314,174.4364704,214.4364704
357,499,92.61292171,132.6129217
245,56,252.5301118,292.5301118
107,74,294.4188039,334.4188039
258,195,214.5201634,254.5201634
354,270,186.6128117,226.6128117
62,134,281.4256586,321.4256586
482,151,154.596312,194.596312
420,295,132.5210114,172.5210114
288,197,185.8933759,225.8933759
78,380,200.3725296,240.3725296
26,59,345.1479436,385.1479436
336,371,138.8576555,178.8576555
