x,y,z,old,d
431,46,382,246.7177137,236.7177137
476,322,78,114.1485067,104.1485067
451,357,81,114.9883333,104.9883333
235,385,211,97.39461108,87.39461108
163,380,71,106.658595,96.65859497
255,187,166,225.1208028,215.1208028
492,287,470,160.949199,150.949199
352,96,50,251.3087628,241.3087628
316,329,132,116.7391771,106.7391771
479,49,231,243.8179985,233.8179985
353,374,217,122.8387489,112.8387489
56,472,31,45.293069,35.293069
475,298,259,149.905964,139.905964
332,186,149,177.5688378,167.5688378
1,285,19,172.6493011,162.6493011
18,294,43,171.580047,161.580047
395,78,39,270.5873299,260.5873299
349,296,409,140.5401028,130.5401028
394,72,9,253.7313965,243.7313965
476,204,323,202.9495504,192.9495504
48,331,193,142.3204496,132.3204496
226,92,386,251.4935272,241.4935272
87,440,303,71.46514434,61.46514434
471,169,206,231.4849492,221.4849492
475,238,452,154.724809,144.724809
402,178,163,199.5720315,189.5720315
223,298,500,161.0532252,151.0532252
171,21,498,285.9188883,275.9188883
145,2,329,328.2088624,318.2088624
4,373,490,106.7659778,96.76597779
456,210,461,186.6854228,176.6854228
302,358,76,94.5713362,84.5713362
43,491,124,52.44928935,42.44928935
53,160,323,213.3573464,203.3573464
13,342,378,112.9960527,102.9960527
149,173,46,198.3763183,188.3763183
70,46,141,264.6922904,254.6922904
473,246,409,170.5695326,160.5695326
108,142,453,227.1882139,217.1882139
441,272,251,183.8495578,173.8495578
47,285,149,164.6416292,154.6416292
286,151,329,223.2356694,213.2356694
481,495,435,77.4363043,67.4363043
258,76,282,265.4427597,255.4427597
295,129,460,260.417457,250.417457
158,361,442,109.9980008,99.99800084
181,447,51,83.60345062,73.60345062
321,135,140,219.7370833,209.7370833
359,481,475,53.16316055,43.16316055
171,467,345,56.98996343,46.98996343
359,37,210,265.3090143,255.3090143
459,133,395,240.3618526,230.3618526
234,54,305,263.6143783,253.6143783
408,311,178,148.2065268,138.2065268
241,94,269,230.7025983,220.7025983
391,204,103,181.4503521,171.4503521
239,67,500,262.2998826,252.2998826
251,353,195,112.7468657,102.7468657
238,417,324,98.91057138,88.91057138
411,435,137,103.0266225,93.0266225
445,322,171,141.0826771,131.0826771
247,155,74,181.0715206,171.0715206
169,65,339,263.5924653,253.5924653
253,160,256,239.0338591,229.0338591
359,466,417,65.23204662,55.23204662
357,88,435,263.8486506,253.8486506
201,285,389,153.2284282,143.2284282
366,255,349,146.4416095,136.4416095
142,64,216,319.1521156,309.1521156
217,345,253,157.6601572,147.6601572
42,395,499,106.5786945,96.57869451
487,470,338,79.77654021,69.77654021
277,290,475,178.0249188,168.0249188
193,196,337,185.103859,175.103859
412,500,173,52.7590616,42.7590616
337,450,355,67.43980659,57.43980659
267,104,190,214.2484257,204.2484257
423,215,93,198.5263086,188.5263086
68,364,484,134.8324423,124.8324423
153,137,366,237.9152929,227.9152929
330,158,363,204.1695587,194.1695587
121,419,18,108.0512988,98.05129875
351,36,313,273.6378439,263.6378439
240,185,262,195.6961187,185.6961187
189,227,231,216.8574434,206.8574434
378,241,180,183.1787061,173.1787061
11,163,387,227.7078982,217.7078982
285,50,297,281.1778849,271.1778849
128,376,60,91.04901065,81.04901065
106,284,111,175.7121792,165.7121792
214,125,308,220.1865436,210.1865436
394,135,38,219.3228632,209.3228632
70,313,12,149.0735405,139.0735405
298,450,69,59.90582867,49.90582867
277,78,405,263.5539911,253.5539911
4,458,411,62.14180679,52.14180679
308,448,435,58.94003986,48.94003986
355,381,368,102.8276249,92.82762493
