x,y,z,old,d
203,121,173,68.80945053,63.80945053
15,29,82,75.41624663,70.41624663
483,406,443,66.50790678,61.50790678
214,66,271,100.4187313,95.41873129
495,175,74,101.9140498,96.91404978
368,466,248,69.89839406,64.89839406
58,235,450,71.99660356,66.99660356
256,378,398,51.27990339,46.27990339
30,408,143,61.84732666,56.84732666
81,295,231,77.36869741,72.36869741
90,405,142,90.73524147,85.73524147
218,88,212,73.70707534,68.70707534
272,200,126,88.83309258,83.83309258
272,291,375,65.58344702,60.58344702
333,227,239,89.42029276,84.42029276
326,127,49,89.1874411,84.1874411
158,331,165,79.96033973,74.96033973
111,330,461,48.03963156,43.03963156
70,147,8,118.8513721,113.8513721
92,467,5,89.0678283,84.0678283
120,252,115,78.3191885,73.3191885
279,94,187,81.69508701,76.69508701
419,221,248,83.07930084,78.07930084
371,283,66,124.9786385,119.9786385
315,189,197,79.25879351,74.25879351
262,19,361,73.60103992,68.60103992
290,52,480,48.57531213,43.57531213
422,340,186,83.79968889,78.79968889
405,466,13,88.10285647,83.10285647
48,471,413,80.15613002,75.15613002
499,33,388,51.83796328,46.83796328
214,74,376,63.91261868,58.91261868
347,396,394,105.1081798,100.1081798
343,147,467,77.06242568,72.06242568
310,271,328,82.47535056,77.47535056
265,205,436,55.74084929,50.74084929
81,110,278,54.89551213,49.89551213
287,420,295,61.027354,56.027354
67,42,311,60.93174977,55.93174977
500,175,46,99.92078813,94.92078813
181,33,313,72.9493496,67.9493496
404,305,215,75.91361944,70.91361944
315,349,30,97.33266804,92.33266804
119,283,466,55.89206826,50.89206826
348,254,22,68.6369693,63.6369693
367,95,465,51.64825863,46.64825863
398,101,421,71.4352103,66.4352103
452,322,211,82.50647027,77.50647027
74,15,78,77.5891101,72.5891101
174,195,379,59.04073856,54.04073856
91,268,339,78.44618198,73.44618198
34,143,117,73.5010451,68.5010451
49,91,423,43.52660845,38.52660845
397,11,239,62.70421897,57.70421897
460,252,443,66.87248595,61.87248595
387,443,221,96.58733955,91.58733955
470,495,395,67.12350285,62.12350285
292,129,80,92.64453083,87.64453083
7,455,230,96.24620231,91.24620231
98,335,344,58.32628992,53.32628992
238,288,309,48.65606151,43.65606151
101,7,250,73.63660984,68.63660984
425,495,11,93.31455987,88.31455987
337,467,345,64.01228726,59.01228726
413,95,26,84.69528452,79.69528452
429,18,222,92.06191149,87.06191149
28,391,419,64.38950069,59.38950069
88,323,16,102.5415818,97.54158182
40,93,48,102.3529739,97.35297388
254,460,143,115.9217786,110.9217786
303,359,204,84.87922514,79.87922514
434,193,493,41.26545251,36.26545251
464,481,252,53.38678839,48.38678839
137,243,440,64.36246183,59.36246183
70,62,348,32.81815726,27.81815726
345,364,332,69.92595918,64.92595918
294,487,54,68.44383737,63.44383737
238,94,131,72.89840801,67.89840801
230,412,150,81.86617187,76.86617187
496,311,390,73.56799433,68.56799433
192,86,346,45.02306529,40.02306529
413,184,91,76.32897394,71.32897394
277,150,190,97.28534099,92.28534099
322,78,75,99.95515691,94.95515691
154,184,356,85.98789685,80.98789685
244,425,204,62.57605459,57.57605459
269,239,385,54.0368784,49.0368784
407,136,133,81.06683724,76.06683724
99,105,463,70.57581335,65.57581335
395,440,143,87.71023461,82.71023461
134,23,44,97.10435611,92.10435611
377,458,194,89.08160473,84.08160473
210,456,16,104.4956045,99.49560454
453,207,162,104.1699002,99.16990019
328,235,439,47.89078448,42.89078448
