x,y,z,old,d
466,342,278,124.1228073,114.1228073
225,99,271,166.6025401,156.6025401
113,429,282,58.55640046,48.55640046
335,492,367,46.01534729,36.01534729
125,104,16,194.3881027,184.3881027
1,115,475,152.3558321,142.3558321
87,236,172,111.7296337,101.7296337
55,102,467,162.8434,152.8434
407,156,254,153.0699345,143.0699345
162,466,49,60.69975725,50.69975725
431,470,465,72.87924693,62.87924693
321,253,225,125.2031498,115.2031498
295,87,159,178.5116805,168.5116805
335,101,137,172.5021811,162.5021811
70,456,222,51.49821826,41.49821826
395,442,241,49.24895214,39.24895214
289,105,322,172.2515506,162.2515506
478,449,13,38.14252785,28.14252785
43,9,460,200.5488319,190.5488319
54,214,176,129.0848294,119.0848294
132,234,214,158.5379403,148.5379403
479,113,9,190.2210072,180.2210072
298,332,91,93.85309012,83.85309012
211,408,317,56.8950463,46.8950463
405,111,55,161.1809176,151.1809176
24,145,370,152.6675029,142.6675029
477,182,329,135.0747567,125.0747567
402,287,485,118.2091806,108.2091806
423,27,317,194.5080875,184.5080875
75,18,462,182.5486183,172.5486183
124,124,440,150.9564915,140.9564915
210,235,193,120.865386,110.865386
500,383,34,79.09425319,69.09425319
198,390,279,75.52314723,65.52314723
272,352,303,97.33424892,87.33424892
80,417,446,62.25646086,52.25646086
469,66,117,193.6859882,183.6859882
483,220,23,105.4476503,95.44765033
250,48,40,207.7445913,197.7445913
289,32,41,171.3540748,161.3540748
189,198,481,150.7342694,140.7342694
80,12,257,191.2778851,181.2778851
405,363,379,69.38763092,59.38763092
260,177,403,140.5772613,130.5772613
68,299,126,116.5481306,106.5481306
316,434,412,80.31133029,70.31133029
482,179,229,170.6685438,160.6685438
339,132,284,156.958699,146.958699
425,297,149,131.8328586,121.8328586
325,132,251,131.0569425,121.0569425
365,118,393,160.2730938,150.2730938
483,83,26,165.3107911,155.3107911
453,394,483,68.06838386,58.06838386
158,379,468,100.7742354,90.77423538
310,182,409,155.0700824,145.0700824
358,348,161,91.98134162,81.98134162
262,159,314,165.5110899,155.5110899
44,497,281,63.98485916,53.98485916
199,441,357,70.52186726,60.52186726
430,461,173,67.11321675,57.11321675
500,290,405,114.0770936,104.0770936
63,353,278,111.4482442,101.4482442
157,219,302,149.819755,139.819755
222,456,176,59.142592,49.142592
430,462,122,72.26737067,62.26737067
179,341,140,101.4732977,91.47329773
439,239,345,141.4236088,131.4236088
477,36,140,177.4877993,167.4877993
176,150,346,160.0594929,150.0594929
284,270,64,110.2361482,100.2361482
226,132,417,194.9344375,184.9344375
331,423,249,64.12007058,54.12007058
120,240,96,129.5801107,119.5801107
413,81,456,172.424412,162.424412
249,130,362,196.1528365,186.1528365
438,424,305,98.90076077,88.90076077
415,390,336,72.15656639,62.15656639
427,211,239,146.6845739,136.6845739
79,238,334,155.8886237,145.8886237
157,426,294,61.76180103,51.76180103
209,181,3,160.2122915,150.2122915
148,434,217,42.366604,32.366604
79,471,437,67.38661468,57.38661468
301,211,141,109.1184393,99.11843925
280,13,402,163.8640079,153.8640079
265,63,60,142.1330491,132.1330491
490,247,129,133.0398506,123.0398506
254,295,380,118.901367,108.901367
449,287,378,119.5257858,109.5257858
100,271,188,97.87161745,87.87161745
129,268,133,136.2762394,126.2762394
478,432,152,74.19305706,64.19305706
288,477,429,44.75495102,34.75495102
150,96,392,199.8373209,189.8373209
93,391,320,118.807206,108.807206
235,295,43,124.2708214,114.2708214
306,74,280,210.8598317,200.8598317
165,177,230,139.7850423,129.7850423
167,227,156,93.29630684,83.29630684
392,376,421,86.48104125,76.48104125
116,316,232,83.1092316,73.1092316
398,363,295,109.1473189,99.14731892
261,420,455,82.55390351,72.55390351
202,74,309,190.3529754,180.3529754
339,119,227,177.9269034,167.9269034
17,470,342,49.24043575,39.24043575
230,158,244,150.9280116,140.9280116
377,54,357,203.5478487,193.5478487
125,447,496,66.10139316,56.10139316
407,182,197,134.4097218,124.4097218
10,153,458,128.7291004,118.7291004
194,66,265,166.390715,156.390715
183,203,302,138.8803333,128.8803333
462,278,449,107.1623813,97.16238131
343,155,222,187.6595748,177.6595748
56,285,277,115.3884414,105.3884414
366,30,140,194.0328591,184.0328591
217,279,392,131.2162839,121.2162839
347,134,456,175.3387478,165.3387478
26,429,133,75.65304933,65.65304933
456,24,433,186.351648,176.351648
178,318,442,116.5382361,106.5382361
272,427,99,48.8104437,38.8104437
248,34,211,191.2769659,181.2769659
224,390,118,97.98893713,87.98893713
149,414,319,83.82808203,73.82808203
75,213,286,126.7737022,116.7737022
55,241,440,101.8449091,91.84490912
330,0,214,185.96462,175.96462
245,434,293,44.9180231,34.9180231
438,447,287,72.9535589,62.9535589
312,112,219,162.3731629,152.3731629
117,63,211,219.7089669,209.7089669
425,280,255,126.929515,116.929515
145,240,438,126.3607842,116.3607842
24,452,304,48.53563206,38.53563206
308,67,231,203.0356247,193.0356247
314,180,2,112.8543196,102.8543196
115,445,148,68.92769586,58.92769586
124,341,417,98.68158737,88.68158737
183,211,421,137.9660442,127.9660442
133,284,271,105.8766334,95.87663341
196,29,112,207.1953042,197.1953042
471,408,403,53.12665406,43.12665406
282,89,495,191.8438014,181.8438014
259,27,169,162.4675086,152.4675086
4,214,191,136.3348805,126.3348805
380,117,223,177.0905092,167.0905092
69,341,124,103.3403886,93.34038855
272,394,286,83.89664111,73.89664111
110,67,127,158.4521006,148.4521006
25,71,494,175.6864548,165.6864548
294,360,158,65.27641996,55.27641996
463,313,383,75.87939257,65.87939257
237,85,192,158.722866,148.722866
174,129,303,151.6436222,141.6436222
274,236,179,115.0660714,105.0660714
197,26,77,178.4673162,168.4673162
61,429,218,59.71477406,49.71477406
97,154,388,181.6623994,171.6623994
348,453,114,61.14707914,51.14707914
233,168,7,134.9856234,124.9856234
366,102,337,180.935015,170.935015
415,2,47,176.814666,166.814666
449,381,51,88.98763456,78.98763456
240,223,201,132.5022951,122.5022951
213,154,157,145.5858976,135.5858976
163,286,85,102.9110074,92.91100744
206,388,177,67.59700773,57.59700773
477,432,364,73.19861358,63.19861358
416,165,135,174.0053699,164.0053699
396,360,22,99.67271011,89.67271011
2,443,125,56.98865779,46.98865779
48,249,471,136.4610801,126.4610801
443,218,20,120.3428858,110.3428858
278,460,181,32.78811341,22.78811341
197,319,298,110.5871864,100.5871864
460,255,219,94.29342211,84.29342211
317,218,110,126.4970836,116.4970836
253,94,490,200.0206887,190.0206887
235,173,498,137.5680801,127.5680801
330,94,371,147.5472455,137.5472455
420,346,482,111.3803637,101.3803637
317,205,457,140.3894957,130.3894957
215,311,240,100.5755687,90.57556866
149,250,119,141.411282,131.411282
460,47,322,207.4967871,197.4967871
221,21,144,190.1481249,180.1481249
479,104,455,174.1099422,164.1099422
312,450,384,49.19373467,39.19373467
35,203,254,149.7913762,139.7913762
441,492,49,31.78991254,21.78991254
300,317,63,80.96654375,70.96654375
346,260,319,138.6539141,128.6539141
495,281,302,129.5572626,119.5572626
215,401,435,89.27664335,79.27664335
365,314,416,80.19829925,70.19829925
403,107,4,157.4063558,147.4063558
269,202,279,162.8717182,152.8717182
50,74,83,190.935332,180.935332
