x,y,z,d
451,413,269,102.373317126
249,141,144,165.266467476
272,296,354,84.2081755796
129,255,344,103.498629712
21,480,279,114.657700855
30,449,137,145.591850724
109,447,233,145.035707962
451,15,74,179.979201697
259,65,467,59.0593722626
298,405,48,182.380184311
294,268,389,68.088725202
143,311,10,169.685579329
359,293,140,158.090640934
389,40,169,172.612874995
113,264,8,218.674150196
312,0,280,96.2390520451
147,146,270,118.685721774
54,150,461,36.4758628034
436,331,47,168.43589811
304,139,314,123.992670543
494,210,470,45.8907698227
486,465,167,149.743974556
2,443,415,40.1875994529
111,370,357,97.9474403026
106,119,388,87.9166008703
408,52,268,115.685173418
330,133,398,78.5615428312
142,307,388,63.7767632754
65,454,299,125.790009946
390,438,71,187.728446059
213,441,65,181.579218394
18,103,172,132.584689239
165,410,499,39.0067692707
169,441,94,196.191809794
271,480,197,141.550858674
178,9,438,67.4087074149
478,327,342,107.055856869
219,258,387,92.9098021555
488,206,57,188.563588817
80,224,131,138.677916061
275,236,490,51.1065006537
65,296,81,159.625452281
154,229,500,30.9885140975
92,471,61,181.383140058
225,137,190,146.099052781
253,200,105,183.323218086
172,293,360,78.0553690055
468,448,342,108.699398099
30,415,33,201.807624304
107,135,359,67.3180574137
478,423,472,49.581480603
308,485,345,85.3391576663
371,225,107,170.775927402
260,190,242,133.804849878
268,281,67,157.069848987
271,107,268,88.5025560942
337,190,143,146.301181445
194,367,106,167.178533298
333,280,489,69.2243003903
324,166,308,110.606356689
291,330,24,216.313576986
144,291,334,85.6304708044
256,12,132,173.603926539
410,301,367,99.5471814767
300,440,269,137.206286238
8,338,425,67.7091976667
255,260,148,165.771220956
265,336,430,90.8974028246
491,270,249,125.757308545
219,21,266,108.706021402
176,268,122,171.065741412
425,328,354,123.89844558
463,314,109,162.733450138
153,40,223,153.676835603
144,65,32,179.999310943
433,70,424,77.2619379336
413,318,168,145.631588334
380,37,278,135.503431688
165,34,149,172.357254738
391,244,335,77.3863893985
27,302,68,180.724317842
281,427,333,112.679800416
262,466,36,184.239277545
404,46,387,93.7096020798
42,394,0,223.187244593
439,161,315,126.417483345
81,193,99,190.023409161
48,113,97,172.229928046
433,268,78,166.162757875
60,381,68,164.184279111
147,468,480,53.255571761
127,204,151,143.713186436
174,82,414,62.1949411837
397,6,278,121.017955946
279,261,213,173.578784835
207,101,295,97.3523310762
253,270,247,121.80072236
458,282,292,92.4058788348
424,215,367,55.9315022612
205,324,244,113.14552341
322,449,121,164.054379611
413,272,264,122.077660383
79,379,231,117.558744146
335,285,177,135.465118263
183,60,497,52.0928530578
335,421,84,142.262218608
77,398,422,73.1200397838
399,269,465,53.1520376859
24,6,69,179.312295267
13,199,165,182.288264631
310,26,425,65.846448421
5,102,476,54.2119476312
231,79,154,152.101192785
284,188,25,171.770078315
381,145,373,85.8629146637
220,415,483,52.3602239069
204,331,157,165.590452318
377,0,202,136.702812746
481,356,167,123.141936259
309,291,184,127.430406122
5,10,33,195.822898429
97,265,90,155.694604379
429,210,455,50.3678213191
206,161,475,71.8240792072
329,423,384,90.6532636165
487,189,492,54.0820961911
146,440,26,198.351215843
15,206,472,73.584879066
417,97,100,175.067495798
197,359,63,176.290494483
253,358,465,49.5973707998
385,177,297,141.300014133
173,369,241,147.9331167
135,100,34,155.266649831
219,492,272,142.199381499
95,198,255,97.2210494495
45,193,240,126.993415358
79,273,333,102.253620652
349,64,109,168.833892816
97,180,38,184.461951657
231,55,200,119.920682081
136,449,246,118.254101542
248,220,10,207.159149045
362,485,266,110.860700577
275,5,411,110.163933762
391,103,212,131.151473974
463,19,133,156.315331775
328,499,248,127.76358893
224,346,8,189.23881186
178,120,43,194.278234513
473,470,463,75.9150377103
333,308,315,108.943622238
193,254,213,125.039843061
455,211,327,96.842706646
425,148,361,88.0417973483
460,208,163,127.170462634
411,281,347,93.3707760692
116,269,38,190.927745122
103,389,489,32.4543691432
354,314,224,126.570744771
5,201,197,133.445434547
385,370,395,79.3892609602
357,67,35,180.46339227
141,332,221,129.747180427
473,121,294,117.61578592
467,156,373,71.9404596062
283,260,466,77.1648227256
276,127,150,124.804777339
55,19,488,59.1721424583
277,42,494,52.3631820017
134,41,42,196.908443275
425,500,261,120.24844049
236,343,482,18.9775678959
79,16,68,167.007332813
175,322,240,135.041076427
115,266,318,90.4421366808
155,379,382,94.4750016047
368,327,446,63.2935623236
331,454,484,54.0276780679
413,226,104,174.286804827
483,240,481,34.7788116325
411,15,433,77.1510239015
369,461,31,213.085956077
203,321,388,88.0074337115
383,213,133,134.147467298
79,117,168,141.797148199
274,57,348,88.8197978776
196,345,341,122.333217938
350,317,186,146.719272501
277,372,273,122.674163323
365,36,423,60.2733664952
22,98,279,123.359102161
305,445,177,145.099313844
260,379,37,189.126418795
59,466,152,143.139149469
150,493,408,109.262187947
265,490,17,180.128284762
20,102,79,160.683937596
254,308,108,170.138988796
372,78,79,182.506784443
