x,y,d
0,0,9.9355430281
0,1,10.2657357212
0,2,7.98478238589
0,3,8.39822166389
0,4,10.5761570355
0,5,12.069824425
0,6,8.0731026005
0,7,11.0967226049
0,8,7.72401195816
0,9,11.1535735682
1,0,9.8200201616
1,1,8.8721356604
1,2,9.66641560802
1,3,12.1666877426
1,4,10.9151605983
1,5,12.3853529273
1,6,10.6157988348
1,7,7.70915839811
1,8,10.5922728633
1,9,13.2209587905
2,0,11.4317765696
2,1,11.1860892392
2,2,7.76785704875
2,3,7.56590746293
2,4,11.9984709734
2,5,11.783729954
2,6,10.4831720245
2,7,10.1165287006
2,8,10.1803912301
2,9,12.0084941923
3,0,12.0452459981
3,1,6.83093518155
3,2,7.11469989982
3,3,12.0353567843
3,4,11.2582178544
3,5,11.9440585443
3,6,8.71831528068
3,7,7.63791539181
3,8,12.8311316266
3,9,8.35069358553
4,0,8.76356083126
4,1,12.9646410895
4,2,10.7522494368
4,3,10.9625814548
4,4,11.4303787749
4,5,13.1335673728
4,6,11.5728009159
4,7,11.5956948917
4,8,13.1556154635
4,9,11.4343902529
5,0,9.85920029884
5,1,11.8912130498
5,2,6.83634717403
5,3,11.9916907377
5,4,8.40028788137
5,5,9.49062892582
5,6,9.6870040553
5,7,7.61037057383
5,8,7.71963997891
5,9,8.79323817913
6,0,9.8597588709
6,1,10.3768129341
6,2,8.28038391029
6,3,13.2198807605
6,4,11.8801488558
6,5,9.6895625728
6,6,9.09096723031
6,7,10.6926681921
6,8,18.968214336
6,9,11.7225021443
7,0,12.0725823247
7,1,12.7944526215
7,2,10.5122330543
7,3,7.37668275503
7,4,7.49637628069
7,5,10.0059879868
7,6,12.5507367205
7,7,11.4720075931
7,8,12.0006775822
7,9,9.83802018529
8,0,8.89676874952
8,1,11.3468608324
8,2,12.417636622
8,3,9.75899813187
8,4,8.72092028704
8,5,12.7388343623
8,6,11.6503345125
8,7,7.56469030559
8,8,9.57935874896
8,9,7.45815422354
9,0,13.0348806799
9,1,9.09536694796
9,2,12.4246278095
9,3,7.81578006757
9,4,13.2678208877
9,5,9.32749503873
9,6,9.70041050832
9,7,7.13232174792
9,8,8.75282638331
9,9,12.7927619348
