x,y,d
0,0,14.9791268495
0,1,14.0996834705
0,2,14.2665064551
0,3,14.4826911488
0,4,15.3135166162
0,5,15.8727056313
0,6,16.230898725
0,7,13.8875971091
0,8,17.3709086531
0,9,17.6447445094
1,0,14.9469588089
1,1,17.1088432991
1,2,14.7120132839
1,3,15.3700697257
1,4,13.9605077842
1,5,16.5819246781
1,6,15.6951804579
1,7,15.2501330985
1,8,16.4498114065
1,9,16.5196150756
2,0,14.8577305358
2,1,15.7741119262
2,2,13.9056024393
2,3,14.5685530098
2,4,13.0316194139
2,5,17.1814755987
2,6,14.1207829784
2,7,17.171054075
2,8,16.1062762469
2,9,15.3064442319
3,0,16.2390039327
3,1,14.2761911541
3,2,14.2242007361
3,3,16.0568283496
3,4,16.568794177
3,5,17.0448602374
3,6,15.8946350486
3,7,16.0370942588
3,8,16.1679374178
3,9,15.656693396
4,0,14.6447598255
4,1,14.5810388375
4,2,14.9848998459
4,3,14.0973802055
4,4,15.3132141211
4,5,17.478660229
4,6,17.2647218129
4,7,16.5808472847
4,8,16.3317367372
4,9,14.8282543853
5,0,17.3382559757
5,1,18.1723512763
5,2,18.2482377246
5,3,16.8558686105
5,4,17.7624255837
5,5,16.5403483206
5,6,17.1663940473
5,7,17.8018066736
5,8,17.2584787563
5,9,17.1001557835
6,0,19.3297886889
6,1,20.1265340107
6,2,17.9243773766
6,3,17.2971632258
6,4,17.43156036
6,5,16.1113403488
6,6,17.2292911096
6,7,17.2099564101
6,8,16.9797474815
6,9,17.8369264541
7,0,18.3509516567
7,1,17.202283602
7,2,17.6585467243
7,3,18.1979321447
7,4,17.4783216619
7,5,17.5657785176
7,6,16.3956774227
7,7,17.7274448129
7,8,15.7423573975
7,9,17.429770132
8,0,17.0397002835
8,1,18.9193130229
8,2,18.9196301649
8,3,17.5397009202
8,4,18.9843172534
8,5,15.8036053595
8,6,17.0051248056
8,7,17.3531980744
8,8,17.1681800825
8,9,15.8876128321
9,0,17.4823879661
9,1,19.5222737121
9,2,17.6477468025
9,3,17.7313492253
9,4,19.2106021758
9,5,16.7075682181
9,6,17.7572778755
9,7,17.2108914208
9,8,16.3320966511
9,9,17.5518041719
