x,y,d
0,0,88.3675908177
0,1,118.714685873
0,2,91.9995145669
0,3,102.007597141
0,4,117.212197821
0,5,130.797868796
0,6,110.88261196
0,7,110.470168084
0,8,117.704465623
0,9,135.045600353
1,0,103.959228546
1,1,84.4196884026
1,2,84.5105160849
1,3,133.106920666
1,4,105.999359972
1,5,156.612139668
1,6,123.060497294
1,7,124.904572488
1,8,113.026035821
1,9,141.679399001
2,0,81.2052745147
2,1,78.5971370915
2,2,91.9047078817
2,3,134.315468624
2,4,106.002279535
2,5,114.735389836
2,6,117.781794943
2,7,158.260172479
2,8,136.145280718
2,9,129.603321402
3,0,79.4820969559
3,1,70.6125144166
3,2,70.314430851
3,3,94.7447286938
3,4,104.681735191
3,5,104.868712868
3,6,118.390895417
3,7,94.186330681
3,8,150.266140481
3,9,137.643620841
4,0,102.404007759
4,1,82.2048297131
4,2,105.446620624
4,3,111.244650641
4,4,87.2138350735
4,5,108.193584323
4,6,106.116677093
4,7,114.791858977
4,8,110.513060415
4,9,120.938928545
5,0,63.9484634082
5,1,69.9900078798
5,2,101.135538262
5,3,90.8123229146
5,4,80.9870616192
5,5,75.0480213416
5,6,84.8426157005
5,7,134.538363281
5,8,127.718309259
5,9,120.073977394
6,0,59.9565465808
6,1,57.6382436918
6,2,85.1149691325
6,3,89.698817574
6,4,93.9635224685
6,5,99.4613524417
6,6,121.847702921
6,7,110.498740947
6,8,100.285860872
6,9,117.396453436
7,0,41.223766593
7,1,52.7882166518
7,2,75.9945007749
7,3,83.0343297864
7,4,76.3714273963
7,5,100.902672657
7,6,81.1104764267
7,7,117.218759975
7,8,65.4240699901
7,9,118.963613564
8,0,76.0280592814
8,1,62.1859330597
8,2,78.1976508641
8,3,73.7857827876
8,4,80.3119268134
8,5,106.517373803
8,6,104.187031837
8,7,103.868646151
8,8,87.471097604
8,9,85.9771004761
9,0,62.48206662
9,1,71.3044451403
9,2,54.8512935236
9,3,94.9530302126
9,4,69.6707274511
9,5,65.5914527067
9,6,62.8410700228
9,7,64.6053012235
9,8,105.912694065
9,9,105.850727885
