Hourly Averages Time Range: 01/01/2018 00:00 to 08/01/2018 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,RANDWICK WDR 1h average [°],RANDWICK TEMP 1h average [°C],RANDWICK WSP 1h average [m/s],RANDWICK SO2 1h average [pphm],RANDWICK NO 1h average [pphm],RANDWICK NO2 1h average [pphm],RANDWICK OZONE 1h average [pphm],RANDWICK HUMID 1h average [%],RANDWICK SD1 1h average [°],ROZELLE WDR 1h average [°],ROZELLE TEMP 1h average [°C],ROZELLE WSP 1h average [m/s],ROZELLE SO2 1h average [pphm],ROZELLE NO 1h average [pphm],ROZELLE NO2 1h average [pphm],ROZELLE OZONE 1h average [pphm],ROZELLE HUMID 1h average [%],ROZELLE SOLAR 1h average [W/m²],ROZELLE SD1 1h average [°],ROZELLE RAIN 1h average [mm/m²],LINDFIELD WDR 1h average [°],LINDFIELD TEMP 1h average [°C],LINDFIELD WSP 1h average [m/s],LINDFIELD SO2 1h average [pphm],LINDFIELD NO 1h average [pphm],LINDFIELD NO2 1h average [pphm],LINDFIELD OZONE 1h average [pphm],LINDFIELD HUMID 1h average [%],LINDFIELD SOLAR 1h average [W/m²],LINDFIELD SD1 1h average [°],LIVERPOOL WDR 1h average [°],LIVERPOOL TEMP 1h average [°C],LIVERPOOL WSP 1h average [m/s],LIVERPOOL SO2 1h average [pphm],LIVERPOOL NO 1h average [pphm],LIVERPOOL NO2 1h average [pphm],LIVERPOOL OZONE 1h average [pphm],LIVERPOOL HUMID 1h average [%],LIVERPOOL SOLAR 1h average [W/m²],LIVERPOOL SD1 1h average [°],BRINGELLY WDR 1h average [°],BRINGELLY TEMP 1h average [°C],BRINGELLY WSP 1h average [m/s],BRINGELLY SO2 1h average [pphm],BRINGELLY NO 1h average [pphm],BRINGELLY NO2 1h average [pphm],BRINGELLY OZONE 1h average [pphm],BRINGELLY HUMID 1h average [%],BRINGELLY SOLAR 1h average [W/m²],BRINGELLY SD1 1h average [°],CHULLORA WDR 1h average [°],CHULLORA TEMP 1h average [°C],CHULLORA WSP 1h average [m/s],CHULLORA SO2 1h average [pphm],CHULLORA NO 1h average [pphm],CHULLORA NO2 1h average [pphm],CHULLORA OZONE 1h average [pphm],CHULLORA HUMID 1h average [%],CHULLORA SOLAR 1h average [W/m²],CHULLORA SD1 1h average [°],EARLWOOD WDR 1h average [°],EARLWOOD TEMP 1h average [°C],EARLWOOD WSP 1h average [m/s],EARLWOOD NO 1h average [pphm],EARLWOOD NO2 1h average [pphm],EARLWOOD OZONE 1h average [pphm],EARLWOOD HUMID 1h average [%],EARLWOOD SD1 1h average [°],Wyong WDR 1h average [°],Wyong TEMP 1h average [°C],Wyong WSP 1h average [m/s],Wyong SO2 1h average [pphm],Wyong NO 1h average [pphm],Wyong NO2 1h average [pphm],Wyong OZONE 1h average [pphm],Wyong HUMID 1h average [%],Wyong SD1 1h average [°],Wyong RAIN 1h average [mm/m²],WALLSEND WDR 1h average [°],WALLSEND TEMP 1h average [°C],WALLSEND WSP 1h average [m/s],WALLSEND SO2 1h average [pphm],WALLSEND NO 1h average [pphm],WALLSEND NO2 1h average [pphm],WALLSEND OZONE 1h average [pphm],WALLSEND HUMID 1h average [%],WALLSEND SOLAR 1h average [W/m²],WALLSEND SD1 1h average [°],CARRINGTON WDR 1h average [°],CARRINGTON TEMP 1h average [°C],CARRINGTON WSP 1h average [m/s],CARRINGTON SO2 1h average [pphm],CARRINGTON NO 1h average [pphm],CARRINGTON NO2 1h average [pphm],CARRINGTON HUMID 1h average [%],CARRINGTON SD1 1h average [°],CARRINGTON RAIN 1h average [mm/m²],STOCKTON WDR 1h average [°],STOCKTON TEMP 1h average [°C],STOCKTON WSP 1h average [m/s],STOCKTON SO2 1h average [pphm],STOCKTON NO 1h average [pphm],STOCKTON NO2 1h average [pphm],STOCKTON HUMID 1h average [%],STOCKTON SD1 1h average [°],NEWCASTLE WDR 1h average [°],NEWCASTLE TEMP 1h average [°C],NEWCASTLE WSP 1h average [m/s],NEWCASTLE SO2 1h average [pphm],NEWCASTLE NO 1h average [pphm],NEWCASTLE NO2 1h average [pphm],NEWCASTLE OZONE 1h average [pphm],NEWCASTLE HUMID 1h average [%],NEWCASTLE SOLAR 1h average [W/m²],NEWCASTLE SD1 1h average [°],MAYFIELD WDR 1h average [°],MAYFIELD TEMP 1h average [°C],MAYFIELD WSP 1h average [m/s],MAYFIELD SO2 1h average [pphm],MAYFIELD NO 1h average [pphm],MAYFIELD NO2 1h average [pphm],MAYFIELD OZONE 1h average [pphm],MAYFIELD HUMID 1h average [%],MAYFIELD SOLAR 1h average [W/m²],MAYFIELD SD1 1h average [°],BERESFIELD WDR 1h average [°],BERESFIELD TEMP 1h average [°C],BERESFIELD WSP 1h average [m/s],BERESFIELD SO2 1h average [pphm],BERESFIELD NO 1h average [pphm],BERESFIELD NO2 1h average [pphm],BERESFIELD OZONE 1h average [pphm],BERESFIELD HUMID 1h average [%],BERESFIELD SOLAR 1h average [W/m²],BERESFIELD SD1 1h average [°],TAMWORTH WDR 1h average [°],TAMWORTH TEMP 1h average [°C],TAMWORTH WSP 1h average [m/s],TAMWORTH HUMID 1h average [%],TAMWORTH SD1 1h average [°],WOLLONGONG WDR 1h average [°],WOLLONGONG TEMP 1h average [°C],WOLLONGONG WSP 1h average [m/s],WOLLONGONG SO2 1h average [pphm],WOLLONGONG NO 1h average [pphm],WOLLONGONG NO2 1h average [pphm],WOLLONGONG OZONE 1h average [pphm],WOLLONGONG HUMID 1h average [%],WOLLONGONG SOLAR 1h average [W/m²],WOLLONGONG SD1 1h average [°],WOLLONGONG RAIN 1h average [mm/m²],KEMBLA GRANGE WDR 1h average [°],KEMBLA GRANGE TEMP 1h average [°C],KEMBLA GRANGE WSP 1h average [m/s],KEMBLA GRANGE SO2 1h average [pphm],KEMBLA GRANGE NO 1h average [pphm],KEMBLA GRANGE NO2 1h average [pphm],KEMBLA GRANGE OZONE 1h average [pphm],KEMBLA GRANGE HUMID 1h average [%],KEMBLA GRANGE SOLAR 1h average [W/m²],KEMBLA GRANGE SD1 1h average [°],RICHMOND WDR 1h average [°],RICHMOND TEMP 1h average [°C],RICHMOND WSP 1h average [m/s],RICHMOND SO2 1h average [pphm],RICHMOND NO 1h average [pphm],RICHMOND NO2 1h average [pphm],RICHMOND OZONE 1h average [pphm],RICHMOND HUMID 1h average [%],RICHMOND SOLAR 1h average [W/m²],RICHMOND SD1 1h average [°],RICHMOND RAIN 1h average [mm/m²],BARGO WDR 1h average [°],BARGO TEMP 1h average [°C],BARGO WSP 1h average [m/s],BARGO SO2 1h average [pphm],BARGO NO 1h average [pphm],BARGO NO2 1h average [pphm],BARGO OZONE 1h average [pphm],BARGO HUMID 1h average [%],BARGO SD1 1h average [°],ALBURY WDR 1h average [°],ALBURY TEMP 1h average [°C],ALBURY WSP 1h average [m/s],ALBURY HUMID 1h average [%],ALBURY SD1 1h average [°],WAGGA WAGGA WDR 1h average [°],WAGGA WAGGA TEMP 1h average [°C],WAGGA WAGGA WSP 1h average [m/s],WAGGA WAGGA HUMID 1h average [%],WAGGA WAGGA SD1 1h average [°],ST MARYS WDR 1h average [°],ST MARYS TEMP 1h average [°C],ST MARYS WSP 1h average [m/s],ST MARYS SO2 1h average [pphm],ST MARYS NO 1h average [pphm],ST MARYS NO2 1h average [pphm],ST MARYS OZONE 1h average [pphm],ST MARYS HUMID 1h average [%],ST MARYS SOLAR 1h average [W/m²],ST MARYS SD1 1h average [°],VINEYARD WDR 1h average [°],VINEYARD TEMP 1h average [°C],VINEYARD WSP 1h average [m/s],VINEYARD SO2 1h average [pphm],VINEYARD NO 1h average [pphm],VINEYARD NO2 1h average [pphm],VINEYARD OZONE 1h average [pphm],VINEYARD HUMID 1h average [%],VINEYARD SOLAR 1h average [W/m²],VINEYARD SD1 1h average [°],BATHURST WDR 1h average [°],BATHURST TEMP 1h average [°C],BATHURST WSP 1h average [m/s],BATHURST OZONE 1h average [pphm],BATHURST HUMID 1h average [%],BATHURST SD1 1h average [°],PARRAMATTA NORTH WDR 1h average [°],PARRAMATTA NORTH TEMP 1h average [°C],PARRAMATTA NORTH WSP 1h average [m/s],PARRAMATTA NORTH SO2 1h average [pphm],PARRAMATTA NORTH NO 1h average [pphm],PARRAMATTA NORTH NO2 1h average [pphm],PARRAMATTA NORTH OZONE 1h average [pphm],PARRAMATTA NORTH HUMID 1h average [%],PARRAMATTA NORTH SOLAR 1h average [W/m²],PARRAMATTA NORTH SD1 1h average [°],MACARTHUR WDR 1h average [°],MACARTHUR TEMP 1h average [°C],MACARTHUR WSP 1h average [m/s],MACARTHUR SO2 1h average [pphm],MACARTHUR NO 1h average [pphm],MACARTHUR NO2 1h average [pphm],MACARTHUR OZONE 1h average [pphm],MACARTHUR HUMID 1h average [%],MACARTHUR SD1 1h average [°],OAKDALE WDR 1h average [°],OAKDALE TEMP 1h average [°C],OAKDALE WSP 1h average [m/s],OAKDALE SO2 1h average [pphm],OAKDALE NO 1h average [pphm],OAKDALE NO2 1h average [pphm],OAKDALE OZONE 1h average [pphm],OAKDALE HUMID 1h average [%],OAKDALE SOLAR 1h average [W/m²],OAKDALE SD1 1h average [°],OAKDALE RAIN 1h average [mm/m²],ALBION PARK STH WDR 1h average [°],ALBION PARK STH TEMP 1h average [°C],ALBION PARK STH WSP 1h average [m/s],ALBION PARK STH SO2 1h average [pphm],ALBION PARK STH NO 1h average [pphm],ALBION PARK STH NO2 1h average [pphm],ALBION PARK STH OZONE 1h average [pphm]
01/01/2018,01:00,36.2,21.9,1.7,0.1,-0,0.1,1.8,89.7,23.92,38.9,22.1,2.1,-0,-0,0.5,1.3,83.1,-10.3,21.22,,52.4,21.8,0.5,0,0,0.2,1.6,80.2,,47.77,75.7,22.4,1.3,0,-0,0.4,1.4,78.3,,24.73,16.5,22.7,0.6,0.5,-0,1,0.8,77.9,3.6,38.96,42.6,22.4,1.5,0,0,0.2,1.6,80.1,-1.6,21.96,37.2,22.5,0.9,-0,0.6,1.2,81.8,32.56,100.2,21.8,0.8,0,-0.1,0.1,1.5,86.8,30.41,0,214.5,20.7,0.7,-0,-0,0.5,1.1,89.4,-2.1,23.06,88.9,21.9,1.1,0.2,-0,-0.2,84.2,22.19,,75.6,21.7,1,,,,81.3,22.22,70.6,22.1,0.9,0,-0,0.1,1.7,81.8,,31.24,131.1,21.4,1.2,0.5,0.3,1,,80.5,-2.5,13.85,186.5,20.6,1.4,0.1,0.3,0.7,0.8,87.4,,18.36,120.7,23.9,0.9,68.2,36.21,3.1,21.5,0.6,0,0,0.3,1.3,90.2,,36.71,0,310.5,20.7,0.6,,-0,0.4,0.7,89.6,-0.3,56.85,350.7,22.3,0.5,0.5,-0,0.8,0.9,79.6,,48.1,0,338.4,19.3,0.3,0.1,-0.1,0.3,1.4,91.2,53.25,41.5,18.2,0.2,60.8,86.21,,,,,,20.1,22.9,0.4,,-0,0.8,0.8,73.9,,64.95,,,,,,,,,,,311.1,17,0.5,,85.8,79.39,116.7,22.6,0.8,0,-0,0.4,1.3,80.2,,20.57,,,,,,,,,,54.7,19,1,,-0,0.6,1.1,89.9,-1.3,23.08,0,309.5,20.4,0.4,-0,-0,0.3,0.5
01/01/2018,02:00,29.2,21.9,1.8,,,,,88.2,23.49,37.9,22.1,2.2,,,,,82.5,-10.1,20.35,,59.6,21.9,0.6,,,,,79.7,,27.97,83.2,22.5,0.9,,,,,78.2,,30.36,93.7,22.5,0.7,,,,,79.7,3.6,20.38,44,22.4,1.2,,,,,80.3,-1.7,26.25,43.4,22.5,1.1,,,,81.6,27.25,73.4,21.6,0.4,,,,,88,83.59,0,212.1,20.3,0.7,,,,,91.2,-1.9,28.29,110,21.6,0.8,,,,87.2,34.8,,102,21.6,1.1,0.1,-0.1,0.1,84.1,19.96,113.7,21.7,0.7,,,,,84.7,,52.71,138.6,21.3,1.2,,,,,81.7,-2.1,16.12,186,20.8,1.2,,,,,87.6,,23.01,145.3,22.6,1.2,74.4,23.33,9.3,21.2,0.6,,,,,91,,37.59,0,312.5,19.9,0.3,,,,,92.8,-0.1,87.22,134.7,21.4,0.4,,,,,84.8,,36.38,0,254.8,19.2,0.1,,,,,92.2,93.07,289.8,17,0.2,66.3,80.5,,,,,,344.1,22.7,1,,,,,75.1,,18.29,,,,,,,,,,,342,16,0.4,,84.2,69.4,120.8,22.5,0.6,,,,,80.9,,31.7,,,,,,,,,,58.1,19,0.7,,,,,90.1,-1.4,24.27,0,153.1,19.6,0.4,-0,0,0.3,0.2
01/01/2018,03:00,23.7,21.8,1.5,0,0,0.1,2,88,24.46,36.2,21.9,1.7,0,-0,0.3,1.4,83.6,-11.1,20.11,,59.7,21.4,0.2,0,0.1,0.1,1.6,82,,71.49,181.3,21.4,0.4,0.1,0,0.8,0.6,82.7,,60.03,91.3,22.2,0.5,0.1,-0,0.4,1.1,82.3,3.4,46.25,38.9,21.8,1,0,0,0.5,1.3,82.9,-3.2,17.18,39,22.2,0.4,-0,0.6,1.3,82.7,51.04,158,21.5,0.4,-0,-0.1,0.1,1.2,89.6,62.91,0,207.6,20,0.8,0,-0,0.6,0.7,93.4,-2.1,35.63,91.3,21.5,0.9,0,0,-0.1,89.9,37.99,,81.4,21.3,0.6,0.1,-0.1,0.1,86.6,23.75,90.7,21.7,0.7,0,-0,0,1.9,87,,60.57,141.8,21.1,1,0.5,0.1,1,,83.1,-2.3,26.03,187.2,20.3,1.1,0.1,0.4,0.6,0.8,89.7,,31,174.8,22.1,1.4,77,17.47,1.2,20.9,0.4,0,0,0.5,0.9,92.1,,72.96,0,293.2,19.5,0.8,,-0,0.3,0.3,94.6,-0.4,75.25,156.3,20.6,0.1,0.2,0.1,0.9,0.4,88.7,,101.94,0,244.4,19.3,0.6,0.1,-0,0.3,1,91.5,27.64,299.7,16.1,0.3,70.7,59.19,,,,,,315.8,22.3,0.1,,0,0.8,0.6,77.4,,87.85,,,,,,,,,,,23,14.6,0.1,,90.7,81.92,113,21.2,0.1,,,,,86.9,,90.67,,,,,,,,,,50.7,18.9,0.3,,0,0.5,1,90.7,-1.4,73.96,0,162.2,18.5,0.4,,,,
01/01/2018,04:00,26.2,21.4,0.8,0.1,-0,0.1,1.7,90.6,25.81,16.6,21.2,0.8,-0,-0,0.2,1.4,86.3,-11.5,48.03,,100.2,20.2,0.1,0,0.1,0.1,1.4,88.1,,79.56,204.8,20.2,0.4,0,0.3,1.2,0.1,87.3,,46.48,187.8,21,0.3,0,-0,0.5,0.9,89.2,2.3,69.51,72.9,20.6,0.3,0,0,0.9,0.7,88.1,-3.2,37.45,71.6,21.4,0.1,-0,0.5,1.1,86.7,71.6,53.9,21.2,0.2,0,-0.1,0.1,1,90.4,73.03,0,210,19.8,0.8,0,-0,0.5,0.7,94.2,-2,26.71,139.2,21.2,0.3,0,0.1,0.3,91.2,62.03,,85.3,21.1,0.6,0.1,-0.1,0.1,87.7,76.19,226.7,21.1,0.3,0,0,0.3,1.1,89.1,,76.62,209.6,20.7,1.1,0.3,0.5,1,,86,-2.5,25.29,207.9,20.6,1.1,0.1,0.1,0.6,1,89.1,,28.83,180.2,21.5,0.7,79.6,43.4,241.8,19.9,0.2,0,0.2,0.6,0.4,94.6,,84.82,0,75.6,19.1,0.3,,0,0.4,0.3,95.7,-1.4,85.83,262.9,19.2,0.3,0.2,0.3,1,0.2,94.8,,34.68,0,267,19,0.4,0.1,-0,0.4,0.8,91.7,36.8,317.3,14.9,0.4,75.9,35.5,,,,,,126.4,21.8,0.1,,-0,0.8,0.6,80.9,,87.81,,,,,,,,,,,71.1,14,0.2,,92.6,84.13,331.2,20.3,0.1,0,0,0.9,0.3,92,,63.21,,,,,,,,,,249.3,18.9,0.3,,-0,0.5,0.9,90.2,-1.9,60.61,0,148.7,17.6,0.3,-0,0.2,0.3,0.1
01/01/2018,05:00,14.6,21,0.7,0,0,0.1,1.7,94.6,30.32,58.1,20.5,0.6,-0,-0,0.3,1.1,89.6,-9.4,28.2,,22.9,19.5,0.1,0,0.1,0.2,0.8,90.5,,81.53,205.5,19.5,0.4,0,0.9,1.2,-0,89.5,,52.84,98.7,19.3,0.3,0,0,0.7,0.4,98.1,3.4,78.4,69.9,20.2,0.3,0,0,0.8,0.6,90.4,-1.3,40.8,183.9,20.6,0.1,0,0.6,0.7,90.2,84.5,325.4,20.5,0.7,0,-0.1,0.4,0.5,93.2,31.39,0,211.8,19.4,0.7,0,-0,0.4,0.6,96.3,0.5,21.05,235.9,20.7,0.8,0,0.1,0.5,91.3,23.77,,228.8,20.9,1.3,0.1,0.1,0.4,87.9,24.03,254.9,20.2,0.2,0,0.1,0.3,0.6,91.5,,60.7,218.7,20.3,1.5,0.1,0.1,0.6,,87.2,-0.1,8.8,231.2,20.3,0.7,0.1,0.2,0.7,0.7,90.5,,49.04,160.8,21.2,0.4,82.2,71.63,274.4,19.3,0.3,0,0.9,0.6,0.3,95.4,,69.4,0,34.1,18.7,1.1,,0.1,0.5,0.3,95.5,1.3,37.53,341.4,18.6,0.2,0.1,0.3,0.9,0.1,97.3,,52.34,0,211.6,17.4,1,-0,-0,0.4,0.4,96.1,16.14,296,14.5,0.4,78.9,36.39,,,,,,283.2,20.6,0.2,,-0,0.6,0.6,85.1,,100.37,,,,,,,,,,,55.7,13.3,0.1,,94.6,113.15,333.5,19.7,0.2,0,0.1,0.9,0.1,94.6,,45.16,,,,,,,,,,259,17.5,0.6,,-0,0.5,0.8,94.3,-2.5,26.67,0,170.8,17.1,0.7,-0,0.3,0.3,0
01/01/2018,06:00,60.7,20.9,0.4,0,0,0.2,1.4,96.3,33.69,34,20.9,0.9,0,0,0.5,1,89.2,37.5,26.61,,338.4,19.6,0.1,0,0.1,0.3,0.6,91.5,,73.13,261.9,19.7,0.2,0.1,0.7,1.1,0.2,89.2,,70.38,234.8,18.7,0.2,-0,0.1,0.5,0.4,104.9,67.9,54.78,26.8,20.5,0.5,0,0.9,0.9,0.6,90.4,36.6,31.45,290.3,20.7,0.1,0.1,0.6,0.6,91.3,92.36,327.2,20.2,0.6,0,0,0.4,0.4,94.2,45.69,0,175.9,20.3,0.3,0,0.1,0.4,0.7,93.5,71.7,73.89,269,21.1,0.4,0,0.4,0.6,89.9,40.14,,237.5,21.1,0.9,0.2,0.9,0.9,86.5,16.35,299.3,20.7,0.2,0,0.1,0.4,0.6,90.9,,83.96,264.1,20.9,0.8,0.1,0.4,0.6,,84.9,81.9,44.16,337.7,19.7,0.9,0.1,0.8,1,0.2,93.3,,35.34,139.8,21.2,0.7,82.2,33.66,274.4,19.3,0.3,0,1.1,0.5,0.3,95.7,,46.01,0,273.5,18.4,0.7,,0.2,0.2,0.3,96.3,77.4,59.27,51.2,18.5,0.3,0.1,0.7,0.7,0.2,97.2,,50.76,0,192.2,17.4,0.7,0,0.3,0.4,0.3,96.3,52.96,310.1,15,0.4,77.6,54.53,,,,,,124.6,19.1,0.1,,0,0.6,0.4,90.2,,96.05,,,,,,,,,,,288.8,13.7,0.7,,93.8,29.19,356.1,19.8,0.6,0,0.4,0.8,0.2,93.5,,26.52,,,,,,,,,,264.6,18.4,0.8,,-0,0.3,1.4,90,51.2,49.37,0,183.1,18,0.7,-0,0.3,0.3,0.3
01/01/2018,07:00,291.1,22.7,0.8,0.1,0.3,0.4,1.4,84.5,48.59,352.7,22.5,0.8,0,0.1,0.2,1.3,82.2,241.1,40.89,,292.1,21.6,0.6,0.1,0.2,0.2,1.2,84.3,,39.4,91.1,22.8,0.1,0.1,0.5,0.7,0.9,77,,90.57,105.9,22.4,0.4,0.1,0.1,0.3,1.1,83.3,256.4,72.09,12.4,22.1,0.5,0.1,0.2,0.4,1.3,82.3,145.7,68.37,304.8,22.6,0.4,0.1,0.3,1.3,81.8,68.44,290.8,21.7,1,0,-0,0.1,0.9,87.5,38.22,0,256.4,23.3,0.8,0.4,0.1,0.3,1.3,78.2,258,44.83,252.2,23.1,1,0.1,0.3,0.2,79.9,32.77,,243.9,22.1,1.3,0.4,0.6,0.8,80.9,13.15,293.9,23.1,0.9,0.1,0.2,0.2,1.2,79.3,,42.22,271.7,22.3,1.7,0.2,0.2,0.2,,78.8,276,19.8,302.7,21.6,1.8,0.1,0.6,0.4,0.9,86.7,,13.94,153,22.6,0.2,77.3,76.62,59.6,22.3,0.5,0,0.5,0.4,1,83.5,,50.36,0,259.4,20.2,1.2,,0.2,0.2,0.7,92.3,282.1,20.98,331.7,22.1,0.4,0.1,0.3,0.4,0.7,81.8,,59.62,0,234.4,20.3,0.9,0.1,0.1,0.3,1.3,81.4,32.25,83.3,18.4,0.1,62.3,88.21,,,,,,213.8,18.5,0.3,,0.2,0.4,0.3,92.6,,48.63,,,,,,,,,,,72,16.6,0.6,,83.5,43.26,329.6,22.7,0.5,0.1,0.4,0.7,0.9,79.9,,49.81,,,,,,,,,,256.4,20.8,1.5,,0,0.2,1.9,77.1,254.2,33.63,0,16.6,20.9,0.2,0,0.5,0.4,0.6
01/01/2018,08:00,258.3,24.1,1.8,0.2,0.4,0.5,1.8,73.3,31.35,308.4,24.5,0.7,0.1,0.2,0.3,1.6,72.8,487.4,59.57,,284.9,23.9,0.9,0.2,0.2,0.3,1.7,69.9,,47.64,271.2,23.9,1.1,0.2,0.2,0.5,1.5,70.6,,57.82,277.9,24.3,0.5,0.3,0.2,0.4,1.7,71.1,467.7,68.12,254.2,24.3,0.9,0.2,0.2,0.3,1.9,70.5,517.9,58.77,280.8,24.4,1,0.1,0.3,1.7,71.3,42.88,243,24.3,0.6,0.1,-0,0.1,1.7,73.6,73.22,0,214.6,25.8,1,0.3,0,0.1,2.2,65.7,492.2,42.61,264.5,24.9,1.2,0.5,0.3,0.2,70.3,31.41,,219.2,24.2,1,1.1,0.5,0.7,69.1,51.1,218.2,25.1,0.5,0.9,0.4,0.4,1.5,68.8,,70.97,254.9,24.3,1.5,1.2,0.4,0.4,,67.7,504.7,36.52,303.3,23.9,2,0.1,0.1,0.1,1.8,75.7,,40.76,319.8,25,2.1,68.3,27.44,83.7,24.2,1,0.1,0.1,0.2,1.7,73.2,,37.05,0,174.1,23.2,0.7,,0.1,0.2,1.4,77.3,523.8,69.69,347,24.4,0.2,0.1,0.1,0.2,1.6,70,,84.31,0,244.2,24.2,1.8,0.1,-0,0.1,2.9,57.5,30.67,99,20.2,0.6,56.3,57.82,,,,,,308.6,21.9,0.4,,0.2,0.3,1,81,,76.96,,,,,,,,,,,82.4,19.5,0.8,,75.5,36.71,298.2,24.4,0.9,0.2,0.2,0.5,1.7,71,,46.22,,,,,,,,,,237.6,23.4,1.6,,-0,0.2,2.8,61.1,517.3,34.02,0,131.1,24.5,1.4,0.1,0.1,0.2,1.5
01/01/2018,09:00,259.3,25.5,2.5,0.2,0.3,0.4,2.6,65.7,24.22,253.4,26.9,0.3,0.1,0.1,0.4,2.5,61.7,593.7,84.96,,256.1,26.6,0.9,0.2,0.1,0.3,2.8,56.7,,62.18,264.8,26.2,2.1,0.2,0.1,0.4,2.5,60.2,,43.54,232,27.3,1.3,0.2,0,0.3,2.8,55.7,686.1,60.56,239,26.5,1.2,0.2,0.1,0.4,2.7,60.2,719.6,57.06,248.3,26.3,1.5,0.1,0.3,2.5,61.6,40.13,233,25.8,2,0,-0.1,0.1,2.5,65.7,30.78,0,189.2,27.3,0.7,0.1,-0,0.1,2.7,61,718.6,71.17,152.7,26.4,0.7,1,0.4,0.3,64.3,80.53,,116.1,23.9,2.7,0.9,1.4,0.9,72.5,12.78,142.2,24.9,2.7,0.4,0.1,0.1,2.3,69.6,,15.16,225.9,26.2,1.4,0.2,0,0.1,,60.2,735.9,47.15,265.5,26,1.2,0.1,0.1,0.1,2.4,65.9,,47.57,328.7,27,2.7,59.5,24.93,136.6,24.6,2,0.2,0.3,0.3,1.9,72.6,,25.97,0,137.2,24,3,,0.1,0.2,2.1,74.2,737.4,13.94,123.1,26.4,0.8,0.1,-0,0.2,2.6,60.7,,65.22,0,244.2,26.3,2.3,0,-0.1,0.1,3.9,38,36.52,87.1,22.7,0.5,50.7,76.63,,,,,,261,24.6,0.4,,0.2,0.3,1.5,69.3,,80.81,,,,,,,,,,,41,22.5,1.1,,63.1,44.34,231.4,26.4,1,0.2,0.1,0.5,2.5,61.4,,58.31,,,,,,,,,,221.8,25.2,2.3,,-0,0.1,3.8,44.7,751.7,28.6,0,128.7,26,2.2,0,0,0.2,2.2
01/01/2018,10:00,185.4,26.6,2.6,0.4,0.2,0.4,3.6,61.1,39.82,172.7,28.6,1,0.1,0,0.3,3.8,53.2,893.7,67.18,,223.7,28.9,0.7,0.2,0.1,0.3,4,46.8,,72.35,203.7,29.7,1.8,0.1,0,0.3,3.8,44.6,,45.56,220.3,30.6,2.4,0.1,-0,0.2,4,37,756.9,32.03,204,28.7,1.9,0.1,0,0.3,3.9,49.7,950.9,39.8,195.4,28.1,1,-0,0.3,3.8,54.2,61.59,137.8,26.7,2.4,0.1,-0.1,0.1,3.1,63.8,46.46,0,104.6,28.8,1.5,0.1,-0,0.1,3.2,57.5,895.2,54.54,118.1,25.8,3.4,0.6,0.5,0.4,66.8,19.25,,117.1,24.5,3.3,0.7,0.4,0.5,71,11.35,138.9,25,4.2,0.5,0.2,0.2,2.4,68.9,,11.99,108,27.5,2.6,0.4,0.2,0.3,,57.4,894.5,53.6,326.5,28.5,0.6,1.1,0.5,0.8,2.4,58.7,,85.16,281.1,28.7,2.8,48.2,32.03,148.9,24.6,3,0.2,0.2,0.2,2.5,71.8,,26.1,0,119.6,24,5.4,,0,0.1,2.6,75.6,899.2,16.73,67.6,28.7,1.1,0.1,-0,0.2,3.7,50.8,,66.65,0,226.4,27.4,3,0,-0,0.2,3.9,31.8,32.23,0.8,25.4,0.1,40.8,97.78,,,,,,199.7,26.7,1.4,,0.1,0.2,2.5,58.8,,49.66,,,,,,,,,,,277.8,24.8,1.2,,41.3,65.29,222.3,29.1,1,0.2,0,0.4,3.7,48.9,,60.98,,,,,,,,,,232,26.6,2.3,,-0,0.1,3.7,37.9,944.5,36.26,0,176.5,26.5,4.5,0,0,0.1,3.2
