,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,PM10,PM2.5,TSP,NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,,,,,
,Upper Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
, Bulga,Upper Hunter,,1893 Putty Rd," 32°38'56"""," 151° 2'8""",67,2011,Active,ü,,,,,,,,,ü,ü,,ü,,,,,
, Camberwell,Upper Hunter,,Dulwich Place and McInerneys Rd," 32°28'20"""," 151° 5'31""",82,2011,Active,ü,ü,,,,,,,,ü,ü,,ü,,,,,
, Maison Dieu,Upper Hunter,,Maison Dieu Rd,"32° 31' 29"""," 151° 3' 43""",65,2011,Active,ü,,,,,,,,,ü,ü,,,,,,,
, Mt Thorley,Upper Hunter,,154 Broke Rd," 32°38'9"""," 151° 7'41""",74,2011,Active,ü,,,,,,,,,ü,ü,,,,,,,
,Aberdeen ,Upper Hunter,,"Abercairney Terrace, Aberdeen ","32°10'35""","150°53'5"" ",177,2011,Active,ü,,,,,,,,,ü,ü,,,,,,,
,Jerrys Plains,Upper Hunter,,"Coolmore Stud, Jerrys Plains Rd","32°28'37""","150°52'48""",87,2011,Active,ü,,,,,,,,,ü,ü,,,,,,,
,Merriwa,Upper Hunter,," Lot 3, Merriwa Scone Rd","32°7'6"""," 150°26'26""",406,2012,Active,ü,,,,,,,,,ü,ü,,,,,,,
,Muswellbrook,Upper Hunter,,Bowman Park,"32° 16' 18""","150° 53' 9""",145,2010,Active,ü,ü,,ü,ü,,,,,ü,ü,,ü,,,,,
,Muswellbrook NW ,Upper Hunter,,Cnr Wybong Rd and Kayuga Rd," 32°15'12""","150°52'53"" ",143,2011,Active,ü,,,,,,,,,ü,ü,,,,,,,
,Singleton,Upper Hunter,,Civic Avenue,"32° 33' 27""","151° 10' 37""",42,2010,Active,ü,ü,,ü,ü,,,,,ü,ü,,ü,,,,,
,Singleton NW,Upper Hunter,,Near Rixs Creek coal mine," 32°31'47"""," 151° 8'59""",123,2011 ,Active,ü,,,,,,,,,ü,ü,,,,,,,
,Singleton South,Upper Hunter,,"Haggarty's Lane, Whittingham","32°35'13""","151°12'32""",39,2011 ,Active,ü,,,,,,,,,ü,ü,,,,,,,
,Warkworth,Upper Hunter,,"Warkworth, nr St Phillips Church","32°34'26""","151° 1'38""",60,2011 ,Active,ü,,,,,,,,,ü,ü,,,,,,,
