date,time,weather_description,humidity,pressure,temperature,wind_direction,wind_speed
10/1/2012,12:00:00,,,,,,
10/1/2012,1:00:00,light rain,62,1028,284.61,20,4
10/1/2012,2:00:00,broken clouds,62,1028,284.6073055,22,4
10/1/2012,3:00:00,broken clouds,62,1028,284.5999178,31,3
10/1/2012,4:00:00,broken clouds,62,1028,284.5925301,39,3
10/1/2012,5:00:00,broken clouds,63,1028,284.5851423,47,3
10/1/2012,6:00:00,broken clouds,63,1028,284.5777546,55,3
10/1/2012,7:00:00,broken clouds,63,1028,284.5703669,64,3
10/1/2012,8:00:00,broken clouds,64,1028,284.5629791,72,3
10/1/2012,9:00:00,broken clouds,64,1028,284.5555914,80,3
10/1/2012,10:00:00,broken clouds,65,1028,284.5482037,88,3
10/1/2012,11:00:00,broken clouds,65,1028,284.540816,96,3
10/2/2012,12:00:00,broken clouds,65,1028,284.5334282,105,3
10/2/2012,1:00:00,broken clouds,66,1028,284.5260405,113,3
10/2/2012,2:00:00,broken clouds,66,1028,284.5186528,121,3
10/2/2012,3:00:00,broken clouds,66,1028,284.511265,129,3
10/2/2012,4:00:00,broken clouds,67,1028,284.5038773,137,2
10/2/2012,5:00:00,broken clouds,67,1028,284.4964896,146,2
10/2/2012,6:00:00,broken clouds,68,1028,284.4891018,154,2
10/2/2012,7:00:00,broken clouds,68,1028,284.4817141,162,2
10/2/2012,8:00:00,broken clouds,68,1028,284.4743264,170,2
10/2/2012,9:00:00,broken clouds,69,1028,284.4669387,178,2
10/2/2012,10:00:00,broken clouds,69,1028,284.4595509,187,2
10/2/2012,11:00:00,broken clouds,69,1028,284.4521632,195,2
10/2/2012,12:00:00,broken clouds,70,1028,284.4447755,203,2
10/2/2012,1:00:00,broken clouds,70,1028,284.4373877,211,2
10/2/2012,2:00:00,light rain,71,1028,284.43,220,2
10/2/2012,3:00:00,proximity shower rain,66,1028,285.31,200,2
10/2/2012,4:00:00,sky is clear,,1027,286.45,213,0
10/2/2012,5:00:00,sky is clear,,1026,287.84,44,0
10/2/2012,6:00:00,scattered clouds,48,1028,289.18,30,4
10/2/2012,7:00:00,sky is clear,,1025,289.77,55,0
10/2/2012,8:00:00,sky is clear,,1024,290.57,73,0
10/2/2012,9:00:00,sky is clear,,1024,290.84,43,0
10/2/2012,10:00:00,scattered clouds,,1025,291.29,360,2
10/2/2012,11:00:00,scattered clouds,,1024,291.01,0,3
10/3/2012,12:00:00,scattered clouds,,1024,290.03,0,3
10/3/2012,1:00:00,few clouds,36,1024,287.07,0,2
10/3/2012,2:00:00,few clouds,36,1024,285.71,0,0
10/3/2012,3:00:00,few clouds,44,1024,284.66,0,0
10/3/2012,4:00:00,few clouds,50,1024,283.5,0,0
10/3/2012,5:00:00,sky is clear,61,1023,282.66,170,4
10/3/2012,6:00:00,sky is clear,53,1023,282.84,0,0
10/3/2012,7:00:00,sky is clear,66,1022,282.25,220,2
10/3/2012,8:00:00,sky is clear,66,1022,282.25,220,2
10/3/2012,9:00:00,sky is clear,65,1020,281.96,240,3
10/3/2012,10:00:00,sky is clear,61,1019,282.24,240,3
10/3/2012,11:00:00,sky is clear,50,1019,282.77,240,2
10/3/2012,12:00:00,sky is clear,46,1018,283.635,120,2
10/3/2012,1:00:00,few clouds,43,1018,284.5,0,1
10/3/2012,2:00:00,few clouds,47,1018,285.84,0,1
10/3/2012,3:00:00,few clouds,35,1017,288.8866667,90,2
10/3/2012,4:00:00,few clouds,23,1017,291.9333333,180,2
10/3/2012,5:00:00,few clouds,11,1017,294.98,270,3
10/3/2012,6:00:00,few clouds,12,1017,297.14,240,3
10/3/2012,7:00:00,few clouds,10,1016,298.21,10,2
10/3/2012,8:00:00,few clouds,9,1015,299.32,360,2
10/3/2012,9:00:00,few clouds,8,1015,299.53,0,2
10/3/2012,10:00:00,few clouds,8,1014,299.185,0,2
10/3/2012,11:00:00,few clouds,8,1014,298.84,0,3
10/4/2012,12:00:00,sky is clear,8,1014,296,0,0
10/4/2012,1:00:00,few clouds,10,1014,292.12,0,0
10/4/2012,2:00:00,few clouds,11,1014,290.94,0,0
10/4/2012,3:00:00,few clouds,15,1014,290.83,0,0
10/4/2012,4:00:00,sky is clear,17,1015,289.76,0,0
10/4/2012,5:00:00,sky is clear,33,1015,288.49,160,3
10/4/2012,6:00:00,sky is clear,14,1014,288.59,270,6
10/4/2012,7:00:00,sky is clear,11,1014,288.94,250,6
10/4/2012,8:00:00,sky is clear,14,1014,288.01,250,4
10/4/2012,9:00:00,sky is clear,16,1014,287.34,270,4
10/4/2012,10:00:00,sky is clear,16,1014,287.12,240,6
10/4/2012,11:00:00,sky is clear,21,1015,285.02,260,3
10/4/2012,12:00:00,sky is clear,24,1015,285.23,270,5
10/4/2012,1:00:00,sky is clear,20,1015,286.1,260,4
10/4/2012,2:00:00,few clouds,26,1015,286.46,210,1
10/4/2012,3:00:00,few clouds,18,1015,288.74,0,2
10/4/2012,4:00:00,few clouds,13,1015,293.84,0,2
10/4/2012,5:00:00,scattered clouds,9,1014,295.85,260,6
10/4/2012,6:00:00,few clouds,9,1014,298.1,270,2
10/4/2012,7:00:00,few clouds,7,1013,297.93,300,8
10/4/2012,8:00:00,few clouds,7,1013,298.84,270,6
10/4/2012,9:00:00,scattered clouds,13,1013,299.01,330,1
10/4/2012,10:00:00,scattered clouds,7,1013,298.77,300,4
10/4/2012,11:00:00,squalls,15,1014,296.21,50,3
10/5/2012,12:00:00,sky is clear,,1020,292.04,67,0
10/5/2012,1:00:00,broken clouds,40,1021,286.14,360,10
10/5/2012,2:00:00,scattered clouds,20,1020,289.09,213,5
10/5/2012,3:00:00,sky is clear,,1020,292.04,67,0
10/5/2012,4:00:00,sky is clear,,1020,292.04,67,0
10/5/2012,5:00:00,scattered clouds,27,1024,284.635,53,2
10/5/2012,6:00:00,overcast clouds,55,1028,277.23,40,4
10/5/2012,7:00:00,scattered clouds,27,1027,276.65,50,2
10/5/2012,8:00:00,sky is clear,,1026,276.07,60,0
10/5/2012,9:00:00,scattered clouds,32,1027,275.95,95,1
10/5/2012,10:00:00,overcast clouds,64,1028,275.83,130,2
10/5/2012,11:00:00,overcast clouds,59,1028,275.35,110,3
10/5/2012,12:00:00,overcast clouds,59,1028,277.17,120,2
10/5/2012,1:00:00,overcast clouds,59,1028,276.93,20,2
10/5/2012,2:00:00,overcast clouds,59,1028,275.39,120,2
10/5/2012,3:00:00,overcast clouds,55,1028,275.86,110,5
10/5/2012,4:00:00,overcast clouds,55,1024,277.19,100,4
10/5/2012,5:00:00,sky is clear,70,1028,277.62,20,0
10/5/2012,6:00:00,sky is clear,,1024,278.78,56,0
10/5/2012,7:00:00,sky is clear,,1023,280.55,25,0
10/5/2012,8:00:00,sky is clear,,1022,280.45,312,0
